"Word","Count"
"to","5139"
"the","5120"
"and","4536"
"of","4265"
"a","3060"
"i","2904"
"her","2395"
"was","2371"
"it","2362"
"not","2253"
"she","2238"
"in","2138"
"be","1962"
"you","1907"
"that","1748"
"he","1735"
"had","1614"
"as","1429"
"have","1316"
"for","1297"
"is","1226"
"with","1204"
"but","1202"
"very","1179"
"his","1129"
"mr","1114"
"at","1018"
"so","925"
"could","827"
"all","826"
"would","813"
"been","753"
"emma","743"
"him","731"
"my","719"
"mrs","681"
"on","681"
"no","673"
"any","653"
"do","602"
"were","596"
"miss","583"
"by","566"
"must","566"
"will","555"
"from","540"
"me","537"
"which","536"
"they","520"
"there","514"
"this","506"
"what","494"
"said","474"
"much","471"
"or","471"
"such","462"
"more","460"
"an","459"
"if","459"
"are","452"
"one","423"
"them","422"
"every","420"
"can","417"
"than","416"
"am","409"
"harriet","385"
"thing","383"
"think","381"
"weston","377"
"should","367"
"little","360"
"being","358"
"your","356"
"when","350"
"well","348"
"never","344"
"we","342"
"did","336"
"knightley","332"
"only","327"
"how","326"
"might","325"
"know","319"
"elton","314"
"say","306"
"good","304"
"their","303"
"own","299"
"now","298"
"who","287"
"quite","271"
"time","264"
"jane","264"
"great","263"
"herself","263"
"some","260"
"woodhouse","260"
"has","249"
"most","246"
"about","246"
"too","242"
"nothing","240"
"before","236"
"always","234"
"dear","233"
"soon","223"
"may","221"
"shall","218"
"thought","218"
"see","216"
"other","213"
"without","212"
"man","205"
"first","203"
"again","202"
"sure","200"
"out","200"
"made","197"
"fairfax","196"
"frank","192"
"like","192"
"ever","191"
"young","189"
"churchill","185"
"up","176"
"two","171"
"though","168"
"better","167"
"indeed","165"
"into","164"
"come","164"
"then","163"
"body","161"
"just","159"
"after","156"
"give","156"
"oh","155"
"upon","154"
"friend","153"
"father","152"
"really","150"
"hartfield","150"
"make","148"
"having","146"
"way","146"
"day","144"
"us","143"
"long","142"
"seemed","140"
"rather","140"
"hope","139"
"done","138"
"himself","136"
"many","136"
"here","135"
"wish","134"
"away","132"
"poor","130"
"while","130"
"even","130"
"over","127"
"does","126"
"go","126"
"home","124"
"however","124"
"enough","123"
"mind","121"
"bates","120"
"its","120"
"heard","119"
"happy","118"
"highbury","118"
"take","117"
"going","117"
"last","115"
"came","114"
"look","114"
"woman","114"
"love","113"
"pleasure","113"
"still","110"
"felt","110"
"sort","110"
"saw","108"
"something","107"
"another","106"
"few","106"
"yet","104"
"moment","103"
"letter","101"
"believe","101"
"half","100"
"same","100"
"speak","98"
"hear","98"
"doubt","97"
"till","97"
"morning","97"
"idea","96"
"feelings","96"
"myself","96"
"off","95"
"our","95"
"certainly","94"
"feel","94"
"ought","93"
"party","93"
"subject","93"
"found","92"
"evening","92"
"those","91"
"friends","90"
"deal","90"
"often","90"
"right","89"
"people","89"
"yes","89"
"looked","89"
"perhaps","89"
"want","88"
"knew","88"
"house","87"
"almost","87"
"place","87"
"eltons","86"
"word","86"
"randalls","86"
"coming","86"
"john","85"
"harriets","85"
"present","85"
"let","84"
"best","82"
"possible","82"
"old","82"
"visit","82"
"suppose","81"
"both","81"
"least","81"
"where","80"
"told","79"
"once","78"
"gone","77"
"emmas","77"
"cried","77"
"world","76"
"else","76"
"tell","76"
"given","76"
"together","76"
"room","75"
"obliged","75"
"happiness","75"
"replied","74"
"family","74"
"find","74"
"wanted","74"
"kind","74"
"whole","73"
"manner","73"
"between","73"
"seen","73"
"whom","72"
"martin","70"
"hour","70"
"part","70"
"hardly","70"
"life","69"
"perry","69"
"opinion","68"
"down","68"
"far","68"
"immediately","68"
"able","67"
"left","67"
"get","67"
"short","67"
"side","66"
"less","66"
"towards","66"
"talked","66"
"understand","66"
"lady","65"
"perfectly","65"
"three","65"
"back","65"
"nobody","65"
"smith","64"
"pretty","64"
"general","64"
"spirits","63"
"true","63"
"nor","63"
"these","63"
"since","63"
"began","63"
"afraid","63"
"therefore","62"
"things","62"
"set","62"
"person","62"
"next","62"
"heart","62"
"acquaintance","62"
"put","62"
"ready","62"
"answer","62"
"either","62"
"extremely","62"
"under","62"
"looking","61"
"situation","61"
"carriage","61"
"wife","61"
"change","60"
"comfort","60"
"through","60"
"course","59"
"dare","59"
"assure","59"
"whether","59"
"marry","58"
"thinking","58"
"taken","58"
"talk","58"
"westons","58"
"sir","57"
"attention","57"
"state","56"
"others","56"
"equal","56"
"known","56"
"leave","55"
"years","55"
"exactly","55"
"sorry","55"
"chapter","55"
"longer","55"
"return","55"
"feeling","54"
"sense","54"
"imagine","54"
"bad","54"
"superior","54"
"days","54"
"degree","54"
"brought","53"
"beyond","53"
"account","53"
"minutes","53"
"gave","53"
"name","53"
"walked","52"
"business","52"
"manners","52"
"children","52"
"passed","52"
"walk","52"
"because","52"
"isabella","51"
"aunt","51"
"hand","51"
"yourself","51"
"mean","51"
"among","51"
"talking","51"
"mother","51"
"natural","50"
"cold","50"
"care","50"
"used","50"
"making","50"
"point","50"
"bear","50"
"saying","49"
"rest","49"
"read","49"
"usual","49"
"seeing","49"
"agreeable","49"
"remember","48"
"directly","48"
"appeared","48"
"eyes","48"
"wonder","48"
"affection","48"
"glad","48"
"cole","48"
"allow","47"
"means","47"
"end","47"
"took","47"
"full","46"
"society","46"
"satisfied","46"
"voice","46"
"wished","46"
"against","46"
"giving","46"
"attachment","46"
"each","46"
"brother","46"
"why","46"
"words","46"
"believed","45"
"walking","45"
"air","45"
"likely","45"
"went","45"
"interest","45"
"girl","45"
"particularly","45"
"married","45"
"ladies","44"
"speaking","44"
"near","44"
"churchills","44"
"london","44"
"pleased","44"
"respect","44"
"donwell","44"
"called","44"
"daughter","43"
"strong","43"
"already","43"
"campbell","43"
"regard","43"
"smile","42"
"meant","42"
"real","42"
"ask","42"
"need","42"
"call","42"
"character","42"
"hoped","42"
"proper","42"
"farther","42"
"dinner","42"
"doing","41"
"ill","41"
"early","41"
"fathers","41"
"stay","41"
"particular","41"
"fine","41"
"spoke","40"
"allowed","40"
"power","40"
"door","40"
"reason","40"
"thank","40"
"woodhouses","40"
"beginning","40"
"ah","40"
"conversation","40"
"help","39"
"whose","39"
"round","39"
"meeting","39"
"settled","39"
"question","39"
"knightleys","39"
"weather","39"
"wrong","38"
"asked","38"
"consider","38"
"sometimes","38"
"delightful","38"
"bring","38"
"colonel","38"
"met","38"
"thoughts","38"
"different","38"
"expected","38"
"fond","38"
"sit","38"
"son","37"
"creature","37"
"truth","37"
"five","37"
"letters","37"
"pleasant","37"
"dixon","37"
"afterwards","37"
"convinced","37"
"use","37"
"object","36"
"open","36"
"sat","36"
"returned","36"
"determined","36"
"continued","36"
"received","36"
"entirely","36"
"impossible","36"
"sitting","36"
"themselves","36"
"got","36"
"head","36"
"taylor","36"
"fancy","36"
"added","36"
"nature","35"
"child","35"
"night","35"
"new","35"
"seem","35"
"amiable","35"
"common","35"
"kindness","35"
"enscombe","35"
"necessary","34"
"temper","34"
"forward","34"
"comfortable","34"
"news","34"
"taste","34"
"campbells","33"
"engaged","33"
"handsome","33"
"large","33"
"sent","33"
"marriage","33"
"perfect","33"
"appear","33"
"probably","33"
"keep","33"
"neither","33"
"circumstance","33"
"supposed","33"
"please","33"
"absolutely","33"
"excellent","33"
"goddards","33"
"surprize","33"
"fortune","32"
"within","32"
"meet","32"
"acquainted","32"
"meaning","32"
"men","31"
"pass","31"
"company","31"
"anxious","31"
"evil","31"
"pain","31"
"resolution","31"
"praise","31"
"serious","31"
"ten","31"
"health","31"
"wanting","31"
"spoken","30"
"compliment","30"
"face","30"
"worth","30"
"months","30"
"begin","30"
"husband","30"
"maple","30"
"danger","30"
"persuaded","30"
"interesting","30"
"difference","30"
"greater","30"
"appearance","30"
"hearing","30"
"says","30"
"difficulty","30"
"knows","30"
"fairfaxs","30"
"second","29"
"circumstances","29"
"beauty","29"
"grove","29"
"fair","29"
"turned","29"
"case","29"
"small","29"
"followed","29"
"gratitude","29"
"delighted","29"
"surprized","29"
"charming","29"
"bodys","29"
"papa","29"
"greatest","29"
"obliging","29"
"hours","28"
"smiling","28"
"attentions","28"
"robert","28"
"shew","28"
"matter","28"
"forget","28"
"judgment","28"
"turn","28"
"week","28"
"engagement","27"
"ago","27"
"ball","27"
"easy","27"
"whenever","27"
"year","27"
"excuse","27"
"actually","27"
"cheerful","27"
"warm","27"
"curiosity","27"
"decided","27"
"merely","27"
"companion","27"
"none","27"
"times","27"
"advantage","27"
"happened","27"
"except","27"
"dancing","27"
"hers","26"
"pity","26"
"crown","26"
"certain","26"
"sister","26"
"view","26"
"regret","26"
"completely","26"
"late","26"
"ashamed","26"
"knowledge","26"
"taking","26"
"resolved","26"
"martins","26"
"elegant","25"
"coles","25"
"understanding","25"
"quiet","25"
"knowing","25"
"led","25"
"goddard","25"
"aware","25"
"silent","25"
"tried","25"
"lived","25"
"mentioned","25"
"depend","25"
"pay","25"
"yesterday","25"
"loved","25"
"occasion","25"
"match","25"
"conduct","25"
"spirit","25"
"worse","25"
"style","25"
"friendship","25"
"consequence","25"
"clever","25"
"instead","25"
"looks","25"
"honour","24"
"alone","24"
"influence","24"
"plan","24"
"seems","24"
"struck","24"
"sight","24"
"entered","24"
"highly","24"
"write","24"
"notice","24"
"comes","24"
"distance","24"
"generally","24"
"favour","24"
"sensible","24"
"marrying","24"
"spite","24"
"judge","24"
"satisfaction","24"
"fortunate","24"
"vain","23"
"chuse","23"
"sad","23"
"send","23"
"odd","23"
"consideration","23"
"fact","23"
"hurry","23"
"scheme","23"
"justice","23"
"behaviour","23"
"turning","23"
"attached","23"
"box","23"
"sake","23"
"disposition","23"
"purpose","23"
"admiration","23"
"join","23"
"horses","23"
"abbey","23"
"became","23"
"understood","23"
"proof","23"
"four","22"
"music","22"
