"Word","Count"
"the","3148"
"of","2350"
"and","2244"
"to","2232"
"her","1554"
"a","1526"
"in","1255"
"i","1245"
"was","1105"
"she","1089"
"it","1074"
"not","1030"
"you","905"
"that","793"
"be","793"
"for","717"
"had","699"
"as","679"
"with","660"
"but","559"
"he","539"
"his","524"
"is","519"
"at","511"
"have","488"
"by","467"
"so","466"
"catherine","426"
"on","406"
"they","378"
"very","375"
"could","362"
"all","345"
"my","342"
"no","338"
"which","330"
"were","311"
"would","309"
"from","291"
"been","287"
"this","286"
"him","278"
"what","262"
"an","261"
"do","246"
"or","240"
"their","237"
"such","228"
"are","226"
"them","223"
"will","220"
"me","212"
"your","209"
"there","206"
"am","205"
"only","205"
"miss","205"
"if","204"
"one","203"
"can","200"
"more","196"
"tilney","193"
"must","190"
"said","178"
"when","177"
"mrs","175"
"than","170"
"any","170"
"much","169"
"being","164"
"now","160"
"mr","160"
"did","159"
"well","157"
"never","157"
"we","156"
"how","153"
"some","151"
"should","149"
"time","145"
"know","144"
"before","143"
"herself","138"
"might","137"
"think","136"
"own","135"
"every","130"
"isabella","129"
"general","129"
"into","127"
"thorpe","126"
"who","123"
"morland","122"
"out","119"
"allen","116"
"after","116"
"good","115"
"though","115"
"about","114"
"other","114"
"nothing","111"
"say","110"
"most","110"
"without","109"
"then","106"
"young","104"
"go","104"
"first","103"
"little","102"
"brother","101"
"too","100"
"thought","99"
"its","99"
"sure","98"
"great","97"
"however","97"
"henry","96"
"friend","94"
"soon","93"
"has","91"
"up","91"
"room","91"
"away","90"
"indeed","90"
"day","90"
"like","89"
"may","88"
"again","88"
"here","87"
"see","87"
"man","87"
"upon","86"
"dear","86"
"two","86"
"made","86"
"shall","85"
"quite","85"
"always","85"
"having","82"
"bath","81"
"ever","76"
"oh","76"
"long","75"
"even","74"
"moment","74"
"last","73"
"heart","72"
"make","72"
"seemed","69"
"way","69"
"just","68"
"yes","68"
"anything","67"
"world","65"
"look","65"
"eleanor","65"
"over","65"
"father","64"
"perhaps","64"
"give","63"
"us","62"
"mind","62"
"family","61"
"morning","61"
"saw","60"
"half","60"
"yet","60"
"down","60"
"till","60"
"catherines","59"
"place","59"
"another","58"
"felt","58"
"enough","58"
"house","58"
"almost","58"
"come","58"
"few","57"
"hope","56"
"off","56"
"better","56"
"hour","56"
