"Word","Count"
"the","4321"
"to","4127"
"of","3596"
"and","3528"
"her","2215"
"i","2053"
"a","1939"
"in","1862"
"was","1843"
"she","1703"
"that","1568"
"not","1535"
"it","1521"
"you","1348"
"he","1331"
"his","1267"
"be","1238"
"as","1179"
"had","1174"
"with","1051"
"for","1045"
"but","972"
"is","858"
"have","841"
"at","786"
"mr","783"
"him","761"
"my","717"
"on","715"
"by","634"
"all","619"
"they","601"
"elizabeth","594"
"so","584"
"were","565"
"which","535"
"could","524"
"been","515"
"from","490"
"very","485"
"no","483"
"what","473"
"would","469"
"your","456"
"this","446"
"me","441"
"their","441"
"them","434"
"will","411"
"said","401"
"such","387"
"when","371"
"darcy","371"
"an","353"
"do","347"
"there","345"
"if","344"
"mrs","343"
"are","339"
"much","327"
"more","325"
"can","322"
"am","316"
"must","308"
"or","295"
"bennet","293"
"miss","283"
"who","283"
"than","282"
"did","271"
"any","269"
"one","265"
"jane","259"
"bingley","257"
"we","251"
"should","248"
"know","238"
"how","227"
"before","227"
"herself","224"
"has","221"
"though","221"
"never","220"
"soon","216"
"only","215"
"well","212"
"think","211"
"now","209"
"some","208"
"other","208"
"time","200"
"might","200"
"after","199"
"every","198"
"may","192"
"little","189"
"most","187"
"lady","183"
"own","183"
"good","182"
"sister","178"
"again","177"
"nothing","176"
"being","175"
"then","172"
"without","170"
"make","167"
"shall","162"
"wickham","161"
"say","158"
"dear","157"
"collins","156"
"family","152"
"see","149"
"first","145"
"into","142"
"man","142"
"great","141"
"too","141"
"two","135"
"however","134"
"out","134"
"lydia","131"
"young","130"
"ever","130"
"day","129"
"made","126"
"himself","125"
"us","123"
"give","123"
"hope","121"
"up","120"
"about","120"
"last","119"
"always","118"
"many","118"
"away","117"
"father","116"
"letter","115"
"long","114"
"sisters","114"
"room","112"
"thought","111"
"catherine","110"
"mother","108"
"way","107"
"house","105"
"its","104"
"enough","104"
"replied","103"
"friend","103"
"saw","102"
"sure","102"
"go","101"
"felt","100"
"wish","97"
"quite","96"
"having","96"
"manner","96"
"lizzy","94"
"myself","93"
"indeed","92"
"better","92"
"till","92"
"come","92"
"oh","92"
"love","91"
"pleasure","91"
"cried","91"
"came","90"
"done","89"
"often","89"
"over","89"
"where","88"
"really","88"
"longbourn","88"
"believe","87"
"heard","86"
"feelings","86"
"does","84"
"gardiner","84"
"subject","84"
"whom","84"
"even","82"
"happy","81"
"take","80"
"anything","79"
"whole","79"
"aunt","78"
"sir","78"
"less","77"
"daughter","77"
"morning","77"
"like","77"
"upon","76"
"perhaps","76"
"let","75"
"while","75"
"seen","75"
"our","74"
"ladies","74"
"therefore","73"
"yet","73"
"down","73"
"netherfield","73"
"looked","73"
"just","72"
"still","72"
"evening","72"
"happiness","72"
"nor","71"
"both","71"
"tell","71"
"hear","71"
"place","71"
"added","71"
"few","71"
"next","70"
"certainly","70"
"something","70"
"these","69"
"same","69"
"kitty","69"
"here","68"
"opinion","68"
"told","68"
"attention","68"
"present","68"
"charlotte","67"
"towards","67"
"world","66"
"marriage","66"
"seemed","66"
"speak","66"
"went","66"
"found","66"
"lucas","65"
"colonel","65"
"home","65"
"left","65"
"least","65"
"answer","64"
"yes","64"
"moment","64"
"together","63"
"town","63"
"each","63"
"off","62"
"between","62"
"gone","61"
"received","61"
"friends","61"
"character","61"
"chapter","61"
"brother","61"
"passed","61"
"kind","61"
"married","61"
"leave","60"
"immediately","60"
"seeing","60"
"coming","60"
"part","60"
"conversation","60"
"because","60"
"since","59"
"began","59"
"whose","59"
"those","59"
"either","59"
"almost","59"
"uncle","59"
"knew","58"
"affection","58"
"another","58"
"find","58"
"far","58"
"going","57"
"three","57"
"known","57"
"daughters","57"
"once","57"
"meryton","57"
"life","56"
"means","56"
"look","56"
"party","56"
"mind","56"
"possible","55"
"given","55"
"woman","55"
"behaviour","55"
"rather","55"
"bingleys","54"
"able","54"
"london","54"
"gave","54"
"side","53"
"others","53"
"pemberley","53"
"took","53"
"whether","53"
"certain","52"
"against","52"
"eyes","52"
"get","52"
"why","52"
"continued","51"
"reason","51"
"visit","51"
"acquaintance","51"
"walk","51"
"general","51"
"yourself","49"
"person","49"
"rosings","49"
"idea","49"
"regard","49"
"return","49"
"object","48"
"word","48"
"suppose","48"
"ill","47"
"perfectly","47"
"settled","47"
"people","46"
"course","46"
"half","46"
"hardly","46"
"returned","45"
"business","45"
"heart","45"
"scarcely","45"
"ought","45"
"girls","45"
"point","45"
"want","44"
"walked","44"
"darcys","44"
"pride","44"
"everything","44"
"longer","44"
"wife","44"
"carriage","44"
"spoke","43"
"turned","43"
"impossible","43"
"manners","43"
"else","43"
"agreeable","43"
"short","43"
"honour","42"
"power","42"
"marry","42"
"husband","42"
"thing","42"
"through","42"
"expected","42"
"civility","42"
"best","41"
"help","41"
"cousin","41"
"back","41"
"called","41"
"country","40"
"asked","40"
"right","40"
"dare","40"
"read","40"
"william","40"
"convinced","40"
"rest","39"
"spirits","39"
"fortune","39"
"bennets","39"
"de","39"
"write","39"
"met","39"
"assure","39"
"hertfordshire","39"
"talking","39"
"feel","39"
"feeling","38"
"sat","38"
"former","38"
"situation","38"
"elizabeths","38"
"forster","38"
"neither","38"
"likely","38"
"near","38"
"talked","38"
"mary","38"
"account","38"
"lydias","38"
"wished","38"
"sort","38"
"pleased","38"
"brought","37"
"believed","37"
"engaged","37"
"handsome","37"
"doubt","37"
"poor","37"
"stay","37"
"girl","37"
"occasion","37"
"minutes","37"
"glad","37"
"afraid","37"
"beyond","36"
"surprise","36"
"entered","36"
"different","36"
"years","35"
"sense","35"
"sometimes","35"
"care","35"
"gentlemen","35"
"amiable","35"
"everybody","35"
"making","35"
"expect","35"
"saying","34"
"thousand","34"
"bourgh","34"
"also","34"
"surprised","34"
"night","34"
"invitation","34"
"whatever","34"
"silence","34"
"within","34"
"sorry","34"
"mean","34"
"deal","34"
"answered","34"
"wonder","34"
"themselves","34"
"usual","34"
"days","34"
"advantage","34"
"wishes","34"
"four","33"
"consider","33"
"society","33"
"ball","33"
"satisfied","33"
"merely","33"
"appearance","33"
"under","33"
"dinner","33"
"ten","33"
"wickhams","32"
"door","32"
"determined","32"
"length","32"
"dance","32"
"ask","32"
"men","32"
"talk","32"
"speaking","32"
"sensible","32"
"particularly","32"
"fitzwilliam","32"
"head","32"
"name","32"
"afterwards","32"
"hurst","32"
"instantly","31"
"gentleman","31"
"real","31"
"put","31"
"taken","31"
"meet","31"
"necessary","31"
"appeared","31"
"comfort","31"
"fine","31"
"case","31"
"alone","30"
"set","30"
"allow","30"
"five","30"
"air","30"
"officers","30"
"exactly","30"
"countenance","30"
"astonishment","30"
"understand","30"
"equal","30"
"resolved","30"
"younger","30"
"arrival","30"
"respect","30"
"consequence","30"
"appear","30"
"ladyship","30"
"words","30"
"looking","29"
"neighbourhood","29"
"smile","29"
"hours","29"
"opportunity","29"
"lost","29"
"obliged","29"
"mention","29"
"kindness","29"
"end","29"
"news","29"
"week","29"
"assured","28"
"things","28"
"offer","28"
"joined","28"
"receive","28"
"meant","28"
"highly","28"
"year","28"
"early","28"
"mentioned","28"
"call","28"
"matter","28"
"janes","28"
"already","28"
"particular","28"
"circumstances","27"
"phillips","27"
"information","27"
"imagine","27"
"knowing","27"
"truth","27"
"face","27"
"observed","27"
"absence","27"
"during","27"
"credit","27"
"pain","27"
"forward","27"
"attachment","27"
"satisfaction","27"
"table","27"
"thus","27"
"beauty","26"
"allowed","26"
"walking","26"
"attentions","26"
"ago","26"
"expressed","26"
"true","26"
"silent","26"
"liked","26"
"anxious","26"
"keep","26"
"interest","26"
"money","26"
"easily","26"
"supposed","26"
"wholly","26"
"exceedingly","26"
"reply","26"
"turn","26"
"pray","26"
"compliment","26"
"followed","25"
"doing","25"
"entirely","25"
"concern","25"
"persuaded","25"
"delight","25"
"thoughts","25"
"among","25"
"children","25"
"mothers","25"
"disposition","25"
"giving","25"
"bear","25"
"got","25"
"admiration","25"
"second","24"
"master","24"
"derbyshire","24"
"send","24"
"easy","24"
"hand","24"
"change","24"
"pounds","24"
"brighton","24"
"pretty","24"
"probably","24"
"relations","24"
"temper","24"
"living","24"
"anyone","24"
"acquainted","24"
"hunsford","24"
"express","24"
"collinss","24"
"greater","24"
"match","24"
"wanted","24"
"hearing","24"
"serious","24"
"happened","24"
"attended","24"
"nature","23"
"large","23"
"small","23"
"dislike","23"
"gratitude","23"
"delighted","23"
"remained","23"
"following","23"
"importance","23"
"frequently","23"
"library","23"
"new","23"
"curiosity","23"
"depend","23"
"sake","23"
"hopes","23"
"conduct","23"
"prevented","23"
"spite","23"
"several","23"
"considered","23"
"inquiries","23"
"anybody","23"
"degree","23"
"fear","23"
"fair","22"
"desire","22"
"proud","22"
"natural","22"
"expression","22"
"company","22"
"pleasing","22"
"inclination","22"
"latter","22"
"terms","22"
"voice","22"
"months","22"
"remember","22"
"whenever","22"
"directly","22"
"event","22"
"favour","22"
"especially","22"
"hour","22"
"park","22"
"meeting","22"
"spent","22"
"praise","22"
"fixed","22"
"seems","22"
"except","22"
"fortnight","21"
"marrying","21"
"listened","21"
"eliza","21"
"above","21"
"promised","21"
"trouble","21"
"live","21"
"breakfast","21"
"notice","21"
"thinking","21"
"journey","21"
"attempt","21"
"further","21"
"pleasant","21"
"instead","21"
"madam","21"
"repeated","21"
"humour","21"
"intended","21"
"design","21"
"wrote","21"
"dancing","21"
"endeavour","21"
"engagement","20"
"vain","20"
"understanding","20"
"connection","20"
"sent","20"
"work","20"
"forced","20"
"nephew","20"
"receiving","20"
"ready","20"
"used","20"
"charming","20"
"mistaken","20"
"equally","20"
"niece","20"
"particulars","20"
