"Word","Count"
"the","4085"
"to","4084"
"of","3567"
"and","3371"
"her","2510"
"a","2042"
"in","1927"
"i","1921"
"was","1843"
"it","1697"
"she","1570"
"that","1348"
"not","1323"
"be","1283"
"for","1229"
"as","1212"
"you","1150"
"he","1080"
"his","1015"
"had","993"
"with","984"
"at","831"
"have","816"
"but","795"
"by","745"
"is","745"
"on","690"
"all","647"
"so","633"
"him","632"
"elinor","616"
"my","613"
"which","589"
"could","572"
"no","547"
"from","537"
"mrs","525"
"would","514"
"they","507"
"very","497"
"their","496"
"marianne","488"
"them","461"
"were","440"
"been","438"
"this","429"
"what","427"
"me","422"
"more","402"
"any","390"
"said","387"
"your","378"
"every","373"
"than","361"
"such","353"
"will","353"
"or","342"
"an","341"
"do","317"
"one","316"
"when","300"
"can","293"
"if","289"
"much","286"
"only","286"
"must","282"
"own","269"
"who","264"
"herself","249"
"did","240"
"time","237"
"should","236"
"am","235"
"are","232"
"now","230"
"there","229"
"know","227"
"dashwood","224"
"how","217"
"might","215"
"sister","213"
"though","213"
"we","212"
"some","212"
"has","211"
"edward","210"
"miss","209"
"well","209"
"think","205"
"after","202"
"mother","201"
"jennings","198"
"before","196"
"never","186"
"thing","184"
"other","183"
"too","181"
"nothing","180"
"soon","178"
"mr","178"
"willoughby","176"
"without","174"
"may","173"
"see","171"
"ever","167"
"being","165"
"colonel","163"
"out","161"
"first","160"
"say","158"
"lucy","156"
"little","156"
"most","154"
"however","153"
"two","150"
"then","148"
"house","148"
"great","147"
"john","147"
"good","145"
"about","144"
"again","140"
"make","139"
"day","138"
"lady","137"
"made","137"
"its","135"
"sure","130"
"shall","127"
"give","126"
"always","123"
"heart","123"
"even","123"
"sir","118"
"thought","116"
"brandon","116"
"into","115"
"dear","115"
"man","114"
"saw","111"
"away","111"
"himself","111"
"ferrars","109"
"up","108"
"while","108"
"felt","104"
"young","103"
"last","102"
"long","102"
"enough","100"
"same","100"
"many","99"
"replied","99"
"still","99"
"sisters","99"
"myself","99"
"go","98"
"left","98"
"over","98"
"happy","97"
"upon","97"
"room","97"
"mind","97"
"come","97"
"less","96"
"therefore","93"
"both","93"
"kind","93"
"quite","92"
"where","91"
"seemed","91"
"indeed","90"
"believe","90"
"barton","89"
"came","89"
"world","89"
"us","88"
"tell","88"
"middleton","87"
"hope","86"
"moment","85"
"almost","85"
"cried","85"
"really","84"
"town","84"
"nor","83"
"present","83"
"family","82"
"till","82"
"morning","80"
"perhaps","80"
"like","79"
"place","79"
"few","79"
"heard","78"
"affection","78"
"better","77"
"down","76"
"love","75"
"another","75"
"letter","74"
"yet","74"
"rather","74"
"our","74"
"mariannes","72"
"way","72"
"feelings","72"
"once","72"
"found","71"
"together","71"
"wish","71"
"immediately","71"
"gave","71"
"something","71"
"done","70"
"hear","69"
"brother","69"
"spirits","68"
"told","68"
"just","68"
"between","68"
"look","68"
"home","68"
"subject","68"
"least","68"
"far","68"
"whom","68"
"whole","66"
"person","66"
"pleasure","66"
"towards","65"
"against","65"
"hardly","65"
"feel","65"
"poor","64"
"woman","64"
"engagement","63"
"these","63"
"friends","63"
"behaviour","63"
"palmer","63"
"happiness","63"
"because","63"
"acquaintance","62"
"opinion","62"
"three","62"
"knew","61"
"elinors","61"
"since","61"
"others","61"
"looked","61"
"certainly","60"
"cottage","60"
"visit","60"
"comfort","60"
"within","59"
"known","59"
"brought","58"
"leave","58"
"going","58"
"having","58"
"speak","58"
"off","57"
"each","57"
"attention","57"
"here","56"
"life","56"
"manner","56"
"seen","56"
"dashwoods","56"
"oh","56"
"short","56"
"continued","55"
"yes","55"
"eyes","55"
"general","55"
"find","55"
"half","55"
"situation","54"
"does","54"
"wished","54"
"side","54"
"suppose","54"
"end","54"
"people","53"
"rest","53"
"reason","53"
"norland","53"
"returned","52"
"given","52"
"next","51"
"park","51"
"often","51"
"under","51"
"took","51"
"longer","51"
"friend","50"
"voice","50"
"chapter","50"
"married","50"
"possible","49"
"farther","49"
"went","49"
"mothers","49"
"body","49"
"regard","49"
"passed","49"
"evening","48"
"party","48"
"those","48"
"part","48"
"already","48"
"years","47"
"thousand","47"
"word","47"
"whose","47"
"street","47"
"days","47"
"why","47"
"determined","46"
"beyond","46"
"able","46"
"matter","46"
"obliged","46"
"minutes","46"
"particular","46"
"take","45"
"doubt","45"
"business","45"
"neither","45"
"power","44"
"marriage","44"
"else","44"
"glad","44"
"old","43"
"edwards","43"
"name","43"
"put","43"
"perfectly","43"
"interest","43"
"account","43"
"called","43"
"entirely","42"
"directly","42"
"kindness","42"
"wife","42"
"whether","42"
"hours","41"
"return","41"
"seeing","41"
"began","41"
"fanny","41"
"added","41"
"want","40"
"engaged","40"
"pounds","40"
"equally","40"
"surprise","40"
"talk","40"
"carriage","40"
"four","39"
"saying","39"
"received","39"
"hand","39"
"entered","39"
"back","39"
"conversation","39"
"willoughbys","38"
"real","38"
"steele","38"
"whatever","38"
"point","38"
"greater","38"
"expected","38"
"yourself","37"
"child","37"
"sat","37"
"means","37"
"husband","37"
"fortune","37"
"mean","37"
"coming","37"
"through","37"
"spent","37"
"giving","37"
"themselves","37"
"satisfaction","37"
"object","36"
"open","36"
"dare","36"
"door","36"
"daughter","36"
"jenningss","36"
"live","36"
"year","36"
"impossible","36"
"ask","36"
"wonder","36"
"conduct","36"
"settled","36"
"silent","35"
"pretty","35"
"ought","35"
"call","35"
"spite","35"
"head","35"
"arrival","35"
"spoke","34"
"manners","34"
"ready","34"
"appeared","34"
"girl","34"
"either","34"
"particularly","34"
"london","34"
"gone","33"
"night","33"
"months","33"
"care","33"
"middletons","33"
"sorry","33"
"answer","33"
"character","33"
"deal","33"
"children","33"
"attachment","33"
"case","33"
"week","33"
"ladies","33"
"country","32"
"afterwards","32"
"set","32"
"invitation","32"
"silence","32"
"maam","32"
"near","32"
"talked","32"
"sake","32"
"living","32"
"assure","32"
"pleased","32"
"margaret","32"
"right","31"
"instantly","31"
"sense","31"
"confidence","31"
"keep","31"
"new","31"
"get","31"
"different","31"
"hour","31"
"common","31"
"fancy","31"
"convinced","31"
"daughters","31"
"alone","30"
"believed","30"
"natural","30"
"course","30"
"certain","30"
"full","30"
"wishes","30"
"stay","30"
"former","30"
"comfortable","30"
"judgment","30"
"wanted","30"
"happened","30"
"circumstances","29"
"son","29"
"small","29"
"company","29"
"walked","29"
"opportunity","29"
"kept","29"
"taken","29"
"anxious","29"
"necessary","29"
"usual","29"
"sometimes","28"
"marry","28"
"five","28"
"doing","28"
"change","28"
"remained","28"
"strong","28"
"robert","28"
"moments","28"
"likely","28"
"countenance","28"
"misery","28"
"easily","28"
"knowledge","28"
"appearance","28"
"resolved","28"
"repeated","28"
"greatest","28"
"steeles","28"
"words","28"
"lord","27"
"future","27"
"turned","27"
"past","27"
"let","27"
"truth","27"
"concern","27"
"exactly","27"
"affair","27"
"suffered","27"
"round","27"
"favour","27"
"occasion","27"
"got","27"
"hearing","27"
"considered","27"
"taste","27"
"expect","27"
"question","27"
"assured","26"
"best","26"
"handsome","26"
"large","26"
"surprised","26"
"allow","26"
"produced","26"
"gentleman","26"
"notice","26"
"declared","26"
"acquainted","26"
"mama","26"
"understand","26"
"exceedingly","26"
"resolution","26"
"talking","26"
"state","26"
"expectation","26"
"lucys","26"
"fear","26"
"feeling","25"
"anything","25"
"likewise","25"
"satisfied","25"
"latter","25"
"event","25"
"pain","25"
"money","25"
"fine","25"
"delaford","25"
"otherwise","25"
"bed","25"
"advantage","25"
"use","25"
"desire","24"
"devonshire","24"
"face","24"
"forced","24"
"appear","24"
"low","24"
"agreeable","24"
"scarcely","24"
"cleveland","24"
"met","24"
"curiosity","24"
"delight","24"
"thoughts","24"
"father","24"
"answered","24"
"late","24"
"dont","24"
"supposed","24"
"favourite","24"
"taking","24"
"proper","24"
"brandons","24"
"dinner","24"
"seems","24"
"ten","24"
"distress","24"
"joy","24"
"nature","23"
"tears","23"
"formed","23"
"smile","23"
"immediate","23"
"knowing","23"
"painful","23"
"society","23"
"worth","23"
"ill","23"
"earnest","23"
"probably","23"
"effect","23"
"weeks","23"
"unfortunate","23"
"making","23"
"disappointment","23"
"idea","23"
"meeting","23"
"reached","23"
"serious","23"
"income","23"
"afraid","23"
"table","23"
"asked","22"
"prevent","22"
"consider","22"
"plan","22"
"easy","22"
"regret","22"
"tomorrow","22"
"read","22"
"journey","22"
"danger","22"
"meet","22"
"merely","22"
"share","22"
"bear","22"
"fixed","22"
"respect","22"
"affectionate","22"
"promise","22"
"beauty","21"
"wrong","21"
"things","21"
"address","21"
"sent","21"
"avoid","21"
"true","21"
"cold","21"
"window","21"
"conviction","21"
"tried","21"
"hundred","21"
"melancholy","21"
"temper","21"
"wait","21"
"among","21"
"disposition","21"
"constant","21"
"equal","21"
"view","21"
"strange","21"
"fond","21"
"leaving","21"
"thus","21"
"looking","20"
"exertion","20"
"emotion","20"
"eager","20"
"letters","20"
"chance","20"
"above","20"
"delighted","20"
"remember","20"
