"Word","Count"
"the","11323"
"of","3453"
"a","3368"
"to","2936"
"he","2803"
"and","2553"
"was","2432"
"in","2231"
"his","1962"
"langdon","1881"
"had","1547"
"it","1457"
"you","1046"
"that","1023"
"as","1009"
"i","949"
"on","939"
"is","859"
"vittoria","846"
"not","840"
"for","810"
"with","779"
"him","741"
"at","726"
"her","723"
"but","696"
"this","682"
"she","640"
"they","596"
"from","590"
"said","585"
"were","565"
"an","562"
"camerlegno","540"
"be","512"
"no","491"
"have","487"
"out","485"
"what","475"
"like","450"
"could","445"
"now","438"
"one","437"
"would","437"
"by","406"
"are","386"
"if","382"
"all","376"
"been","365"
"into","362"
"there","358"
"kohler","349"
"we","347"
"up","342"
"looked","327"
"them","316"
"felt","313"
"illuminati","311"
"vatican","309"
"then","299"
"back","289"
"your","286"
"only","278"
"when","277"
"god","271"
"down","268"
"their","267"
"man","260"
"church","257"
"who","253"
"eyes","252"
"thought","252"
"so","250"
"about","250"
"me","247"
"do","243"
"over","243"
"before","234"
"did","230"
"will","230"
"olivetti","226"
"here","225"
"my","224"
"its","223"
"through","222"
"time","221"
"seemed","221"
"knew","214"
"even","212"
"where","209"
"turned","203"
"just","196"
"more","195"
"toward","193"
"still","191"
"how","186"
"some","185"
"himself","185"
"cardinals","184"
"again","182"
"see","179"
"two","178"
"guard","178"
"voice","175"
"moment","168"
"around","167"
"know","167"
"inside","164"
"father","164"
"or","161"
"door","160"
"than","158"
"world","157"
"never","157"
"antimatter","154"
"off","153"
"can","153"
"langdons","151"
"st","149"
"science","146"
"right","145"
"something","144"
"glick","141"
"first","141"
"across","141"
"city","140"
"nothing","139"
"square","138"
"has","133"
"body","133"
"most","132"
"mortati","132"
"too","132"
"face","130"
"way","128"
"saw","127"
"four","126"
"us","125"
"any","125"
"peters","123"
"other","123"
"hassassin","122"
"head","122"
"looking","121"
"behind","120"
"our","118"
"stood","117"
"suddenly","117"
"am","116"
"floor","115"
"chartrand","115"
"light","115"
"told","114"
"hand","114"
"found","113"
"chapel","113"
"im","113"
"pope","113"
"away","112"
"air","112"
"swiss","112"
"beneath","110"
"look","110"
"yet","109"
"men","108"
"room","108"
"mind","107"
"rome","107"
"moved","106"
"called","106"
"left","104"
"cardinal","104"
"vetra","104"
"began","103"
"guards","103"
"open","103"
"let","102"
"need","102"
"think","102"
"another","102"
"rocher","101"
"yes","101"
"took","100"
"made","99"
"find","98"
"almost","97"
"dont","97"
"far","97"
"robert","96"
"phone","96"
"why","95"
"after","94"
"wall","94"
"heard","93"
"get","93"
"go","92"
"cern","92"
"long","91"
"new","91"
"water","91"
"going","90"
"ever","90"
"asked","89"
"these","89"
"believe","89"
"stared","89"
"front","88"
"outside","87"
"life","86"
"well","86"
"macri","86"
"earth","86"
"last","85"
"camerlegnos","85"
"very","85"
"every","85"
"canister","85"
"hell","84"
"feet","84"
"people","83"
"make","83"
"ancient","83"
"which","83"
"office","82"
"own","81"
"came","80"
"popes","80"
"mr","80"
"night","79"
"power","78"
"fire","78"
"realized","78"
"ran","78"
"nodded","78"
"wondered","78"
"years","77"
"line","77"
"leonardo","77"
"youre","77"
"tried","77"
"sensed","77"
"minutes","77"
"much","76"
"hands","76"
"someone","76"
"although","76"
"words","76"
"though","75"
"come","75"
"work","74"
"dark","74"
"tomb","74"
"tell","73"
"three","73"
"must","73"
"end","73"
"name","73"
"old","72"
"trying","72"
"want","71"
"bernini","71"
"seen","71"
"dead","71"
"breath","70"
"piazza","70"
"read","70"
"apparently","70"
"always","69"
"both","69"
"camera","69"
"pain","69"
"didnt","69"
"reached","69"
"already","69"
"pulled","68"
"say","68"
"word","68"
"got","68"
"hear","68"
"without","68"
"take","67"
"also","67"
"help","67"
"side","67"
"killer","67"
"good","67"
"vittorias","66"
"next","66"
"commander","66"
"enough","66"
"held","65"
"against","64"
"silence","64"
"conclave","64"
"many","63"
"kohlers","63"
"those","63"
"top","63"
"place","63"
"path","62"
"stopped","61"
"faith","61"
"final","61"
"went","61"
"sense","61"
"mans","60"
"smiled","60"
"few","60"
"each","60"
"course","59"
"above","59"
"gun","59"
"day","59"
"instant","59"
"coming","59"
"fear","59"
"until","58"
"sat","58"
"tonight","58"
"five","58"
"heart","58"
"gods","57"
"directly","57"
"matter","57"
"however","57"
"white","57"
"because","57"
"call","56"
"doubt","56"
"signore","56"
"media","56"
"pantheon","56"
"shot","56"
"black","56"
"everyone","56"
"under","56"
"beside","56"
"lay","55"
"arms","55"
"once","55"
"bbc","55"
"actually","54"
"immediately","54"
"pointed","54"
"same","54"
"marble","54"
"center","54"
"sure","54"
"anything","53"
"stone","53"
"image","53"
"entire","53"
"thats","53"
"should","53"
"understand","53"
"carlo","53"
"watch","53"
"gave","53"
"being","52"
"scientists","52"
"history","52"
"sistine","52"
"wanted","52"
"chest","51"
"stop","51"
"basilica","51"
"sound","51"
"hit","51"
"later","50"
"young","50"
"death","50"
"used","50"
"sacred","50"
"woman","50"
"fountain","50"
"spoke","49"
"hole","49"
"demanded","49"
"fell","49"
"secret","49"
"brand","49"
"crowd","48"
"ago","48"
"standing","48"
"galileo","48"
"deep","48"
"gone","47"
"really","47"
"darkness","47"
"blood","47"
"late","47"
"everything","47"
"passed","47"
"stairs","47"
"past","46"
"perfect","46"
"security","46"
"opened","46"
"somehow","46"
"thing","46"
"single","46"
"arm","46"
"religion","45"
"certainly","45"
"building","45"
"within","45"
"lights","45"
"walls","45"
"others","45"
"tunnel","45"
"exactly","45"
"information","45"
"pilot","45"
"perhaps","45"
"glass","44"
"churches","44"
"little","44"
"forward","44"
"symbol","44"
"second","43"
"alone","43"
"small","43"
"hours","43"
"followed","43"
"does","43"
"kept","43"
"put","43"
"beyond","43"
"finally","43"
"hour","43"
"point","43"
"idea","43"
"scientific","42"
"high","42"
"truth","42"
"less","42"
"created","42"
"holding","42"
"else","42"
"search","42"
"altar","42"
"short","42"
"kind","42"
"wrong","41"
"somewhere","41"
"hope","41"
"appeared","41"
"killed","41"
"shook","41"
"angel","40"
"while","40"
"better","40"
"may","40"
"maybe","40"
"stepped","40"
"onto","40"
"talking","40"
"dropped","40"
"moving","40"
"impossible","39"
"legs","39"
"staring","39"
"doing","39"
"silent","39"
"pointing","39"
"vault","39"
"mean","39"
"olivettis","39"
"eye","39"
"simply","39"
"weapon","39"
"director","39"
"art","39"
"please","39"
"closed","39"
"feeling","38"
"possibly","38"
"lab","38"
"true","38"
"paused","38"
"arrived","38"
"cant","38"
"making","38"
"done","38"
"big","38"
"ms","38"
"today","38"
"yelled","37"
"entrance","37"
"between","37"
"since","37"
"vetras","37"
"caller","37"
"priest","36"
"surprised","36"
"great","36"
"ask","36"
"damn","36"
"keep","36"
"modern","36"
"italian","36"
"news","36"
"mother","36"
"feel","36"
"below","36"
"holy","35"
"pocket","35"
"raised","35"
"demons","35"
"walked","35"
"slowly","35"
"home","35"
"tiny","35"
"times","35"
"known","35"
"might","35"
"sort","35"
"van","35"
"wondering","34"
"window","34"
"overhead","34"
"give","34"
"berninis","34"
"wonder","34"
"alive","34"
"catholic","34"
"diagramma","34"
"frowned","33"
"bottom","33"
"quite","33"
"hes","33"
"brotherhood","33"
"pressed","33"
"move","33"
"familiar","33"
"half","33"
"religious","33"
"heavy","33"
"clear","33"
"fathers","33"
"lost","33"
"whats","33"
"grabbed","33"
"archives","33"
"barely","33"
"mouth","32"
"child","32"
"wheelchair","32"
"having","32"
"video","32"
"ill","32"
"illumination","32"
"angels","32"
"close","32"
"flesh","32"
"decided","32"
"wait","32"
"confused","32"
"map","32"
"private","32"
"figure","32"
"use","32"
"doors","31"
"motioned","31"
"smile","31"
"gazed","31"
"led","31"
"nobody","31"
"sun","31"
"spread","31"
"ahead","31"
"american","31"
"upward","31"
"captain","31"
"near","31"
"corner","31"
"whispered","31"
"running","31"
"public","31"
"days","31"
"considered","31"
"chinita","31"
"energy","31"
"english","31"
"sky","31"
"brought","30"
"enormous","30"
"replied","30"
"car","30"
"ground","30"
"scanned","30"
"missing","30"
"deeper","30"
"thoughts","30"
"despite","30"
"helicopter","30"
"kill","30"
"theres","30"
"waiting","30"
"sir","30"
"book","30"
"explained","29"
"things","29"
"papal","29"
"large","29"
"placed","29"
"speak","29"
"fact","29"
"caught","29"
"horror","29"
"probably","29"
"janus","29"
"couldnt","29"
"shoulder","29"
"max","29"
"chamber","29"
"images","29"
"seconds","29"
"hard","29"
"shadows","29"
"laughed","29"
"removed","29"
"table","29"
"warning","29"
"needed","28"
"situation","28"
"watched","28"
"imagine","28"
"continued","28"
"jesus","28"
"clearly","28"
"sylvie","28"
"taken","28"
"wasnt","28"
"lit","28"
"brilliant","28"
"miracles","28"
"crossed","28"
"entered","28"
"box","28"
"soul","28"
"main","28"
"ventresca","28"
"access","28"
"metal","28"
"direction","28"
"number","28"
"became","28"
"higher","28"
"looks","28"
"closer","28"
"opening","28"
"studied","27"
"such","27"
"imagined","27"
"west","27"
"rest","27"
"certain","27"
"whole","27"
"cerns","27"
"chopper","27"
"strength","27"
"marker","27"
"live","27"
"hesitated","27"
"hallway","27"
"obviously","27"
"sounded","27"
"located","27"
"folio","27"
"turning","27"
"filled","27"
"galileos","27"
"disappeared","27"
"rose","27"
"oh","27"
"questions","27"
"understood","27"
"cross","27"
"locked","26"
"checked","26"
"raphael","26"
"huge","26"
"sight","26"
"shrugged","26"
"become","26"
"hundred","26"
"headed","26"
"wave","26"
"believed","26"
"roman","26"
"sorry","26"
"holiness","26"
"waited","26"
"none","26"
"sitting","26"
"motion","26"
"college","26"
"longer","26"
"story","26"
"view","26"
"hold","25"
"maximilian","25"
"docent","25"
"jumped","25"
"returned","25"
"set","25"
"chance","25"
"di","25"
"space","25"
"area","25"
"pushed","25"
"famous","25"
"empty","25"
"started","25"
"group","25"
"human","25"
"walkietalkie","25"
"question","25"
"seat","25"
"often","25"
"hung","25"
"happened","25"
"branded","25"
"castle","25"
"twenty","25"
"leaving","25"
"murdered","25"
"carried","25"
"earthly","25"
"chigi","24"
"reporter","24"
"possible","24"
"leave","24"
"sign","24"
"falling","24"
"red","24"
"stack","24"
"object","24"
"slid","24"
"means","24"
"guy","24"
"clue","24"
"cold","24"
"heaven","24"
"broke","24"
"physics","24"
"forgotten","24"
"cell","24"
"control","24"
"herself","24"
"bed","24"
"recognized","24"
"contained","24"
"force","24"
"il","24"
"die","24"
"dangerous","24"
"part","24"
"itself","24"
"cut","24"
"hoped","24"
"proof","24"
"calling","24"
"churchs","24"
"casket","24"
"backward","24"
"wide","24"
"reminded","24"
"particle","24"
"follow","24"
"ten","24"
"panic","24"
"sculpture","24"
"press","24"
"saying","23"
"spot","23"
"technology","23"
"hed","23"
"centuries","23"
"reason","23"
"stunned","23"
"run","23"
"seeing","23"
"page","23"
"answer","23"
"emerged","23"
"either","23"
"bit","23"
"raphaels","23"
"protect","23"
"quickly","23"
"given","23"
"six","23"
"searching","23"
"getting","23"
"gunther","23"
"hidden","22"
"rolled","22"
