"Word","Count"
"the","10703"
"of","3779"
"a","3578"
"to","3509"
"and","3266"
"in","2218"
"langdon","1986"
"was","1772"
"he","1605"
"his","1525"
"had","1488"
"that","1321"
"it","1151"
"she","1135"
"as","1120"
"you","1089"
"her","1086"
"on","1047"
"i","1006"
"with","923"
"sienna","915"
"at","880"
"for","834"
"this","753"
"is","716"
"from","616"
"but","606"
"an","575"
"were","564"
"out","538"
"him","513"
"said","509"
"into","483"
"be","460"
"they","454"
"not","442"
"been","435"
"now","421"
"by","418"
"up","414"
"all","414"
"no","413"
"what","413"
"if","391"
"its","382"
"have","376"
"we","358"
"sinskey","341"
"me","339"
"who","339"
"could","337"
"one","321"
"through","321"
"down","317"
"back","316"
"which","308"
"them","304"
"so","298"
"eyes","298"
"would","294"
"man","293"
"like","280"
"their","274"
"there","266"
"then","262"
"are","259"
"about","254"
"just","252"
"over","250"
"more","245"
"when","245"
"my","238"
"thought","236"
"only","234"
"here","233"
"before","230"
"where","221"
"provost","221"
"your","220"
"chapter","209"
"see","208"
"world","207"
"know","205"
"brder","201"
"do","195"
"im","195"
"time","188"
"toward","188"
"felt","185"
"langdons","184"
"again","183"
"mask","182"
"than","179"
"looked","179"
"zobrist","178"
"turned","176"
"or","174"
"very","171"
"woman","171"
"head","163"
"water","161"
"dante","159"
"off","155"
"robert","155"
"across","155"
"two","155"
"moment","155"
"behind","154"
"will","154"
"around","152"
"even","151"
"way","150"
"still","149"
"door","148"
"has","147"
"some","146"
"dr","145"
"long","145"
"can","144"
"us","141"
"marta","137"
"most","135"
"seemed","134"
"did","131"
"our","131"
"saw","130"
"death","130"
"well","129"
"dont","127"
"began","126"
"hell","126"
"never","125"
"dantes","125"
"away","124"
"something","124"
"face","123"
"how","121"
"inside","120"
"look","120"
"room","119"
"trying","118"
"right","117"
"need","117"
"voice","116"
"himself","116"
"knew","115"
"people","114"
"first","114"
"made","114"
"find","112"
"looking","111"
"other","111"
"yet","110"
"left","109"
"brooks","107"
"any","106"
"open","105"
"beneath","105"
"yes","104"
"florence","104"
"while","102"
"took","102"
"nothing","102"
"vayentha","102"
"suddenly","100"
"found","99"
"far","99"
"palace","98"
"along","97"
"st","96"
"side","96"
"youre","96"
"without","96"
"wall","96"
"city","95"
"last","95"
"ferris","95"
"after","95"
"get","94"
"think","93"
"plague","93"
"gave","92"
"phone","90"
"quickly","90"
"feet","90"
"why","90"
"building","88"
"marks","88"
"whispered","88"
"called","88"
"small","87"
"might","87"
"own","87"
"another","86"
"paused","86"
"told","85"
"night","85"
"bertrand","85"
"once","85"
"finally","84"
"black","84"
"stood","84"
"too","83"
"light","83"
"venice","82"
"going","82"
"replied","82"
"also","82"
"having","82"
"someone","82"
"continued","81"
"video","80"
"much","80"
"make","80"
"outside","80"
"professor","79"
"life","79"
"old","79"
"being","79"
"help","79"
"hundred","79"
"stared","79"
"until","78"
"tell","78"
"realized","78"
"these","78"
"mind","78"
"elizabeth","78"
"asked","77"
"sorry","77"
"already","77"
"work","76"
"air","76"
"window","75"
"siennas","75"
"reached","75"
"glanced","75"
"years","74"
"hall","74"
"tourists","74"
"three","74"
"entire","74"
"nodded","74"
"floor","73"
"thats","73"
"heard","73"
"police","73"
"little","73"
"name","73"
"almost","72"
"palazzo","71"
"go","71"
"new","71"
"deep","71"
"zobrists","71"
"apparently","71"
"end","71"
"seen","70"
"same","70"
"am","69"
"past","69"
"didnt","69"
"few","69"
"above","68"
"front","68"
"however","68"
"human","67"
"day","67"
"want","66"
"word","66"
"space","66"
"hands","66"
"come","66"
"pulled","65"
"image","65"
"every","65"
"because","65"
"take","64"
"virus","64"
"directly","64"
"those","64"
"single","63"
"ive","63"
"read","63"
"ahead","63"
"immediately","63"
"nearly","63"
"population","62"
"red","62"
"against","62"
"everything","62"
"words","62"
"stone","61"
"always","61"
"call","61"
"believe","61"
"several","61"
"place","61"
"team","60"
"square","60"
"line","60"
"staring","60"
"ignazio","60"
"appeared","60"
"beside","60"
"sure","60"
"mirsat","60"
"clearly","59"
"moved","59"
"art","59"
"many","58"
"hand","58"
"museum","58"
"inferno","58"
"tiny","58"
"italian","58"
"wondered","58"
"let","57"
"area","57"
"stopped","57"
"keep","57"
"arrived","57"
"stop","57"
"pointed","57"
"hear","57"
"kind","57"
"should","56"
"five","56"
"bag","56"
"moving","56"
"feeling","55"
"set","55"
"barely","55"
"gaze","55"
"darkness","55"
"slowly","55"
"ever","55"
"cant","55"
"second","54"
"doors","54"
"crowd","54"
"herself","54"
"sounds","54"
"idea","54"
"point","54"
"shook","54"
"knowlton","54"
"theres","54"
"standing","53"
"high","53"
"held","53"
"famous","53"
"massive","53"
"enough","53"
"good","53"
"must","53"
"client","53"
"heart","52"
"both","52"
"used","52"
"soldiers","52"
"earth","52"
"church","51"
"ago","51"
"agent","51"
"thing","51"
"text","51"
"top","51"
"say","50"
"okay","50"
"strange","50"
"god","50"
"vecchio","50"
"young","49"
"entrance","49"
"sensed","49"
"dead","49"
"corner","49"
"center","49"
"demanded","48"
"motioned","48"
"smile","48"
"sense","48"
"stairs","48"
"between","48"
"tried","48"
"doctor","48"
"lagoon","48"
"came","47"
"possible","47"
"ill","47"
"morning","47"
"coming","47"
"hard","47"
"cistern","47"
"private","47"
"got","47"
"days","47"
"below","47"
"men","46"
"raised","46"
"created","46"
"actually","46"
"poem","46"
"went","46"
"hidden","45"
"breath","45"
"probably","45"
"may","45"
"follow","45"
"ten","45"
"feel","45"
"closed","45"
"glass","44"
"dark","44"
"returned","44"
"sea","44"
"doge","44"
"basilica","44"
"minutes","44"
"onto","44"
"despite","44"
"today","44"
"horses","44"
"within","43"
"sound","43"
"hair","43"
"tomb","43"
"final","43"
"memory","43"
"short","43"
"person","42"
"familiar","42"
"message","42"
"silence","42"
"vasari","42"
"cavern","42"
"hospital","42"
"health","42"
"quite","41"
"divine","41"
"doubt","41"
"process","41"
"better","41"
"shot","41"
"running","41"
"walls","41"
"understand","41"
"nobody","41"
"case","41"
"ground","40"
"organization","40"
"course","40"
"shouted","40"
"fact","40"
"whose","40"
"chest","40"
"gates","40"
"wanted","40"
"sat","39"
"large","39"
"followed","39"
"close","39"
"seek","39"
"peered","39"
"narrow","39"
"done","39"
"taking","39"
"although","39"
"later","39"
"hagia","39"
"love","38"
"exit","38"
"sight","38"
"genetic","38"
"gardens","38"
"since","38"
"step","38"
"street","38"
"instant","38"
"each","38"
"paradise","38"
"fear","38"
"such","37"
"mans","37"
"anything","37"
"walked","37"
"doing","37"
"hurried","37"
"clear","37"
"near","37"
"maybe","37"
"body","37"
"hope","36"
"piazza","36"
"heavy","36"
"seven","36"
"question","36"
"consortium","36"
"stepped","36"
"under","36"
"happened","36"
"known","36"
"four","35"
"future","35"
"screen","35"
"comedy","35"
"pointing","35"
"strangely","35"
"group","35"
"speaking","35"
"grabbed","35"
"times","35"
"bridge","35"
"wrong","34"
"corridor","34"
"legs","34"
"plane","34"
"gently","34"
"letters","34"
"speak","34"
"half","34"
"nearby","34"
"history","34"
"species","34"
"passed","34"
"control","34"
"surface","34"
"distance","34"
"il","34"
"youve","34"
"everyone","34"
"itself","34"
"la","34"
"kill","34"
"rather","34"
"van","34"
"choice","33"
"hed","33"
"watched","33"
"location","33"
"painting","33"
"desk","33"
"become","33"
"kept","33"
"opened","33"
"srs","33"
"soon","33"
"drone","33"
"tall","33"
"declared","33"
"please","33"
"puzzled","33"
"trust","33"
"crisis","33"
"direction","33"
"apartment","33"
"font","33"
"opening","33"
"series","32"
"sophia","32"
"number","32"
"move","32"
"placed","32"
"earlier","32"
"year","32"
"soldier","32"
"reason","32"
"whatever","32"
"alone","32"
"recalled","32"
"during","32"
"exactly","32"
"thoughts","32"
"interior","32"
"secret","32"
"symbol","32"
"needed","31"
"gone","31"
"full","31"
"hours","31"
"great","31"
"does","31"
"somewhere","31"
"di","31"
"headed","31"
"seeing","31"
"written","31"
"piece","31"
"lights","31"
"ernesto","31"
"pain","31"
"jacket","31"
"anyone","31"
"ancient","31"
"changed","31"
"figure","31"
"getting","31"
"studied","30"
"led","30"
