"Word","Count"
"the","10500"
"of","3367"
"to","3307"
"a","3223"
"and","2831"
"in","1991"
"was","1889"
"he","1836"
"his","1557"
"langdon","1497"
"had","1442"
"you","1286"
"it","1199"
"i","1131"
"that","1116"
"sophie","1032"
"on","992"
"as","922"
"is","841"
"her","830"
"at","817"
"with","807"
"for","778"
"this","756"
"she","726"
"not","667"
"from","546"
"be","541"
"said","541"
"an","519"
"him","517"
"but","515"
"teabing","498"
"have","469"
"now","437"
"were","426"
"could","425"
"out","425"
"they","419"
"what","417"
"my","391"
"no","388"
"would","377"
"by","373"
"been","373"
"all","359"
"your","351"
"fache","347"
"if","345"
"into","327"
"are","321"
"up","316"
"me","314"
"one","313"
"back","292"
"we","290"
"grail","284"
"over","271"
"them","266"
"like","259"
"about","259"
"only","256"
"silas","255"
"its","244"
"their","244"
"so","242"
"do","242"
"when","241"
"felt","236"
"down","234"
"man","232"
"more","229"
"will","228"
"eyes","227"
"who","224"
"through","223"
"there","222"
"looked","218"
"church","205"
"know","204"
"see","196"
"then","188"
"grandfather","188"
"did","187"
"where","180"
"which","179"
"here","176"
"thought","174"
"how","173"
"robert","171"
"turned","169"
"just","168"
"than","168"
"collet","166"
"im","166"
"even","165"
"again","165"
"keystone","165"
"has","164"
"can","164"
"still","163"
"aringarosa","163"
"saunire","159"
"before","158"
"floor","154"
"holy","152"
"priory","151"
"rmy","151"
"or","151"
"right","150"
"time","150"
"toward","150"
"door","144"
"room","143"
"himself","140"
"head","138"
"us","137"
"something","137"
"knew","136"
"yet","134"
"two","134"
"some","133"
"tell","133"
"teacher","132"
"key","132"
"seemed","130"
"langdons","130"
"tonight","128"
"left","128"
"police","128"
"moment","128"
"made","128"
"never","127"
"across","127"
"off","126"
"box","126"
"told","125"
"most","125"
"chapter","125"
"long","124"
"inside","123"
"why","123"
"da","122"
"secret","120"
"any","120"
"way","118"
"far","115"
"find","113"
"am","110"
"voice","110"
"behind","106"
"found","105"
"leigh","105"
"vernet","104"
"first","104"
"open","103"
"hand","102"
"phone","102"
"sir","102"
"saw","101"
"last","101"
"after","101"
"message","101"
"very","101"
"get","100"
"teabings","100"
"another","99"
"well","99"
"neveu","99"
"own","99"
"around","98"
"rose","98"
"asked","95"
"away","95"
"look","95"
"call","95"
"years","94"
"jesus","94"
"woman","94"
"sophies","94"
"our","93"
"need","92"
"heard","91"
"yes","91"
"god","91"
"world","90"
"beneath","90"
"these","90"
"dont","90"
"paris","90"
"called","90"
"much","89"
"vinci","89"
"cryptex","89"
"gave","89"
"began","88"
"take","87"
"face","87"
"too","87"
"line","86"
"agent","85"
"think","85"
"end","85"
"french","84"
"nothing","84"
"looking","83"
"must","83"
"mr","83"
"place","83"
"might","83"
"opus","82"
"name","82"
"men","82"
"help","81"
"once","80"
"light","80"
"stone","79"
"tomb","79"
"bank","78"
"idea","78"
"almost","78"
"took","78"
"other","78"
"documents","77"
"night","77"
"paused","76"
"history","76"
"knights","76"
"make","76"
"stood","76"
"nodded","75"
"bishop","75"
"number","74"
"saunires","74"
"knight","74"
"many","73"
"dei","73"
"good","72"
"didnt","72"
"words","72"
"should","70"
"jacques","70"
"seen","70"
"three","70"
"mary","70"
"although","70"
"louvre","70"
"hidden","69"
"small","69"
"truth","69"
"car","69"
"magdalene","69"
"both","69"
"front","69"
"youre","69"
"trying","68"
"those","68"
"life","67"
"word","67"
"grand","67"
"course","67"
"body","67"
"being","66"
"always","66"
"go","66"
"outside","66"
"someone","66"
"without","66"
"going","65"
"realized","65"
"captain","65"
"art","65"
"few","65"
"gun","64"
"within","64"
"new","64"
"whispered","64"
"london","64"
"several","64"
"people","63"
"glanced","63"
"feeling","62"
"ago","62"
"painting","62"
"moved","62"
"finally","62"
"come","62"
"anything","61"
"window","61"
"little","61"
"already","61"
"came","60"
"side","60"
"black","60"
"house","60"
"ancient","60"
"christ","60"
"stared","60"
"feet","60"
"code","59"
"ill","59"
"vatican","59"
"modern","59"
"sacred","59"
"pulled","58"
"ever","58"
"enough","58"
"kind","58"
"until","57"
"leave","57"
"information","57"
"also","57"
"read","57"
"symbol","57"
"immediately","57"
"surprised","56"
"actually","56"
"grandfathers","56"
"pope","56"
"every","56"
