"Word","Count"
"the","10897"
"of","3858"
"a","3652"
"to","3528"
"and","3342"
"in","2245"
"he","2170"
"was","2082"
"his","1925"
"had","1623"
"it","1465"
"you","1419"
"that","1407"
"langdon","1379"
"i","1210"
"this","1167"
"her","1138"
"on","1135"
"is","1074"
"as","1062"
"she","886"
"with","879"
"for","868"
"at","809"
"katherine","783"
"said","698"
"not","686"
"but","685"
"him","628"
"now","597"
"peter","581"
"from","579"
"all","553"
"an","547"
"into","536"
"what","510"
"be","489"
"no","452"
"out","452"
"man","446"
"pyramid","439"
"me","438"
"were","436"
"have","430"
"its","414"
"solomon","410"
"up","409"
"could","408"
"been","400"
"one","398"
"sato","392"
"they","384"
"down","370"
"if","367"
"your","357"
"by","349"
"are","343"
"like","341"
"my","339"
"would","336"
"malakh","327"
"there","319"
"back","318"
"about","315"
"through","312"
"so","297"
"bellamy","289"
"then","286"
"over","285"
"we","268"
"eyes","263"
"im","256"
"only","255"
"know","255"
"when","250"
"see","243"
"them","243"
"who","243"
"more","242"
"do","238"
"ancient","238"
"which","238"
"just","233"
"their","233"
"felt","231"
"masonic","227"
"will","227"
"how","217"
"room","217"
"where","215"
"robert","215"
"looked","211"
"here","207"
"anderson","207"
"or","205"
"can","201"
"even","196"
"door","194"
"still","193"
"hand","191"
"time","188"
"thought","186"
"before","180"
"did","179"
"tonight","178"
"way","170"
"right","168"
"knew","167"
"building","167"
"yet","167"
"something","165"
"than","164"
"light","164"
"world","163"
"head","163"
"brother","161"
"has","160"
"long","160"
"toward","159"
"moment","157"
"most","154"
"god","154"
"dont","152"
"great","151"
"yes","151"
"trish","151"
"voice","150"
"around","149"
"stone","149"
"secret","149"
"told","148"
"again","148"
"us","147"
"our","147"
"word","146"
"langdons","146"
"phone","146"
"peters","145"
"turned","145"
"off","144"
"some","144"
"nothing","142"
"youre","141"
"any","141"
"across","140"
"chapter","138"
"began","136"
"tell","134"
"body","133"
"power","130"
"capitol","129"
"open","129"
"inside","128"
"made","128"
"never","126"
"why","125"
"face","124"
"two","124"
"very","122"
"square","121"
"first","121"
"seemed","120"
"mysteries","120"
"within","120"
"symbols","117"
"help","114"
"well","114"
"call","113"
"years","113"
"simkins","113"
"believe","113"
"found","113"
"want","112"
"old","112"
"key","112"
"capstone","110"
"darkness","110"
"lost","110"
"same","110"
"saw","109"
"mind","109"
"looking","108"
"get","107"
"look","106"
"behind","106"
"called","106"
"floor","105"
"security","105"
"hidden","104"
"human","104"
"katherines","104"
"true","103"
"professor","102"
"night","102"
"washington","102"
"find","102"
"new","101"
"think","101"
"took","101"
"beneath","100"
"heard","100"
"himself","100"
"small","99"
"these","99"
"guard","97"
"away","96"
"many","95"
"solomons","94"
"left","93"
"idea","93"
"ago","92"
"thats","92"
"every","92"
"suddenly","92"
"almost","91"
"hands","91"
"exactly","91"
"place","91"
"trying","90"
"need","90"
"wall","90"
"after","89"
"ever","88"
"agent","88"
"mans","87"
"realized","87"
"side","87"
"finally","87"
"few","87"
"always","86"
"front","86"
"stared","86"
"other","86"
"science","85"
"wisdom","84"
"going","84"
"am","84"
"far","84"
"feet","84"
"once","84"
"cia","83"
"men","83"
"asked","82"
"life","82"
"masons","82"
"being","82"
"air","82"
"reached","82"
"too","82"
"words","82"
"last","82"
"temple","81"
"above","81"
"got","81"
"take","80"
"let","80"
"nola","80"
"come","80"
"symbol","80"
"those","79"
"much","78"
"hes","78"
"order","78"
