"Word","Count"
"the","5451"
"i","3745"
"to","2842"
"and","2503"
"a","2057"
"of","2008"
"in","1535"
"my","1478"
"it","1172"
"he","953"
"but","907"
"me","886"
"that","880"
"on","790"
"with","752"
"for","729"
"his","658"
"is","648"
"you","629"
"be","600"
"as","593"
"peeta","588"
"we","586"
"at","566"
"have","521"
"its","510"
"says","507"
"from","474"
"out","465"
"him","447"
"so","440"
"her","438"
"what","418"
"up","413"
"can","409"
"they","396"
"not","396"
"this","394"
"no","390"
"if","388"
"was","380"
"all","365"
"one","361"
"im","359"
"are","354"
"know","349"
"say","342"
"about","334"
"into","326"
"she","320"
"when","320"
"us","316"
"dont","304"
"just","300"
"will","287"
"do","284"
"them","283"
"haymitch","282"
"back","281"
"has","275"
"think","273"
"then","266"
"by","265"
"finnick","259"
"see","253"
"an","252"
"even","247"
"like","246"
"our","241"
"were","238"
"district","227"
"or","226"
"now","223"
"get","222"
"been","222"
"because","222"
"only","221"
"time","217"
"who","217"
"how","214"
"down","211"
"there","206"
"go","198"
"off","192"
"right","181"
"hes","175"
"theres","174"
"more","173"
"before","173"
"cant","171"
"too","171"
"would","170"
"make","169"
"could","168"
"some","167"
"capitol","164"
"around","161"
"still","159"
"something","159"
"over","151"
"gale","151"
"had","148"
"take","145"
"look","141"
"well","139"
"where","138"
"mother","138"
"games","137"
"never","134"
"head","133"
"ive","132"
"their","128"
"after","126"
"other","126"
"thats","125"
"really","124"
"maybe","123"
"your","122"
"want","121"
"going","120"
"last","120"
"face","120"
"through","120"
"here","116"
"away","116"
"than","116"
"while","114"
"water","114"
"way","113"
"did","112"
"must","112"
"snow","111"
"hand","110"
"people","109"
"eyes","109"
"myself","109"
"first","108"
"any","106"
"beetee","104"
"two","104"
"since","103"
"much","101"
"until","98"
"arena","98"
"good","97"
"feel","96"
"johanna","95"
"home","95"
"president","93"
"again","93"
"little","92"
"effie","92"
"hands","91"
"tell","91"
"asks","91"
"why","91"
"tree","88"
"ask","87"
"find","87"
"didnt","87"
"come","87"
"let","86"
"seems","86"
"ill","85"
"hear","85"
"keep","84"
"which","84"
"year","83"
"cinna","82"
"katniss","82"
"better","81"
"few","80"
"theyre","79"
"thing","79"
"nothing","79"
"another","78"
"things","77"
"voice","77"
"left","77"
"doesnt","77"
"got","77"
"am","76"
"long","76"
"prim","75"
"being","75"
"peetas","75"
"night","75"
"trying","75"
"tributes","75"
"try","74"
"though","74"
"might","74"
"each","73"
"hair","72"
"victors","71"
"ground","70"
"shes","70"
"enough","70"
"those","70"
"day","70"
"made","70"
"alive","69"
"very","67"
"every","67"
"anything","66"
"youre","66"
"moment","66"
"others","66"
"jungle","66"
"old","65"
"woods","64"
"should","64"
"give","64"
"turn","64"
"remember","63"
"dead","62"
"behind","62"
"sure","62"
"life","61"
"force","61"
"almost","61"
"side","60"
"help","60"
"yes","60"
"watch","60"
"always","59"
"takes","59"
"both","59"
"room","59"
"said","59"
"thought","59"
"kill","59"
"place","58"
"door","57"
"makes","57"
"move","57"
"begin","57"
"someone","57"
"years","56"
"stop","56"
"gives","56"
"table","56"
"family","55"
"mags","55"
"own","55"
"rest","54"
"least","54"
"love","53"
"next","53"
"does","53"
"wiress","53"
"begins","53"
"id","53"
"everyone","53"
"between","52"
"against","52"
"blood","52"
"most","52"
"guess","52"
"lot","51"
"probably","51"
"run","51"
"anyway","51"
"house","51"
"square","50"
"same","50"
"under","50"
"fingers","49"
"whole","49"
"ever","49"
"mean","49"
"arm","49"
"course","48"
"work","48"
"these","48"
"skin","48"
"everything","48"
"without","48"
"new","47"
"anyone","47"
"sleep","47"
"feet","47"
"hold","46"
"wire","46"
"comes","46"
"else","46"
"need","46"
"girl","46"
"body","46"
"wont","45"
"thinking","45"
"twelve","45"
"food","45"
"mind","45"
"three","45"
"sound","45"
"white","45"
"isnt","45"
"stay","44"
"kind","44"
"reach","44"
"looks","44"
"field","43"
"already","43"
"words","43"
"open","42"
"fire","42"
"clear","42"
"hard","42"
"train","42"
"districts","42"
"woman","42"
"once","42"
"gone","41"
"air","41"
"start","41"
"bed","41"
"peacekeepers","41"
"bad","41"
"wait","41"
"pull","40"
"show","40"
