"Word","Count"
"the","5649"
"i","3767"
"to","2747"
"and","2419"
"a","2152"
"of","1934"
"my","1632"
"in","1486"
"it","1012"
"me","933"
"but","920"
"that","828"
"on","773"
"he","770"
"for","724"
"you","708"
"is","685"
"with","633"
"have","596"
"as","591"
"be","587"
"at","552"
"from","526"
"his","502"
"peeta","494"
"we","483"
"not","483"
"its","479"
"up","461"
"her","455"
"out","436"
"can","431"
"im","429"
"one","421"
"says","420"
"they","410"
"if","407"
"him","381"
"this","374"
"no","368"
"when","366"
"what","366"
"are","356"
"so","350"
"back","325"
"then","324"
"was","319"
"say","318"
"just","312"
"about","312"
"into","306"
"all","298"
"she","298"
"has","295"
"us","290"
"them","276"
"will","275"
"do","272"
"know","272"
"dont","267"
"now","236"
"been","235"
"district","234"
"an","230"
"by","230"
"get","221"
"even","215"
"think","214"
"or","214"
"were","212"
"our","212"
"how","210"
"only","210"
"haymitch","208"
"had","203"
"see","201"
"off","201"
"down","201"
"there","199"
"like","198"
"because","197"
"hes","196"
"time","193"
"some","191"
"who","183"
"right","182"
"too","172"
"theres","171"
"more","170"
"ive","169"
"go","169"
"their","169"
"could","168"
"cant","166"
"over","163"
"myself","161"
"would","160"
"around","156"
"still","154"
"your","154"
"well","154"
"take","144"
"make","144"
"first","141"
"before","130"
"must","124"
"here","123"
"rue","123"
"want","121"
"never","121"
"good","121"
"through","120"
"head","119"
"did","118"
"eyes","118"
"way","117"
"tributes","117"
"where","116"
"something","115"
"away","114"
"few","114"
"than","113"
"water","112"
"thats","111"
"ill","111"
"capitol","110"
"going","110"
"boy","110"
"other","108"
"girl","107"
"two","107"
"much","105"
"last","105"
"cato","105"
"look","104"
"hear","104"
"hand","103"
"thing","103"
"games","102"
"home","101"
"enough","101"
"prim","100"
"cinna","100"
"face","99"
"feel","99"
"after","97"
"come","97"
"hands","96"
"day","96"
"moment","96"
"another","95"
"shes","95"
"people","93"
"find","93"
"woods","92"
"mother","92"
"gale","92"
"while","91"
"maybe","91"
"which","91"
"until","89"
"any","88"
"really","87"
"long","87"
"give","85"
"again","85"
"very","84"
"tell","84"
"little","84"
"try","84"
"being","83"
"arena","83"
"peetas","82"
"let","81"
"help","81"
"both","81"
"tree","80"
"am","80"
"night","80"
"katniss","80"
"theyre","79"
"food","79"
"since","79"
"sure","79"
"effie","78"
"place","78"
"might","78"
"feet","78"
"ask","77"
"fire","76"
"body","76"
"keep","76"
"though","76"
"remember","74"
"id","73"
"nothing","73"
"trying","72"
"almost","72"
"better","71"
"hair","70"
"left","69"
"ground","68"
"each","68"
"small","67"
"youre","67"
"every","67"
"made","67"
"room","66"
"asks","66"
"got","66"
"why","66"
"makes","63"
"bread","63"
"voice","63"
"without","63"
"anything","62"
"least","62"
"didnt","62"
"kill","62"
"eat","60"
"against","60"
"those","60"
"seems","60"
"pack","59"
"doesnt","59"
"bow","58"
"careers","58"
"thought","58"
"someone","58"
"arrow","57"
"tribute","57"
"hard","57"
"most","57"
"once","57"
"own","57"
"things","56"
"gamemakers","56"
"bag","56"
"said","56"
"three","56"
"mouth","55"
"open","55"
"death","55"
"turn","55"
"whole","53"
"wont","53"
"probably","53"
"put","53"
"side","53"
"dead","53"
"watch","53"
"begin","52"
"audience","52"
"name","52"
"fingers","51"
"thresh","51"
"under","51"
"caesar","51"
"life","50"
"course","50"
"should","50"
"need","50"
"yes","50"
"although","50"
"air","50"
"leg","49"
"run","49"
"knife","49"
"ever","48"
"reach","48"
"pull","47"
"hours","47"
"oh","47"
"move","47"
"does","47"
