"Word","Count"
"the","5817"
"and","3051"
"a","2884"
"to","2737"
"of","2717"
"in","1889"
"he","1751"
"was","1676"
"she","1398"
"her","1272"
"i","1204"
"that","1203"
"you","1140"
"it","1106"
"with","1087"
"his","1057"
"had","1036"
"for","778"
"dick","758"
"as","724"
"at","723"
"on","700"
"but","618"
"him","606"
"they","579"
"were","494"
"from","484"
"not","442"
"be","432"
"up","429"
"said","423"
"nicole","414"
"an","409"
"have","405"
"all","404"
"there","367"
"is","356"
"so","350"
"this","346"
"about","346"
"rosemary","341"
"one","335"
"them","325"
"me","322"
"by","316"
"into","313"
"what","305"
"out","299"
"like","292"
"when","280"
"if","267"
"no","261"
"then","248"
"we","242"
"would","241"
"their","238"
"who","237"
"do","225"
"its","224"
"could","223"
"been","223"
"or","223"
"over","219"
"my","217"
"now","213"
"dont","213"
"back","202"
"go","197"
"only","195"
"some","191"
"down","189"
"time","188"
"know","187"
"man","177"
"little","175"
"two","173"
"are","173"
"did","171"
"more","169"
"went","169"
"im","168"
"see","163"
"after","163"
"came","162"
"well","158"
"your","156"
"abe","153"
"people","152"
"think","152"
"any","152"
"first","151"
"here","148"
"got","148"
"going","147"
"away","145"
"very","145"
"just","143"
"through","143"
"come","142"
"other","139"
"made","138"
"can","137"
"which","136"
"want","133"
"again","132"
"how","131"
"than","129"
"face","128"
"before","127"
"moment","127"
"too","127"
"eyes","125"
"get","124"
"looked","124"
"doctor","122"
"thought","120"
"saw","119"
"tommy","119"
"off","117"
"last","115"
"why","114"
"hotel","112"
"much","111"
"love","111"
"new","111"
"where","108"
"never","106"
"long","106"
"something","106"
"girl","105"
"right","102"
"himself","102"
"ill","98"
"felt","98"
"way","97"
"good","97"
"franz","97"
"seemed","96"
"men","95"
"years","95"
"around","95"
"upon","95"
"room","94"
"turned","93"
"knew","93"
"ive","93"
"night","93"
"must","93"
"young","92"
"still","92"
"old","89"
"always","89"
"youre","88"
"suddenly","88"
"because","88"
"thats","85"
"toward","85"
"voice","85"
"baby","84"
"didnt","84"
"mother","84"
"even","83"
"tell","81"
"left","81"
"thing","81"
"will","80"
"own","80"
"world","78"
"life","77"
"say","77"
"nothing","77"
"has","76"
"sat","76"
"another","76"
"children","76"
"stood","76"
"day","76"
"asked","75"
"oh","75"
"divers","75"
"things","74"
"many","74"
"woman","74"
"under","73"
"found","72"
"together","72"
"american","72"
"herself","72"
"against","72"
"make","71"
"took","71"
"once","71"
"such","70"
"mckisco","69"
"take","69"
"told","69"
"wanted","69"
"door","68"
"mary","68"
"most","68"
"head","68"
"mrs","67"
"each","67"
"without","67"
"began","67"
"car","66"
"cant","66"
"almost","66"
"women","66"
"yet","65"
"morning","65"
"though","65"
"dicks","64"
"hand","64"
"those","64"
"rather","64"
"let","63"
"mr","63"
"diver","62"
"being","62"
"us","62"
"while","62"
"anything","61"
"between","61"
"north","61"
"walked","60"
"nicoles","60"
"ever","60"
"mind","60"
"white","59"
"half","58"
"these","58"
"three","58"
"heard","57"
"french","57"
"few","57"
"hands","56"
"seen","56"
"until","55"
"should","55"
"look","55"
"talk","55"
"across","55"
"house","55"
"water","55"
"warren","54"
"along","53"
"am","53"
"better","53"
"feel","53"
"called","53"
"next","52"
"home","52"
"might","52"
"nice","52"
"english","52"
"collis","51"
"hair","51"
"gave","51"
"both","50"
"money","50"
"paris","50"
"whom","50"
"put","49"
"matter","49"
"enough","49"
"table","49"
"everything","49"
"light","49"
"course","48"
"side","48"
"hes","47"
"beach","47"
"bed","47"
"father","47"
"fine","47"
"find","47"
"brought","46"
"dark","46"
"small","46"
"behind","46"
"hard","46"
"theres","46"
"great","45"
"tried","45"
"alone","44"
"past","44"
"air","44"
"same","44"
"laughed","44"
"passed","44"
"person","43"
"fact","43"
"lay","43"
"since","42"
"shes","42"
"zurich","42"
"place","42"
"thinking","41"
"give","41"
"sure","41"
"gone","40"
"work","40"
"de","40"
"dohmler","40"
"spoke","39"
"having","39"
"fell","39"
"done","39"
"far","39"
"feeling","38"
"really","38"
"moved","38"
"party","38"
"hour","38"
"phone","38"
"later","38"
"saying","37"
"minute","37"
"year","37"
"mean","37"
"part","37"
"except","37"
"america","36"
"hundred","36"
"yes","36"
"big","36"
"every","36"
"quickly","36"
"summer","35"
"followed","35"
"sometimes","35"
"barban","35"
"presently","35"
"clinic","35"
"whole","34"
"care","34"
"less","34"
"understand","34"
"train","34"
"minutes","34"
"blue","34"
"beside","34"
"happened","34"
"known","34"
"isnt","34"
"tired","33"
"best","33"
"inside","33"
"leave","33"
"looking","33"
"business","33"
"help","33"
"drink","33"
"different","33"
"idea","33"
"waiting","33"
"story","33"
"four","32"
"play","32"
"sea","32"
"high","32"
"kept","32"
"used","32"
"couldnt","32"
"body","32"
"faces","32"
"outside","32"
"leaving","32"
"demanded","31"
"happy","31"
"open","31"
"five","31"
"lot","31"
"station","31"
"close","31"
"liked","31"
"lost","31"
"sort","31"
"ran","31"
"feet","31"
"our","31"
"cried","31"
"continued","30"
"front","30"
"met","30"
"id","30"
"wait","30"
"waited","30"
"americans","30"
"voices","30"
"taking","30"
"ought","30"
"shook","30"
"times","30"
"talking","30"
"goodby","30"
"perhaps","30"
"situation","29"
"sent","29"
"set","29"
"broke","29"
"miss","29"
"else","29"
"coming","29"
"became","29"
"words","29"
"quite","28"
"boat","28"
"garden","28"
"war","28"
"trying","28"
"shoulders","28"
"sorry","28"
"dead","28"
"talked","28"
"boy","28"
"rosemarys","28"
"black","28"
"among","28"
"others","28"
"doesnt","28"
"dinner","28"
"case","28"
"glad","28"
"afraid","28"
"agreed","28"
"speak","27"
"change","27"
"early","27"
"family","27"
"ask","27"
"slowly","27"
"friends","27"
"answered","27"
"making","27"
"sitting","27"
"end","27"
"picture","27"
"quiet","27"
"getting","27"
"full","26"
"ago","26"
"does","26"
"sister","26"
"cold","26"
"low","26"
"held","26"
"evening","26"
"stopped","26"
"wouldnt","26"
"arms","26"
"havent","26"
"theyre","26"
"says","26"
"turn","26"
"stand","26"
"arm","26"
"sky","26"
"pulled","25"
"bright","25"
"hours","25"
"word","25"
"lady","25"
"taken","25"
"probably","25"
"become","25"
"keep","25"
"stay","25"
"walking","25"
"till","25"
"may","25"
"reached","25"
"god","25"
"days","25"
"hear","25"
"longer","25"
"name","25"
"considered","25"
"short","25"
"kind","25"
"bought","25"
"whether","25"
"wine","24"
"certain","24"
"rich","24"
"heart","24"
"window","24"
"wont","24"
"lips","24"
"call","24"
"lovely","24"
"save","24"
"point","24"
"itself","24"
"forward","24"
"position","24"
"italian","24"
"week","24"
"seems","24"
"sit","24"
"kissed","24"
"second","23"
"mouth","23"
"letter","23"
"hat","23"
"breath","23"
"beautiful","23"
"realized","23"
"letters","23"
"child","23"
"above","23"
"true","23"
"tomorrow","23"
"started","23"
"scarcely","23"
"suggested","23"
"afternoon","23"
"youve","23"
"lanier","23"
"loved","23"
"already","23"
"ten","23"
"six","23"
"conversation","23"
"sick","23"
"dozen","22"
"steps","22"
"husband","22"
"note","22"
"expression","22"
"campion","22"
"sense","22"
"sight","22"
"ahead","22"
"months","22"
"yourself","22"
"youd","22"
"pretty","22"
"meet","22"
"clothes","22"
"answer","22"
"suppose","22"
"maybe","22"
"sound","22"
"broken","22"
"late","22"
"fun","22"
"several","22"
"arrived","22"
"use","22"
"beauty","21"
"wants","21"
"watched","21"
"drank","21"
"desk","21"
"sun","21"
"holding","21"
"trouble","21"
"remember","21"
"friend","21"
"taxi","21"
"death","21"
"lived","21"
"warm","21"
"somewhat","21"
"decided","21"
"finally","21"
"either","21"
"least","21"
"cut","21"
"often","21"
"bathroom","21"
"stared","21"
"changed","21"
"speers","21"
"wife","21"
"present","21"
"anyhow","21"
"ones","21"
"music","20"
"floor","20"
"slow","20"
"also","20"
"red","20"
"nor","20"
"opened","20"
"read","20"
"darkness","20"
"immediately","20"
"girls","20"
"shoulder","20"
"further","20"
"patient","20"
"laugh","20"
"lets","20"
"believe","20"
"wall","20"
"book","20"
"son","19"
"future","19"
"thousand","19"
"rest","19"
"clay","19"
"returned","19"
"police","19"
"try","19"
"sharply","19"
"youll","19"
"during","19"
"drew","19"
"moving","19"
"loud","19"
"seem","19"
"bar","19"
"whats","19"
"terrace","19"
"sudden","19"
"bottle","19"
"nervous","19"
"kaethe","19"
"chicago","19"
"themselves","19"
"afterward","19"
"sleep","19"
"shore","19"
"attention","19"
"question","19"
"walk","19"
"chair","18"
"sad","18"
"smile","18"
"nurse","18"
"faintly","18"
"tonight","18"
"hope","18"
"staring","18"
"green","18"
"scene","18"
"latter","18"
"soon","18"
"within","18"
"meant","18"
"able","18"
"lights","18"
"turning","18"
"near","18"
"died","18"
"everybody","18"
"effort","18"
"road","18"
"remembered","18"
"presence","18"
"color","18"
"hill","18"
"chauffeur","18"
"violet","18"
"difficult","18"
"hold","17"
"hot","17"
"country","17"
"large","17"
"attitude","17"
"real","17"
"cannes","17"
"realize","17"
"bring","17"
"somewhere","17"
"happen","17"
"caught","17"
"touch","17"
"actually","17"
"wasnt","17"
"oclock","17"
"managed","17"
"merely","17"
"corner","17"
"blood","17"
"playing","17"
"insisted","17"
"nodded","17"
"serious","17"
"impression","17"
"myself","17"
"beginning","17"
"strange","17"
"added","17"
"anybody","17"
"married","17"
"closed","17"
"explained","16"
"played","16"
"mans","16"
"vague","16"
"dirty","16"
"office","16"
"jail","16"
"dance","16"
"hall","16"
"forever","16"
"terrible","16"
"manners","16"
"whatever","16"
"seeing","16"
"affair","16"
"state","16"
"recognized","16"
"bad","16"
"appeared","16"
"france","16"
"tall","16"
"shot","16"
"show","16"
"mothers","16"
"simple","16"
"simply","16"
"la","16"
"path","16"
"rain","16"
"however","16"
"begun","16"
"wrote","16"
"york","16"
"patients","16"
"below","16"
"glass","15"
"worked","15"
"shadow","15"
"crowd","15"
"conscious","15"
"caroline","15"
"handsome","15"
"joined","15"
"riviera","15"
"dress","15"
"self","15"
"spring","15"
"line","15"
"fresh","15"
"chance","15"
"order","15"
"manner","15"
"certainly","15"
"wonderful","15"
"carabinieri","15"
"gausse","15"
"momentarily","15"
"building","15"
"excuse","15"
"heavy","15"
"villa","15"
"meanwhile","15"
"obviously","15"
"silence","15"
"gray","15"
"lives","15"
"guests","15"
"subject","15"
"thoughts","15"
"dear","15"
"peterson","15"
"none","15"
"brady","15"
"pleasant","15"
"twenty","15"
"youth","15"
"spent","15"
"boys","15"
"finished","15"
"tone","15"
"possessed","15"
"lobby","15"
"instead","15"
"piano","15"
"wind","14"
"exclaimed","14"
"shall","14"
"remembering","14"
"wanting","14"
"tight","14"
"gathered","14"
"standing","14"
"thin","14"
"excitement","14"
"glance","14"
"guessed","14"
"abrams","14"
"entirely","14"
"drove","14"
"fifty","14"
"listening","14"
"lire","14"
"run","14"
"step","14"
"following","14"
"umbrella","14"
"personal","14"
"leaned","14"
"interest","14"
"gausses","14"
"round","14"
"important","14"
"pleasure","14"
"street","14"
"watch","14"
"today","14"
"given","14"
"windows","14"
"sweet","14"
"drinking","14"
"yellow","13"
"hurt","13"
"raised","13"
"knowing","13"
"duel","13"
"class","13"
"illness","13"
"power","13"
"complete","13"
"guess","13"
"age","13"
"englishman","13"
"doing","13"
"places","13"
"daughter","13"
"aware","13"
"forth","13"
"board","13"
"fight","13"
"interested","13"
"battle","13"
"write","13"
"drop","13"
"space","13"
"flowers","13"
"return","13"
"emotions","13"
"strong","13"
"nine","13"
"grew","13"
"telling","13"
"crossed","13"
"quality","13"
"effect","13"
"necessary","13"
"madame","13"
"whose","13"
"swam","13"
"delight","13"
"human","13"
"paid","13"
"pair","13"
"arranged","13"
"general","13"
"eye","13"
"des","13"
"coat","13"
"champagne","13"
"approached","13"
"negro","13"
"repeated","13"
"wish","13"
"top","13"
"cool","13"
"quick","13"
"memory","13"
"laughter","13"
"telephone","13"
"awful","13"
"faint","13"
"wondered","13"
"watching","13"
"attractive","13"
"fingers","12"
"hers","12"
"touched","12"
"emotion","12"
"tears","12"
"pull","12"
"exhausted","12"
"condition","12"
"sand","12"
"knees","12"
"confidence","12"
"kiss","12"
"truth","12"
"shut","12"
"haven","12"
"gently","12"
"listened","12"
"dumphry","12"
"lifted","12"
"luncheon","12"
"dying","12"
"brown","12"
"live","12"
"indeed","12"
"silent","12"
"german","12"
"start","12"
"poor","12"
"month","12"
"smiled","12"
"special","12"
"need","12"
"weeks","12"
"forgot","12"
