"Word","Count"
"the","6028"
"and","3744"
"a","3480"
"of","3460"
"to","2995"
"he","2176"
"in","2112"
"was","1870"
"that","1538"
"she","1416"
"his","1353"
"her","1350"
"had","1304"
"it","1234"
"with","1124"
"i","1089"
"you","1069"
"as","856"
"for","844"
"anthony","843"
"at","740"
"on","707"
"him","639"
"they","609"
"were","569"
"but","530"
"be","520"
"an","514"
"gloria","496"
"one","484"
"this","478"
"all","468"
"from","459"
"by","436"
"not","404"
"would","404"
"so","383"
"have","380"
"been","375"
"out","375"
"there","360"
"up","350"
"into","323"
"me","323"
"when","323"
"what","323"
"is","322"
"about","319"
"then","308"
"no","296"
"who","286"
"or","283"
"some","281"
"them","270"
"like","261"
"its","260"
"said","249"
"do","244"
"if","239"
"down","238"
"dont","236"
"man","235"
"which","234"
"their","233"
"over","231"
"two","228"
"my","219"
"after","218"
"time","217"
"go","212"
"little","211"
"well","208"
"more","206"
"just","195"
"only","194"
"maury","193"
"we","191"
"upon","189"
"see","188"
"now","188"
"could","187"
"any","179"
"oh","178"
"eyes","177"
"men","176"
"back","175"
"im","172"
"before","171"
"seemed","167"
"made","166"
"here","164"
"think","159"
"very","158"
"did","152"
"day","151"
"new","150"
"other","150"
"want","148"
"first","148"
"dick","148"
"through","146"
"going","144"
"know","142"
"how","141"
"than","141"
"are","141"
"young","137"
"why","136"
"life","135"
"though","135"
"old","130"
"himself","130"
"came","126"
"get","126"
"too","125"
"where","124"
"three","124"
"never","122"
"much","122"
"last","122"
"went","122"
"sort","122"
"your","121"
"thought","120"
"years","118"
"each","118"
"night","116"
"even","115"
"again","114"
"these","113"
"voice","110"
"almost","109"
"come","109"
"many","108"
"found","108"
"because","108"
"should","107"
"way","107"
"long","107"
"things","106"
"room","106"
"got","106"
"without","106"
"can","103"
"every","103"
"mr","103"
"ill","102"
"good","102"
"half","101"
"ever","101"
"around","100"
"great","98"
"mind","98"
"say","97"
"girl","97"
"people","96"
"off","96"
"most","96"
"own","96"
"ive","95"
"began","95"
"something","95"
"those","94"
"face","92"
"being","91"
"always","91"
"left","90"
"another","88"
"away","88"
"youre","88"
"must","88"
"will","87"
"moment","86"
"anthonys","85"
"until","84"
"bloeckman","83"
"patch","82"
"told","82"
"turned","81"
"while","81"
"knew","80"
"hes","80"
"love","79"
"such","79"
"thats","79"
"yes","79"
"thing","79"
"under","79"
"street","79"
"might","79"
"still","78"
"few","77"
"women","77"
"tell","76"
"make","76"
"rather","76"
"work","75"
"muriel","75"
"door","75"
"gone","74"
"anything","74"
"days","74"
"next","73"
"hand","73"
"herself","73"
"cant","73"
"wanted","73"
"take","72"
"looked","72"
"money","71"
"world","70"
"year","70"
"matter","70"
"house","70"
"head","70"
"toward","69"
"glorias","68"
"look","68"
"paramore","67"
"several","67"
"took","67"
"called","67"
"right","66"
"week","66"
"richard","65"
"has","64"
"along","64"
"nothing","64"
"dark","63"
"felt","63"
"york","63"
"between","62"
"id","62"
"cried","62"
"let","61"
"hundred","61"
"bed","61"
"suddenly","61"
"home","60"
"saw","60"
"afternoon","60"
"apartment","60"
"once","60"
"beauty","59"
"against","59"
"late","59"
"words","59"
"course","58"
"caramel","58"
"gray","58"
"heart","57"
"hour","57"
"sat","56"
"place","56"
"four","55"
"air","55"
"seen","55"
"enough","55"
"later","54"
"side","54"
"became","54"
"morning","53"
"gave","53"
"name","53"
"feet","53"
"moved","52"
"mean","51"
"beautiful","51"
"give","51"
"yet","51"
"youve","51"
"didnt","51"
"short","51"
"us","50"
"mrs","50"
"both","50"
"white","50"
"light","50"
"second","49"
"having","49"
"arms","49"
"passed","49"
"conversation","49"
"dozen","48"
"sound","48"
"hair","48"
"times","48"
"five","47"
"heard","47"
"evening","47"
"girls","47"
"talk","47"
"laughed","47"
"married","47"
"whose","46"
"find","46"
"whether","46"
"full","45"
"call","45"
"better","45"
"stood","45"
"done","45"
"book","45"
"gilbert","44"
"summer","44"
"cold","44"
"since","44"
"drink","44"
"tana","44"
"god","44"
"woman","44"
"theres","44"
"city","43"
"lay","43"
"during","43"
"coming","43"
"train","43"
"laughter","43"
"considered","43"
"tried","42"
"part","42"
"best","41"
"asked","41"
"dollars","41"
"open","41"
"set","41"
"together","41"
"business","41"
"youd","41"
"month","41"
"walked","40"
"silence","40"
"near","40"
