"Word","Count"
"the","2381"
"and","1530"
"a","1392"
"i","1177"
"to","1125"
"of","1110"
"in","800"
"he","794"
"was","765"
"that","580"
"it","525"
"his","491"
"you","452"
"with","419"
"at","404"
"her","391"
"had","380"
"she","374"
"on","359"
"me","325"
"for","306"
"him","271"
"as","268"
"my","241"
"but","238"
"said","232"
"from","232"
"all","216"
"out","210"
"up","192"
"we","192"
"gatsby","189"
"there","189"
"were","184"
"an","184"
"tom","175"
"into","169"
"one","166"
"this","166"
"about","148"
"daisy","147"
"they","143"
"when","143"
"if","142"
"over","140"
"so","139"
"have","136"
"then","135"
"what","127"
"be","123"
"by","122"
"like","120"
"down","117"
"who","110"
"back","109"
"some","108"
"man","108"
"been","107"
"came","106"
"is","104"
"little","102"
"just","99"
"no","99"
"or","98"
"now","97"
"know","97"
"dont","95"
"its","93"
"house","92"
"went","90"
"before","88"
"after","87"
"eyes","87"
"come","86"
"got","85"
"do","84"
"mr","83"
"didnt","83"
"looked","83"
"see","82"
"them","82"
"old","81"
"time","80"
"way","76"
"any","76"
"away","75"
"more","74"
"get","74"
"two","74"
"car","73"
"im","72"
"night","71"
"not","71"
"around","71"
"moment","70"
"going","70"
"new","70"
"your","69"
"go","69"
"door","68"
"gatsbys","67"
"through","66"
"something","66"
"here","65"
"room","65"
"which","65"
"never","64"
"turned","64"
"well","64"
"think","64"
"other","64"
"us","63"
"jordan","63"
"long","63"
"hand","62"
"wilson","62"
"made","62"
"could","61"
"very","61"
"people","60"
"want","59"
"too","59"
"voice","58"
"again","55"
"their","55"
"knew","54"
"where","54"
"first","53"
"face","52"
"toward","52"
"would","52"
"saw","51"
"only","51"
"look","51"
"did","51"
"right","50"
"began","49"
"id","48"
"took","48"
"half","48"
"sport","47"
"while","47"
"girl","47"
"thought","47"
"off","46"
"are","46"
"last","45"
"white","45"
"because","45"
"young","44"
"told","44"
"asked","43"
"day","43"
"heard","43"
"even","42"
"afternoon","42"
"light","42"
"until","41"
"thats","41"
"name","41"
"hour","40"
"men","40"
"left","40"
"head","40"
"suddenly","40"
"ive","39"
"seemed","39"
"ill","39"
"wasnt","39"
"years","38"
"say","38"
"miss","38"
"hands","38"
"baker","38"
"how","37"
"much","36"
"found","36"
"another","36"
"three","36"
"thing","36"
"oh","36"
"once","36"
"west","35"
"next","35"
"daisys","35"
"tell","35"
"every","35"
"minute","34"
"along","34"
"always","34"
"looking","34"
"egg","34"
"than","34"
"cant","34"
"why","34"
"each","33"
"though","33"
"sat","32"
"small","32"
"upon","32"
"five","32"
"against","32"
"under","32"
"nothing","32"
"alone","31"
"mrs","31"
"front","31"
"seen","31"
"youre","31"
"must","31"
"table","31"
"cried","31"
"own","31"
"together","30"
"can","30"
"sound","30"
"good","30"
"most","30"
"york","30"
"life","29"
"things","29"
"still","29"
"himself","29"
"morning","29"
"called","29"
"take","28"
"world","28"
"couldnt","28"
"ever","28"
"stood","28"
"hes","27"
"anything","27"
"let","27"
"moved","27"
"home","27"
"side","27"
"make","27"
"those","27"
"wanted","27"
"without","27"
"might","27"
"inquired","26"
"garage","26"
"shes","26"
"across","26"
"gave","26"
"four","25"
"hot","25"
"great","25"
"air","25"
"these","25"
"later","25"
"rather","25"
"dark","25"
"few","25"
"steps","24"
"love","24"
"open","24"
"demanded","24"
"between","24"
"felt","24"
"oclock","24"
"started","24"
"wolfshiem","24"
"our","24"
"gone","23"
"walked","23"
