"Word","Count"
"the","4712"
"and","2963"
"of","2526"
"a","2407"
"to","2077"
"in","1650"
"he","1594"
"that","1182"
"his","1050"
"was","991"
"you","931"
"i","916"
"amory","891"
"it","823"
"with","724"
"had","659"
"for","644"
"as","561"
"on","550"
"she","548"
"is","529"
"her","510"
"at","505"
"but","457"
"him","455"
"they","401"
"all","375"
"one","372"
"be","366"
"from","349"
"this","348"
"not","336"
"an","332"
"were","329"
"have","306"
"by","294"
"so","278"
"me","267"
"or","255"
"what","249"
"out","242"
"up","239"
"when","237"
"if","229"
"there","228"
"into","227"
"like","225"
"man","211"
"about","211"
"who","210"
"its","208"
"are","208"
"rosalind","201"
"said","201"
"my","197"
"would","193"
"dont","192"
"been","191"
"do","189"
"then","186"
"their","185"
"them","183"
"no","183"
"over","182"
"im","174"
"your","170"
"more","164"
"just","163"
"only","162"
"know","158"
"well","151"
"little","151"
"oh","149"
"we","142"
"some","141"
"go","141"
"through","141"
"which","139"
"life","137"
"people","137"
"could","134"
"two","131"
"never","129"
"now","127"
"great","124"
"after","123"
"think","123"
"very","122"
"where","119"
"night","118"
"men","116"
"back","116"
"youre","114"
"first","114"
"new","113"
"any","113"
"will","112"
"eyes","111"
"much","110"
"love","110"
"old","109"
"than","109"
"get","108"
"himself","107"
"want","105"
"see","105"
"last","105"
"again","105"
"how","104"
"time","104"
"has","104"
"years","103"
"can","103"
"down","100"
"got","100"
"going","97"
"ive","97"
"good","95"
"day","95"
"rather","93"
"alec","92"
"before","90"
"girl","90"
"too","89"
"here","88"
"fitzgerald","88"
"amorys","88"
"other","88"
"even","87"
"made","86"
"own","85"
"things","83"
"seemed","83"
"off","83"
"year","83"
"come","83"
"every","82"
"way","81"
"tom","81"
"quite","80"
"while","80"
"thought","80"
"why","79"
"did","78"
"ever","77"
"make","77"
"voice","76"
"princeton","76"
"thats","75"
"came","74"
"being","74"
"ill","74"
"burne","74"
"isabelle","73"
"hes","73"
"cant","73"
"most","73"
"mind","72"
"room","70"
"world","69"
"knew","68"
"around","68"
"found","67"
"away","67"
"thing","66"
"say","65"
"young","65"
"side","65"
