"Word","Count"
"the","7582"
"to","4134"
"a","3615"
"of","3394"
"and","3301"
"he","3284"
"had","3023"
"her","2622"
"was","2516"
"she","2393"
"in","2286"
"his","1919"
"that","1888"
"strike","1751"
"it","1429"
"said","1416"
"on","1316"
"robin","1176"
"you","1174"
"with","1152"
"for","1028"
"him","955"
"as","944"
"not","930"
"i","907"
"been","846"
"at","822"
"out","661"
"but","623"
"be","620"
"up","567"
"they","565"
"from","537"
"what","516"
"were","503"
"would","502"
"have","493"
"who","461"
"all","452"
"when","441"
"an","438"
"could","423"
"back","416"
"there","405"
"about","399"
"no","396"
"into","391"
"did","383"
"so","382"
"them","376"
"by","354"
"like","339"
"one","332"
"this","326"
"or","316"
"got","314"
"me","309"
"know","300"
"off","296"
"where","289"
"which","287"
"if","285"
"down","285"
"over","283"
"then","281"
"asked","273"
"now","268"
"its","265"
"their","257"
"after","254"
"thought","252"
"wardle","237"
"away","227"
"man","226"
"more","221"
"just","221"
"do","220"
"time","216"
"told","214"
"whittaker","213"
"get","211"
"only","204"
"matthew","203"
"im","201"
"never","200"
"we","200"
"two","200"
"going","197"
"hes","197"
"again","196"
"right","194"
"eyes","194"
"face","193"
"still","193"
"door","192"
"looked","191"
"might","190"
"strikes","188"
"through","188"
"before","187"
"though","185"
"how","184"
"dont","182"
"leg","181"
"than","181"
"is","179"
"knew","177"
"brockbank","173"
"any","173"
"laing","172"
"because","172"
"see","171"
"left","171"
"think","171"
"around","168"
"other","164"
"found","161"
"look","158"
"shanker","155"
"himself","152"
"your","150"
"took","150"
"made","150"
"way","147"
"go","147"
"want","146"
"long","144"
"little","144"
"why","144"
"turned","143"
"well","142"
"last","141"
"are","141"
"yeah","140"
"felt","139"
"first","138"
"while","137"
"some","137"
"street","137"
"come","137"
"hand","136"
"police","135"
"hed","134"
"mother","134"
"nothing","133"
"tell","133"
"didnt","132"
"even","130"
"too","129"
"behind","128"
"my","127"
"wanted","127"
"here","126"
"ill","126"
"own","126"
"robins","123"
"girl","123"
"something","122"
"woman","122"
"home","120"
"road","120"
"once","120"
"looking","119"
"work","118"
"voice","115"
"day","115"
"called","113"
"youre","112"
"another","109"
"office","108"
"can","108"
"mobile","108"
"whether","108"
"old","107"
"ive","107"
"much","107"
"trying","107"
"room","107"
"flat","107"
"seemed","104"
"anything","103"
"head","103"
"take","102"
"men","102"
"place","102"
"towards","101"
"make","101"
"done","101"
"came","100"
"people","100"
"both","99"
"being","98"
"fucking","98"
"put","97"
"heard","96"
"ever","96"
"seen","95"
"good","95"
"three","94"
"thats","93"
"night","92"
"shes","92"
"herself","91"
"phone","91"
"met","90"
"went","90"
