"Word","Count"
"the","7079"
"to","3626"
"and","3464"
"a","3209"
"of","3159"
"he","2601"
"was","2419"
"she","2217"
"in","2039"
"her","2018"
"had","1905"
"that","1777"
"you","1683"
"his","1662"
"i","1628"
"it","1489"
"strike","1407"
"on","1219"
"said","1195"
"with","1123"
"for","857"
"at","833"
"as","759"
"him","698"
"but","691"
"not","637"
"out","612"
"been","606"
"have","542"
"up","529"
"all","522"
"from","520"
"be","500"
"what","499"
"me","496"
"were","489"
"an","486"
"there","477"
"about","444"
"they","443"
"no","430"
"robin","421"
"like","409"
"back","398"
"did","397"
"when","389"
"lula","387"
"this","382"
"so","378"
"who","373"
"into","353"
"by","345"
"then","344"
"could","343"
"one","332"
"know","331"
"got","327"
"bristow","326"
"yeah","312"
"would","305"
"them","293"
"just","280"
"down","276"
"its","268"
"if","264"
"your","258"
"or","253"
"which","253"
"my","252"
"over","251"
"didnt","248"
"is","239"
"door","236"
"im","233"
"time","230"
"two","228"
"off","225"
"asked","223"
"told","223"
"after","223"
"dont","223"
"thought","216"
"do","215"
"before","212"
"their","212"
"how","211"
"see","210"
"think","207"
"right","205"
"though","201"
"more","199"
"through","199"
"get","198"
"we","196"
"now","188"
"well","186"
"man","186"
"again","184"
"fucking","184"
"landry","181"
"left","178"
"because","177"
"where","174"
"can","169"
"still","169"
"duffield","168"
"never","167"
"around","167"
"flat","167"
"why","167"
"might","166"
"office","164"
"himself","161"
"very","159"
"looked","155"
"heard","154"
"only","153"
"something","153"
"wilson","152"
"than","151"
"face","150"
"way","150"
"some","150"
"come","150"
"made","149"
"knew","148"
"john","148"
"ciara","148"
"strikes","146"
"seemed","145"
"while","145"
"go","145"
"any","140"
"going","140"
"eyes","140"
"day","139"
"here","138"
"away","138"
"want","137"
"hes","137"
"are","136"
"other","136"
"long","132"
"bestigui","131"
"say","131"
"ive","131"
"thats","131"
"little","130"
"black","129"
"much","128"
"even","128"
"street","128"
"police","128"
"oh","128"
"saw","127"
"went","126"
"first","126"
"mother","126"
"people","124"
"last","124"
"wasnt","122"
"tell","121"
"took","121"
"wardle","119"
"own","118"
"room","117"
"youre","117"
"find","116"
"wanted","116"
"too","114"
"died","113"
"girl","113"
"found","112"
"desk","110"
"rochelle","109"
"front","109"
"som","108"
"another","107"
"bit","105"
"really","104"
"look","104"
"anything","103"
"tony","103"
"tansy","101"
"called","101"
"shed","100"
"life","99"
"morning","99"
"white","99"
"came","96"
"three","96"
"nothing","96"
"open","94"
"ill","94"
"shes","94"
"ever","94"
"call","93"
"night","93"
"name","93"
"table","93"
"turned","91"
"put","91"
"make","91"
"behind","91"
"looking","90"
"bristows","90"
"glass","89"
"moment","89"
"trying","88"
