"Word","Count"
"the","6885"
"to","3815"
"a","3386"
"and","3185"
"of","3083"
"he","2914"
"was","2160"
"had","2016"
"in","1989"
"his","1955"
"strike","1953"
"she","1846"
"said","1817"
"her","1744"
"that","1613"
"it","1606"
"you","1446"
"i","1405"
"on","1201"
"with","1119"
"him","973"
"for","944"
"at","906"
"as","819"
"not","799"
"but","783"
"robin","719"
"been","606"
"be","552"
"what","544"
"up","516"
"they","516"
"have","512"
"out","507"
"from","492"
"about","482"
"me","479"
"an","448"
"were","426"
"who","420"
"did","415"
"when","403"
"this","401"
"all","401"
"could","391"
"there","379"
"asked","378"
"quine","368"
"like","361"
"no","350"
"by","349"
"its","340"
"know","340"
"so","338"
"got","333"
"them","321"
"into","318"
"back","312"
"would","308"
"if","293"
"one","289"
"is","278"
"over","278"
"owen","266"
"fancourt","263"
"think","260"
"more","258"
"told","258"
"down","257"
"their","249"
"or","246"
"dont","241"
"thought","240"
"do","238"
"chard","229"
"which","228"
"just","226"
"time","223"
"how","221"
"off","221"
"im","218"
"hes","216"
"then","216"
"after","215"
"never","212"
"again","211"
"get","208"
"going","207"
"well","204"
"why","204"
"now","203"
"where","202"
"himself","197"
"through","196"
"we","195"
"my","195"
"your","193"
"before","193"
"see","189"
"leonora","188"
"might","187"
"waldegrave","186"
"are","186"
"right","179"
"because","178"
"yeah","177"
"still","175"
"strikes","173"
"didnt","172"
"away","168"
"book","167"
"door","166"
"man","163"
"though","162"
"ive","161"
"matthew","161"
"two","161"
"eyes","159"
"than","158"
"very","158"
"want","155"
"way","152"
"something","152"
"kathryn","151"
"house","150"
"much","147"
"only","146"
"any","146"
"made","144"
"tell","143"
"can","141"
"first","141"
"go","140"
"last","140"
"anstis","139"
"thats","138"
"bombyx","138"
"looked","138"
"other","138"
"say","136"
"around","135"
"woman","135"
"here","134"
"knew","134"
"long","134"
"office","133"
"while","133"
"some","132"
"people","128"
"look","127"
"youre","127"
"elizabeth","127"
"quines","124"
"left","124"
"wanted","123"
"police","120"
"shes","118"
"cant","118"
"found","116"
"seemed","116"
"took","116"
"face","115"
"little","114"
"own","114"
"al","112"
"michael","112"
"good","112"
"work","111"
"read","111"
"nina","111"
"once","111"
"bloody","110"
"hand","109"
"felt","109"
"old","108"
"too","108"
"orlando","108"
"ill","107"
"take","106"
"without","105"
"saw","104"
"oh","104"
"dark","103"
"mori","103"
"another","103"
"jerry","103"
"years","103"
"home","103"
"even","103"
"pippa","100"
"being","99"
"heard","99"
"front","99"
"come","98"
"ever","97"
"find","97"
"night","95"
"trying","95"
"road","95"
"done","95"
"turned","94"
"make","94"
"few","94"
"looking","92"
"hed","91"
"behind","91"
"called","91"
"towards","90"
"yes","90"
"snow","90"
"wife","90"
"really","89"
"put","89"
"street","88"
"went","87"
"anything","86"
"room","86"
"life","85"
"beside","85"
"phone","84"
"tassel","84"
"always","83"
"table","83"
"nothing","82"
"sat","81"
"small","81"
"need","81"
"call","81"
"seen","81"
"head","81"
"sure","81"
"came","80"
"under","79"
"place","79"
"us","78"
"mobile","78"
"against","77"
"keep","77"
"theres","77"
"whether","77"
"robins","75"
"let","75"
"almost","75"
"both","74"
"fisher","74"
"mr","74"
"set","73"
"met","73"
"hair","73"
"thing","72"
"day","72"
"glass","71"
"black","71"
"bit","71"
"herself","71"
"large","70"
"half","70"
"taken","70"
"every","70"
"already","70"
"young","69"
"daniel","69"
"give","69"
"id","69"
"else","67"
"morning","67"
"days","67"
"course","66"
"leg","66"
"wasnt","66"
"wouldnt","66"
"three","66"
"case","66"
"most","65"
"things","64"
"hands","63"
"yet","63"
"kent","62"
"better","62"
"anyone","62"
"stood","62"
"onto","62"
"doing","61"
"youve","61"
"taking","61"
"full","60"
"kitchen","60"
"body","60"
"mother","60"
"gave","60"
"has","59"
"mind","59"
"sitting","59"
"leave","58"
"walked","58"
"those","58"
"havent","58"
"since","57"
"charlotte","57"
"couldnt","57"
"says","57"
"given","57"
"short","57"
"having","56"
"returned","56"
"cold","56"
"coat","56"
"must","56"
"added","56"
"dyou","56"
"women","56"
"gone","55"
"writer","55"
"side","55"
"everyone","55"
"london","55"
"feel","55"
"perhaps","55"
"open","54"
"great","54"
"manuscript","54"
"voice","54"
"sorry","54"
"talk","54"
"white","54"
"will","54"
"love","53"
"past","53"
"beneath","53"
"opened","53"
"silence","53"
"minutes","53"
"end","53"
"everything","53"
"hear","53"
"mouth","52"
"pulled","52"
"many","52"
"between","52"
"these","52"
"cormoran","52"
"big","52"
"picture","52"
"light","52"
"getting","52"
"staring","51"
"friend","51"
"killer","51"
"girl","51"
"name","51"
"knee","50"
"barely","50"
"next","50"
"help","50"
"ask","50"
"someone","50"
"talking","50"
"fancourts","50"
"murder","50"
"tea","50"
"detective","49"
"should","49"
"tried","49"
"party","49"
"round","49"
"enough","49"
"lot","48"
"kept","48"
"window","48"
"bag","48"
"across","48"
"roper","48"
"along","47"
"desk","47"
"daughter","47"
"together","47"
"appeared","47"
"coffee","47"
"sofa","47"
"flat","47"
"feeling","46"
"inside","46"
"ago","46"
"fact","46"
"bed","46"
"whats","46"
"later","46"
"hours","45"
"car","45"
"moved","45"
"family","45"
"whose","45"
"idea","45"
"each","45"
"passed","45"
"job","45"
"until","44"
"quite","44"
"expression","44"
"wont","44"
"husband","44"
"liked","44"
"used","44"
"began","44"
"men","44"
"bar","44"
"died","44"
"making","44"
"isnt","44"
"whom","44"
"best","43"
"alone","43"
"number","43"
"taxi","43"
"following","43"
"able","43"
"new","43"
"seat","43"
"finished","43"
"brought","42"
"wine","42"
"floor","42"
"bad","42"
"same","42"
"nobody","42"
"doesnt","42"
"repeated","42"
"writing","42"
"ten","42"
"feet","42"
"windows","42"
"fucking","42"
"ilsa","41"
"line","41"
"does","41"
"mrs","41"
"meet","41"
"dead","41"
"reached","41"
"rang","41"
"news","41"
"second","40"
"wrong","40"
"culpepper","40"
"card","40"
"thinking","40"
"empty","40"
"times","40"
"coming","40"
"information","40"
"watching","40"
"thick","39"
"evidence","39"
"fell","39"
"agent","39"
"remembered","39"
"watch","39"
"known","39"
"remember","39"
"smile","38"
"books","38"
"real","38"
"early","38"
"business","38"
"money","38"
"happened","38"
"outside","38"
"week","38"
"hard","38"
"suddenly","38"
"whos","38"
"theyre","37"
"father","37"
"reading","37"
"hour","37"
"guts","37"
"such","36"
"note","36"
"world","36"
"followed","36"
"hell","36"
"close","36"
"nearly","36"
"talgarth","36"
"point","36"
"client","36"
"several","36"
"christmas","36"
"our","36"
"standing","35"
"air","35"
"hall","35"
"evening","35"
"liz","35"
"sounded","35"
"telling","35"
"novel","35"
"lost","35"
"shit","35"
"killed","35"
"writers","35"
"bastard","35"
"far","35"
"question","35"
"words","35"
"wall","35"
"watched","34"
"private","34"
"sight","34"
"lay","34"
"asking","34"
"months","34"
"death","34"
"clear","34"
"friends","34"
"afternoon","34"
"finally","34"
"mean","34"
"waldegraves","34"
"christian","34"
"lying","34"
"bought","34"
"realised","34"
"four","33"
"working","33"
"slid","33"
"glasses","33"
"word","33"
"stop","33"
"show","33"
"least","33"
"dinner","33"
"agreed","33"
"copy","33"
"knows","33"
"leaving","33"
"crutches","32"
"tube","32"
"paper","32"
"stuff","32"
"interested","32"
"muttered","32"
"youd","32"
"famous","32"
"chards","32"
"believe","32"
"weve","32"
"literary","32"
"god","32"
"row","32"
"stick","32"
"story","32"
"attention","32"
"hanging","31"
"pocket","31"
"chair","31"
"surprise","31"
"pause","31"
"red","31"
"nor","31"
"poor","31"
"written","31"
"hadnt","31"
"maybe","31"
"seconds","31"
"cigarette","31"
"stairs","31"
"six","31"
"doors","30"
"am","30"
"theyve","30"
"five","30"
"heavy","30"
"arms","30"
"arrived","30"
"wait","30"
"late","30"
"train","30"
"calling","30"
"expected","30"
"wondered","30"
"wrote","30"
"nice","30"
"waiting","30"
"owens","29"
"needed","29"
"saying","29"
"happy","29"
"sense","29"
"whole","29"
"rain","29"
"matthews","29"
"computer","29"
"lucy","29"
"turning","29"
"wearing","29"
"suppose","29"
"sent","29"
"understand","29"
"joe","29"
"worked","28"
"opposite","28"
"try","28"
"straight","28"
"scene","28"
"interview","28"
"thanks","28"
"caught","28"
"within","28"
"anyway","28"
"shed","28"
"lights","28"
"third","28"
"lied","28"
"managed","28"
"waiter","28"
"supposed","28"
"stared","28"
"hung","28"
"turn","28"
"view","28"
"closed","28"
"fingers","27"
"breath","27"
"hope","27"
"talked","27"
"started","27"
"exactly","27"
"slowly","27"
"tiny","27"
"sound","27"
"different","27"
"deep","27"
"looks","27"
"female","27"
"birthday","27"
"except","27"
"arm","27"
"hi","27"
"falling","26"
"shouted","26"
"surprised","26"
"pale","26"
"doubt","26"
"clearly","26"
"nine","26"
"miss","26"
"pictures","26"
"william","26"
"kath","26"
"key","26"
"answer","26"
"matter","26"
"headed","26"
"edna","26"
"fuck","26"
"tall","26"
"corner","26"
"pay","26"
"running","26"
"acid","26"
"glanced","26"
"wedding","26"
"polworth","26"
"disappeared","26"
"longer","26"
"today","26"
"tassels","26"
"nick","26"
"heavily","26"
"angry","25"
"walking","25"
"station","25"
"dress","25"
"sometimes","25"
"upon","25"
"tomorrow","25"
"food","25"
"darkness","25"
"missing","25"
"interest","25"
"eye","25"
"loved","25"
"laugh","25"
"brother","25"
"ok","25"
"strange","25"
"instead","25"
"walk","25"
"person","24"
"sign","24"
"worried","24"
"suit","24"
"thin","24"
"tied","24"
"less","24"
"wet","24"
"lawyers","24"
"seeing","24"
"stay","24"
"shoulder","24"
"emerged","24"
"sudden","24"
"publisher","24"
"bill","24"
"spent","24"
"use","24"
"check","24"
"water","24"
"wood","24"
"married","24"
"hold","23"
"showed","23"
"busy","23"
"loudly","23"
"thinks","23"
"company","23"
"beautiful","23"
"imagine","23"
"cover","23"
"funny","23"
"familiar","23"
"problem","23"
"brothers","23"
"usually","23"
"cab","23"
"somebody","23"
"soon","23"
"actually","23"
"forgotten","23"
"hit","23"
"upset","23"
"study","23"
"paid","23"
"public","23"
"walls","23"
"restaurant","23"
"boss","23"
"cutter","23"
"touched","22"
"son","22"
"amused","22"
"couple","22"
"helly","22"
"odd","22"
"carrying","22"
"tonight","22"
"chance","22"
"true","22"
"write","22"
"silent","22"
"journey","22"
"foot","22"
"drink","22"
"reason","22"
"hundred","22"
"ought","22"
"picked","22"
"probably","22"
"noticed","22"
"editor","22"
"weekend","22"
"waited","22"
"bags","22"
"blood","22"
"twenty","22"
"meeting","22"
"cut","22"
"sleep","22"
"top","22"
"shortly","22"
"plastic","22"
"court","22"
"spoke","21"
"demanded","21"
"dunno","21"
"also","21"
"garden","21"
"meant","21"
"denmark","21"
"details","21"
"speak","21"
"holding","21"
"trouble","21"
"space","21"
"building","21"
"arent","21"
"become","21"
"thank","21"
"north","21"
"weeks","21"
"recognised","21"
"drive","21"
"box","21"
"sounds","21"
"knife","21"
"broken","21"
"helped","21"
"metal","21"
"prosthesis","21"
"hasnt","21"
"glad","21"
"expect","21"
"press","21"
"weather","21"
"previous","20"
"easy","20"
"allowed","20"
"st","20"
"bright","20"
"wants","20"
"pressed","20"
"manny","20"
"move","20"
"contact","20"
"photographs","20"
"start","20"
"pub","20"
"held","20"
"oclock","20"
"army","20"
"handed","20"
"answered","20"
"interesting","20"
"lunch","20"
"husbands","20"
"often","20"
"either","20"
"approached","20"
"apparently","20"
"laughed","20"
"however","20"
"dropped","20"
"telephone","20"
"kill","20"
"worse","20"
"faint","20"
"brick","20"
"conversation","20"
"checked","19"
"moment","19"
"possible","19"
"wondering","19"
"relationship","19"
"fire","19"
"chest","19"
"above","19"
"entrance","19"
"caf","19"
"em","19"
"invitation","19"
"ahead","19"
"usual","19"
"run","19"
"page","19"
"drew","19"
"seem","19"
"entered","19"
"thoughts","19"
"bloke","19"
"boy","19"
"sunday","19"
"quietly","19"
"yesterday","19"
"mate","19"
"unless","19"
"slight","19"
"saturday","19"
"further","19"
"spite","19"
"corm","19"
"eighth","19"
"anstiss","19"
"quiet","19"
"calls","19"
"brief","19"
"kind","19"
"publicity","19"
"covered","19"
"publishers","19"
"raised","18"
"square","18"
"rest","18"
"led","18"
"clients","18"
"shut","18"
"bring","18"
"bedroom","18"
"youll","18"
"neighbour","18"
"sister","18"
"monday","18"
"forced","18"
"care","18"
"leather","18"
"beyond","18"
"greg","18"
"club","18"
"grey","18"
"lives","18"
"ear","18"
"rokeby","18"
"personal","18"
"subject","18"
"bob","18"
"merely","18"
"pint","18"
"neck","18"
"speaking","18"
"mirror","18"
"single","18"
"themselves","18"
"announced","18"
"fixed","18"
"ralph","18"
"ceiling","18"
"mug","18"
