"Word","Count"
"the","7617"
"i","6671"
"to","5303"
"and","3605"
"was","3493"
"a","3378"
"of","2885"
"my","2785"
"it","2439"
"that","2350"
"he","2193"
"in","2193"
"you","2027"
"her","1886"
"me","1859"
"his","1694"
"she","1453"
"for","1346"
"as","1259"
"with","1193"
"but","1171"
"on","1092"
"at","1080"
"had","1028"
"not","997"
"edward","982"
"be","957"
"this","877"
"would","850"
"so","824"
"were","815"
"what","810"
"could","806"
"have","791"
"we","772"
"like","767"
"him","765"
"then","729"
"if","692"
"all","689"
"from","685"
"out","651"
"said","647"
"no","626"
"just","618"
"they","600"
"one","591"
"didnt","579"
"there","572"
"back","556"
"up","544"
"eyes","532"
"is","522"
"about","516"
"now","514"
"into","487"
"do","484"
"more","475"
"bella","464"
"when","461"
"them","460"
"face","440"
"been","437"
"jacob","428"
"id","424"
"too","423"
"than","417"
"time","413"
"again","405"
"see","402"
"how","401"
"know","400"
"us","394"
"dont","388"
"right","382"
"way","373"
"through","363"
"im","361"
"renesmee","343"
"alice","342"
"your","342"
"an","341"
"carlisle","339"
"going","338"
"or","336"
"its","335"
"before","332"
"much","328"
"did","328"
"still","318"
"can","312"
"our","308"
"only","303"
"get","301"
"think","300"
"their","297"
"away","296"
"little","296"
"head","296"
"wasnt","291"
"even","290"
"around","279"
"hand","279"
"are","279"
"over","269"
"here","268"
"voice","268"
"by","265"
"something","262"
"want","261"
"thought","260"
"asked","259"
"felt","251"
"seth","247"
"well","242"
"very","240"
"sure","237"
"made","234"
"down","232"
"off","230"
"couldnt","228"
"knew","227"
"looked","225"
"make","223"
"took","223"
"never","222"
"youre","221"
"will","217"
"long","214"
"any","214"
"maybe","213"
"other","209"
"against","206"
"go","205"
"first","205"
"really","202"
"some","202"
"rosalie","202"
"aro","202"
"good","201"
"charlie","201"
"look","198"
"while","198"
"same","196"
"nothing","196"
"after","192"
"why","190"
"enough","188"
"take","186"
"let","186"
"got","185"
"feel","185"
"human","184"
"thing","184"
"because","183"
"though","182"
"seemed","180"
"edwards","179"
"arms","177"
"hands","175"
"told","173"
"leah","172"
"heard","171"
"myself","170"
"who","169"
"two","167"
"turned","164"
"hear","164"
"few","163"
"whispered","160"
"come","158"
"room","157"
"side","156"
"second","154"
"anything","152"
"sam","152"
"wouldnt","150"
"tell","150"
"should","149"
"moment","149"
"keep","148"
"behind","148"
"where","146"
"wanted","146"
"thats","144"
"sound","144"
"course","143"
"jasper","142"
"trying","142"
"body","142"
"need","141"
"toward","140"
"shes","140"
"better","138"
"put","137"
"new","137"
"teeth","136"
"another","134"
"ill","134"
"vampire","134"
"volturi","133"
"emmett","133"
"things","130"
"together","130"
"hard","130"
"cant","129"
"saw","126"
"mind","124"
"came","123"
"almost","123"
"able","123"
"under","122"
"stared","122"
"already","122"
"might","122"
"life","121"
"across","121"
"door","120"
"last","119"
"everything","119"
"ever","118"
"skin","118"
"own","118"
"expression","117"
"probably","117"
"left","117"
"words","117"
"part","116"
"say","115"
"lips","115"
"give","115"
"breath","113"
"hed","112"
"else","112"
"must","112"
"smiled","111"
"pain","110"
"every","110"
"without","110"
"tried","109"
"smile","108"
"being","107"
"yes","107"
"help","106"
"both","106"
"esme","106"
"family","105"
"others","105"
"house","104"
"love","103"
"shed","103"
"wrong","101"
"hadnt","101"
"day","101"
"nodded","101"
"between","100"
"big","100"
"sighed","100"
"place","100"
"kate","98"
"cullens","97"
"looking","96"
"started","96"
"once","96"
"fight","95"
"pack","95"
"stop","95"
"oh","95"
"vampires","94"
"held","94"
"answer","94"
"seen","93"
"pulled","92"
"tanya","92"
"heart","92"
"murmured","92"
"until","91"
"white","91"
"feet","91"
"caius","91"
"home","90"
"deep","90"
"waiting","90"
"child","89"
"low","89"
"blood","89"
"close","87"
"front","87"
"forward","87"
"laughed","86"
"always","86"
"coming","86"
"throat","86"
"kind","86"
"exactly","85"
"someone","85"
"hes","84"
"mine","84"
"suddenly","84"
"night","83"
"thoughts","83"
"jake","82"
"most","82"
"hair","82"
"okay","82"
