"Word","Count"
"i","6183"
"the","5688"
"to","4471"
"and","2806"
"was","2744"
"he","2720"
"a","2554"
"you","2272"
"my","2216"
"it","2062"
"of","2014"
"his","1955"
"that","1950"
"me","1829"
"in","1672"
"for","1105"
"as","953"
"with","927"
"at","919"
"but","907"
"edward","868"
"be","843"
"her","818"
"on","792"
"not","774"
"had","740"
"him","719"
"she","703"
"have","662"
"jacob","657"
"so","644"
"were","628"
"what","624"
"would","603"
"this","596"
"said","590"
"like","577"
"if","564"
"out","554"
"no","534"
"could","517"
"just","508"
"about","493"
"up","488"
"then","483"
"eyes","477"
"didnt","473"
"when","466"
"from","455"
"there","452"
"all","446"
"one","442"
"back","439"
"do","431"
"is","427"
"im","427"
"dont","427"
"face","420"
"know","419"
"its","409"
"we","386"
"alice","375"
"they","375"
"again","364"
"too","364"
"see","351"
"going","342"
"more","341"
"into","337"
"bella","336"
"than","333"
"charlie","322"
"your","321"
"now","319"
"time","318"
"them","307"
"how","306"
"id","305"
"are","304"
"want","294"
"voice","290"
"think","286"
"been","282"
"way","278"
"something","278"
"right","276"
"around","275"
"did","275"
"still","274"
"get","269"
"asked","262"
"away","258"
"much","250"
"hand","247"
"youre","240"
"before","239"
"head","235"
"only","233"
"thats","228"
"or","228"
"us","224"
"an","221"
"go","220"
"wasnt","217"
"through","217"
"really","215"
"over","214"
"can","211"
"why","207"
"never","205"
"down","203"
"ill","200"
"make","197"
"looked","196"
"even","194"
"well","191"
"long","190"
"took","189"
"got","187"
"sure","187"
"their","185"
"against","181"
"thought","181"
"off","178"
"will","178"
"look","174"
"sighed","171"
"made","170"
"good","169"
"by","168"
"knew","167"
"jasper","164"
"enough","164"
"here","162"
"couldnt","161"
"who","161"
"little","160"
"anything","159"
"tell","159"
"any","159"
"other","156"
"some","154"
"first","152"
"though","152"
"maybe","151"
"after","150"
"trying","150"
"because","150"
"let","148"
"very","148"
"myself","145"
"felt","141"
"laughed","139"
"turned","138"
"feel","138"
"hands","137"
"whispered","137"
"wouldnt","135"
"arms","133"
"few","132"
"carlisle","131"
"come","131"
"things","129"
"hard","129"
"expression","127"
"stared","127"
"suddenly","127"
"while","126"
"cant","126"
"take","125"
"wanted","123"
"better","122"
"yes","122"
"side","121"
"hed","121"
"where","120"
"told","120"
"keep","120"
"already","120"
"pulled","118"
"left","118"
"edwards","116"
"lips","115"
"jake","115"
"toward","114"
"nothing","114"
"say","111"
"hes","111"
"seemed","111"
"tried","111"
"our","111"
"sam","110"
"wont","109"
"need","108"
"second","107"
"hurt","107"
"human","107"
"two","107"
"together","107"
"always","105"
"last","104"
"put","104"
"thing","104"
"muttered","103"
"moment","103"
"course","102"
"should","101"
"idea","101"
"without","101"
"door","100"
"night","100"
"behind","98"
"same","98"
"ever","97"
"room","96"
"smile","94"
"mind","94"
"almost","94"
"words","94"
"life","93"
"being","93"
"across","93"
"someone","93"
"another","92"
"give","92"
"black","92"
"seth","92"
"doesnt","92"
"started","91"
"jacobs","91"
"murmured","90"
"okay","90"
"might","90"
"arm","90"
"oh","89"
"bad","89"
"part","89"
"body","89"
"smiled","88"
"teeth","88"
"once","88"
"ive","87"
"else","87"
"sound","87"
"every","87"
"love","85"
"home","85"
"sorry","85"
"saw","84"
"came","83"
"pain","83"
"fight","82"
"whats","82"
"fine","82"
"emmett","82"
"cold","81"
"please","81"
"under","81"
"shook","81"
"theres","81"
"himself","80"
"quickly","80"
"hear","80"
"place","80"
"until","79"
"breath","79"
"looking","78"
"mean","78"
"hair","78"
"hadnt","77"
"everything","77"
"day","76"
"wolf","76"
"probably","76"
"answer","76"
"soon","75"
"went","75"
"deep","75"
"most","75"
"wrong","74"
"both","73"
"house","73"
"fingers","72"
"people","72"
"help","72"
"talk","70"
"open","69"
"worry","69"
"able","69"
"mine","69"
"minute","68"
"guess","68"
"next","68"
"heard","68"
"seen","68"
"waiting","67"
"work","66"
"promised","66"
"held","66"
"exactly","66"
"yet","66"
"find","66"
"bit","66"
"feet","66"
"own","66"
"has","65"
"between","65"
"ask","65"
"slowly","65"
"alone","64"
"try","64"
"close","64"
"shes","64"
"taha","64"
"nodded","64"
"realized","63"
"thinking","63"
"chest","63"
"answered","63"
"big","63"
"victoria","62"
"wolves","62"
"friends","62"
"skin","62"
"far","62"
"kind","62"
"gone","61"
"doing","61"
"coming","61"
"leave","60"
"found","60"
"yeah","60"
"dad","60"
"billy","60"
"happy","59"
"tone","59"
"remember","59"
"new","59"
"understand","59"
"school","59"
"frowned","58"
"moved","58"
"front","58"
"shed","58"
"spoke","57"
"best","57"
"low","57"
"pack","57"
"vampire","57"
"began","57"
"waited","57"
"believe","57"
"point","57"
"easy","56"
"care","56"
"finally","56"
"anyone","56"
"blood","56"
"nice","56"
"quite","55"
"small","55"
"change","55"
"stop","55"
"grinned","55"
"mouth","54"
"dark","54"
"am","54"
"shrugged","54"
"party","54"
"others","54"
"beside","54"
"agreed","54"
"story","54"
"world","53"
"thanks","53"
"three","53"
"everyone","53"
"done","53"
"least","53"
"wondered","53"
"anyway","52"
"wait","52"
"question","52"
"rest","51"
"line","51"
"bed","51"
"along","50"
"many","50"
"watched","50"
"angela","50"
"half","50"
"control","50"
"quil","50"
"worried","49"
"having","49"
"youll","49"
"does","49"
"car","49"
"stay","49"
"name","49"
"light","49"
"whole","48"
"tonight","48"
"word","48"
"leaned","48"
"making","48"
"end","48"
"each","48"
"surprised","47"
"heart","47"
"caught","47"
"matter","47"
"talking","47"
"gave","47"
"happened","47"
"rosalie","47"
"rolled","46"
"charlies","46"
"sense","46"
"youd","46"
"reason","46"
"sounded","46"
"different","46"
"either","46"
"youve","46"
"phone","46"
"spirit","46"
"isnt","46"
"cullens","45"
"aki","45"
"since","45"
"family","45"
"anymore","45"
"meant","45"
"called","45"
"years","44"
"whatever","44"
"quietly","44"
"sleep","44"
"kill","44"
"leah","44"
"demanded","43"
"old","43"
"walked","43"
"move","43"
"problem","43"
"riley","43"
"esme","43"
"forest","43"
"must","43"
"edge","43"
"mike","43"
"read","42"
"mumbled","42"
"strong","42"
"lost","42"
"morning","42"
"minutes","42"
"changed","42"
"reminded","42"
"inside","41"
"sat","41"
"hey","41"
"set","41"
"young","41"
"perfect","41"
"scent","41"
"glared","41"
"friend","41"
"used","41"
"calm","41"
"surprise","41"
"seem","41"
"throat","41"
"watching","41"
"getting","41"
"which","41"
"slightly","40"
"push","40"
"past","40"
"staring","40"
"less","40"
"strange","40"
"closer","40"
"feeling","39"
"jane","39"
"kept","39"
"run","39"
"volturi","39"
"neck","39"
"those","39"
"stood","39"
"werewolves","39"
"white","39"
"wide","39"
"quiet","39"
"rather","39"
"hold","38"
"needed","38"
"person","38"
"vampires","38"
"yourself","38"
"lot","38"
"arent","38"
"trees","38"
"silence","38"
"warm","38"
"late","38"
"later","37"
"ben","37"
"taking","37"
"shouldnt","37"
"afraid","37"
"ground","36"
"continued","36"
"chance","36"
"holding","36"
"chuckled","36"
"clearing","36"
"actually","36"
"call","36"
"werewolf","36"
"graduation","36"
"red","36"
"reached","36"
"today","36"
"fast","36"
"closed","36"
"kissed","36"
"fighting","36"
"theyre","35"
"tent","35"
"thoughts","35"
"la","35"
"break","34"
"true","34"
"miss","34"
"pretty","34"
"ready","34"
"pulling","34"
"girl","34"
"cut","34"
"forward","34"
"wish","34"
"days","34"
"longer","34"
"rene","34"
"glad","34"
"attention","34"
"angry","33"
"anxious","33"
"kiss","33"
"air","33"
"these","33"
"werent","33"
"cheek","33"
"sudden","33"
"supposed","33"
"gaze","33"
"grumbled","33"
"worse","33"
"table","33"
"also","32"
"realize","32"
"shut","32"
"safe","32"
"live","32"
"clear","32"
"step","32"
"seattle","32"
"confused","32"
"man","32"
"stupid","32"
"carefully","32"
"watch","32"
"ignored","32"
"reaction","32"
"sun","32"
"wind","31"
"such","31"
"full","31"
"beautiful","31"
"paper","31"
"hesitated","31"
"window","31"
"year","31"
"impossible","31"
"broke","31"
"times","31"
"ear","31"
"outside","31"
"floor","30"
"besides","30"
"bright","30"
"followed","30"
"imagine","30"
"great","30"
"trouble","30"
"danger","30"
"threw","30"
"emily","30"
"easily","30"
"havent","30"
"snapped","30"
"disappeared","30"
"serious","30"
"relief","30"
"paused","30"
"explained","29"
"groaned","29"
"gasped","29"
"space","29"
"growled","29"
"mr","29"
"free","29"
"insisted","29"
"lets","29"
"ones","29"
"possible","28"
"slow","28"
"sometimes","28"
"hell","28"
"stopped","28"
"newborns","28"
"shoulder","28"
"fun","28"
"hit","28"
"noticed","28"
"touched","27"
"worked","27"
"allowed","27"
"wants","27"
"huge","27"
"fact","27"
"shuddered","27"
"happen","27"
"start","27"
"passed","27"
"wrapped","27"
"weeks","27"
"loud","27"
"twisted","27"
"maria","27"
"decided","27"
"father","27"
"running","27"
"broken","27"
"remembered","27"
"theyll","27"
"grabbed","27"
"soft","27"
"stand","27"
