"Word","Count"
"i","5913"
"the","5858"
"to","3711"
"was","2832"
"and","2387"
"he","2270"
"a","2209"
"my","2180"
"of","1958"
"me","1773"
"it","1762"
"that","1688"
"in","1567"
"you","1563"
"his","1549"
"as","914"
"for","904"
"with","882"
"but","824"
"at","803"
"on","723"
"had","659"
"be","657"
"him","634"
"not","622"
"her","621"
"what","616"
"so","590"
"jacob","575"
"she","572"
"were","554"
"like","552"
"would","552"
"out","524"
"if","517"
"this","510"
"didnt","507"
"could","504"
"up","478"
"from","477"
"have","473"
"just","452"
"no","447"
"back","445"
"said","438"
"edward","428"
"eyes","411"
"there","400"
"when","396"
"one","389"
"face","388"
"about","380"
"then","367"
"id","364"
"we","361"
"do","352"
"voice","341"
"all","340"
"into","332"
"again","329"
"charlie","323"
"dont","320"
"now","317"
"too","310"
"than","302"
"alice","296"
"im","295"
"more","289"
"see","288"
"its","284"
"head","278"
"bella","276"
"they","275"
"time","274"
"know","273"
"is","272"
"still","271"
"been","268"
"through","266"
"how","258"
"around","252"
"them","252"
"get","252"
"think","248"
"wasnt","241"
"something","240"
"going","239"
"want","234"
"asked","231"
"way","231"
"looked","231"
"did","229"
"or","225"
"before","222"
"down","218"
"much","217"
"your","214"
"over","214"
"go","209"
"an","203"
"couldnt","202"
"thought","201"
"only","200"
"are","200"
"right","198"
"really","197"
"sure","197"
"even","196"
"by","193"
"here","191"
"away","189"
"very","186"
"felt","183"
"long","181"
"hand","179"
"off","177"
"well","177"
"can","173"
"against","171"
"made","171"
"myself","164"
"us","161"
"some","155"
"maybe","155"
"first","155"
"why","154"
"never","151"
"youre","149"
"got","145"
"knew","144"
"door","144"
"took","144"
"ill","141"
"after","139"
"other","139"
"thats","138"
"little","138"
"where","136"
"though","135"
"any","132"
"anything","132"
"seemed","132"
"let","132"
"toward","131"
"good","130"
"sam","129"
"tell","128"
"trying","126"
"look","126"
"house","124"
"turned","123"
"last","123"
"feel","122"
"billy","122"
"make","120"
"enough","119"
"take","118"
"stared","118"
"better","117"
"wouldnt","115"
"whispered","113"
"wanted","113"
"okay","112"
"tried","111"
"hands","111"
"while","110"
"hard","110"
"who","110"
"nothing","108"
"their","108"
"expression","107"
"told","107"
"words","107"
"black","106"
"because","106"
"carlisle","104"
"behind","104"
"same","104"
"under","103"
"dark","103"
"left","102"
"come","102"
"hes","101"
"keep","101"
"without","99"
"hadnt","98"
"sound","97"
"will","97"
"put","96"
"room","96"
