"Word","Count"
"i","5850"
"the","5171"
"to","3487"
"he","2618"
"was","2411"
"my","2225"
"and","2212"
"a","1933"
"of","1804"
"you","1742"
"in","1586"
"his","1571"
"me","1550"
"it","1402"
"that","1276"
"as","911"
"at","866"
"with","860"
"but","769"
"for","730"
"on","698"
"him","611"
"be","593"
"were","524"
"had","518"
"eyes","497"
"so","470"
"not","453"
"she","445"
"have","427"
"her","414"
"what","412"
"could","409"
"then","409"
"out","407"
"from","400"
"no","399"
"said","387"
"if","385"
"up","381"
"edward","377"
"back","371"
"like","365"
"we","360"
"would","356"
"all","353"
"voice","339"
"asked","330"
"didnt","327"
"just","324"
"there","324"
"this","317"
"they","312"
"face","310"
"dont","307"
"im","302"
"when","298"
"do","297"
"one","289"
"see","282"
"now","282"
"into","274"
"your","267"
"looked","266"
"more","264"
"again","263"
"is","261"
"still","258"
"about","258"
"know","250"
"its","247"
"how","244"
"are","241"
"than","239"
"id","239"
"too","238"
"by","236"
"away","234"
"them","232"
"very","228"
"down","222"
"couldnt","221"
"time","211"
"think","210"
"going","208"
"around","208"
"bella","208"
"through","198"
"alice","194"
"get","194"
"an","192"
"over","191"
"or","185"
"before","183"
"well","181"
"hand","179"
"charlie","178"
"head","177"
"way","175"
"go","173"
"wasnt","172"
"did","172"
"much","171"
"door","166"
"room","165"
"us","164"
"only","162"
"look","161"
"something","159"
"why","155"
"right","153"
"youre","153"
"been","151"
"thought","150"
"myself","146"
"sure","143"
"can","142"
"never","142"
"want","141"
"seemed","140"
"even","139"
"though","138"
"off","136"
"thats","134"
"tried","134"
"where","133"
"here","132"
"first","132"
"really","131"
"turned","129"
"smiled","129"
"made","129"
"yes","128"
"long","128"
"after","124"
"ill","124"
"car","121"
"trying","119"
"toward","119"
"tell","118"
"some","117"
"other","117"
"carlisle","116"
"mike","116"
"little","114"
"good","114"
"walked","111"
"any","110"
"knew","109"
"against","109"
"few","109"
"should","107"
"behind","106"
"expression","105"
"stared","104"
"took","103"
"jasper","101"
"hair","101"
"felt","100"
"day","99"
"got","99"
"hear","99"
"our","99"
"jessica","98"
"will","97"
"heard","96"
"mind","96"
"make","96"
"quickly","96"
"looking","95"
"hands","95"
"home","95"
"come","95"
"sighed","95"
"feel","95"
"smile","94"
"enough","94"
"truck","93"
"suddenly","92"
"while","91"
"same","90"
"anything","88"
"another","88"
"their","88"
"next","87"
"left","87"
"side","86"
"across","85"
"who","85"
"take","84"
"say","84"
"almost","84"
"dark","83"
"slowly","83"
"last","82"
"front","82"
"oh","82"
"nothing","82"
"emmett","82"
"hes","81"
"cant","81"
"finally","81"
"without","80"
"sat","79"
"moment","78"
"jacob","78"
"most","78"
"already","78"
"lips","77"
"hard","77"
"course","76"
"let","76"
"sound","76"
"wanted","76"
"table","76"
"because","76"
"better","75"
"keep","75"
"always","74"
"under","74"
"wouldnt","73"
"school","73"
"night","72"
"pulled","71"
"close","71"
"put","70"
"two","70"
"things","69"
"people","69"
"surprised","69"
"told","69"
"waiting","69"
"wrong","68"
"realized","68"
"lot","68"
"held","68"
"went","68"
"hed","68"
"laughed","68"
"saw","66"
"continued","66"
"together","66"
"called","66"
"light","66"
"class","66"
"came","65"
"place","65"
"far","64"
"soon","64"
"black","64"
"carefully","64"
"staring","63"
"sounded","63"
"house","63"
"alone","62"
"mine","62"
"seen","62"
"maybe","62"
"open","61"
"being","61"
"tone","61"
"whispered","61"
"seat","61"
"cold","60"
"need","60"
"find","60"
"every","60"
"afraid","60"
"forks","59"
"sorry","59"
"corner","59"
"might","59"
"edwards","58"
"mom","58"
"someone","58"
"life","57"
"wont","57"
"both","57"
"else","57"
"stay","57"
"yet","57"
"leave","56"
"cullen","56"
"small","56"
"esme","56"
"spoke","55"
"began","55"
"arms","55"
"human","55"
"skin","55"
"words","55"
"breath","54"
"three","54"
"glanced","54"
"feet","54"
"once","54"
"answer","53"
"waited","53"
"hadnt","53"
"until","52"
"rain","52"
"family","51"
"please","51"
"today","51"
"edge","51"
"which","51"
"kept","50"
"thinking","50"
"started","50"
"ask","50"
"understand","50"
"must","50"
"shook","50"
"found","49"
"ever","49"
"fine","49"
"others","49"
"old","48"
"each","48"
"mother","48"
"everything","48"
"rosalie","48"
"muttered","47"
"probably","47"
"new","47"
"town","47"
"window","46"
"caught","46"
"between","46"
"himself","46"
"silence","46"
"morning","46"
"coming","46"
"dad","46"
"nice","46"
"own","46"
"easy","45"
"dance","45"
"stop","45"
"bit","45"
"end","45"
"hurt","44"
"remember","44"
"agreed","44"
"answered","44"
"thing","44"
"believe","44"
"forest","44"
"relief","44"
"okay","44"
"feeling","43"
"inside","43"
"murmured","43"
"angela","43"
"paused","43"
"stood","43"
"doesnt","43"
"watching","43"
"kind","43"
"closed","43"
"rest","42"
"gone","42"
"low","42"
"thoughts","42"
"jacket","42"
"admitted","42"
"sleep","42"
"white","42"
"shes","42"
"opened","42"
"watched","41"
"tonight","41"
"help","41"
"bed","41"
"call","41"
"different","41"
"part","41"
"reached","41"
"wondered","41"
"question","41"
"years","40"
"mean","40"
"guess","40"
"word","40"
"bad","40"
"pain","40"
"road","40"
"quiet","40"
"try","40"
"getting","40"
"second","39"
"safe","39"
"noticed","39"
"decided","39"
"sitting","39"
"sun","39"
"theres","39"
"walk","39"
"floor","38"
"many","38"
"ive","38"
"worry","38"
"stopped","38"
"run","38"
"able","38"
"talk","38"
"werent","38"
"matter","38"
"turn","38"
"passed","38"
"tyler","38"
"along","37"
"actually","37"
"seem","37"
"deep","37"
"ran","37"
"heart","37"
"cullens","36"
"beautiful","36"
"meant","36"
"thanks","36"
"theyre","36"
"promised","36"
"exactly","36"
"shoulder","36"
"teeth","36"
"tomorrow","36"
"forward","36"
"phone","36"
"reminded","36"
"fear","36"
"love","35"
"clearly","35"
"wait","35"
"blood","35"
"billy","35"
"wall","35"
"raised","34"
"minute","34"
"worried","34"
"does","34"
"read","34"
"friends","34"
"leaned","34"
"whats","34"
"possible","33"
"smell","33"
"charlies","33"
"followed","33"
"youll","33"
"work","33"
"impossible","33"
"touch","33"
"trees","33"
"give","33"
"anyone","33"
"least","33"
"minutes","33"
"gave","33"
"nodded","33"
"attention","33"
"fingers","32"
"frowned","32"
"angry","32"
"full","32"
"perfect","32"
"chuckled","32"
"empty","32"
"warm","32"
"those","32"
"quietly","32"
"taking","32"
"mr","32"
"wide","32"
"outside","32"
"arm","32"
"sit","32"
"quite","31"
"hesitated","31"
"reason","31"
"usual","31"
"used","31"
"idea","31"
"name","31"
"direction","31"
"drive","30"
"smiling","30"
"set","30"
"straight","30"
"since","30"
"gym","30"
"bag","30"
"somehow","30"
"fell","30"
"grinned","30"
"till","30"
"sudden","30"
"stepped","30"
"cool","30"
"doing","30"
"hit","30"
"explained","29"
"mouth","29"
"rolled","29"
"stairs","29"
"wed","29"
"calm","29"
"jess","29"
"boy","29"
"everyone","29"
"finished","29"
"changed","29"
"talking","29"
"instead","29"
"touched","28"
"chair","28"
"wondering","28"
"walking","28"
"early","28"
"completely","28"
"turning","28"
"seattle","28"
"nearly","28"
"remembered","28"
"happened","28"
"questions","28"
"lost","28"
"fast","28"
"slightly","27"
"am","27"
"past","27"
"also","27"
"curious","27"
"high","27"
"glance","27"
"clear","27"
"ready","27"
"anymore","27"
"making","27"
"easily","27"
"supposed","27"
"blue","27"
"ignored","27"
"careful","27"
"isnt","27"
"four","26"
"standing","26"
"hope","26"
"glared","26"
"ball","26"
"less","26"
"somewhere","26"
"change","26"
"james","26"
"moved","26"
"ahead","26"
"food","26"
"street","26"
"father","26"
"girl","26"
"running","26"
"big","26"
"soft","26"
"days","26"
"top","26"
"phoenix","26"
"promise","26"
"happy","25"
"hoping","25"
"chest","25"
"shut","25"
"desk","25"
"green","25"
"pushed","25"
"stayed","25"
"meet","25"
"times","25"
"anyway","25"
"surprise","25"
"late","25"
"done","25"
"hoped","25"
"body","25"
"engine","25"
"leaving","25"
"demanded","24"
"sense","24"
"listening","24"
"pale","24"
"great","24"
"explain","24"
"chance","24"
"pretty","24"
"headed","24"
"picked","24"
"clothes","24"
"breathed","24"
"man","24"
"neck","24"
"thank","24"
"lunch","24"
"eye","24"
"hour","24"
"shock","24"
"warned","24"
"flashed","24"
"laugh","24"
"gaze","24"
"speak","24"
"catch","24"
"serious","24"
"mood","24"
"added","24"
"closer","24"
"has","24"
"sky","24"
"bright","23"
"tv","23"
"dress","23"
"um","23"
