"Word","Count"
"the","9008"
"of","5512"
"a","5247"
"and","4932"
"in","3702"
"to","3640"
"her","1913"
"he","1834"
"with","1782"
"that","1720"
"his","1711"
"had","1527"
"was","1441"
"i","1303"
"on","1256"
"as","1220"
"she","1190"
"van","1108"
"not","1091"
"it","1090"
"but","965"
"at","947"
"you","945"
"by","944"
"for","939"
"or","870"
"an","743"
"is","689"
"one","684"
"ada","655"
"from","642"
"said","617"
"be","590"
"him","557"
"my","546"
"which","532"
"all","532"
"have","492"
"who","468"
"its","437"
"when","429"
"were","420"
"now","407"
"up","390"
"little","388"
"would","387"
"they","387"
"time","384"
"me","354"
"out","345"
"been","342"
"their","338"
"could","331"
"if","331"
"into","325"
"no","325"
"only","325"
"we","317"
"so","313"
"your","307"
"two","304"
"after","291"
"more","288"
"this","286"
"did","282"
"what","278"
"are","275"
"old","267"
"there","262"
"like","255"
"some","255"
"our","253"
"than","251"
"lucette","247"
"other","247"
"back","242"
"very","234"
"can","232"
"first","224"
"marina","221"
"black","220"
"then","211"
"where","210"
"do","208"
"before","205"
"through","197"
"even","196"
"still","192"
"about","192"
"them","188"
"last","187"
"over","186"
"too","185"
"because","185"
"know","182"
"young","181"
"those","179"
"never","177"
"much","173"
"three","172"
"long","171"
"im","170"
"another","164"
"down","164"
"hand","163"
"demon","161"
"how","158"
"way","157"
"under","154"
"between","153"
"well","152"
"while","152"
"has","150"
"years","149"
"de","149"
"russian","147"
"poor","146"
"being","143"
"oh","143"
"see","140"
"love","139"
"such","138"
"girl","138"
"might","137"
"etc","137"
"both","137"
"ardis","136"
"will","136"
"next","134"
"go","134"
"once","134"
"right","134"
"quite","133"
"must","132"
"also","131"
"new","131"
"rather","130"
"life","129"
"again","128"
"left","128"
"just","128"
"here","126"
"room","124"
"later","124"
"same","123"
"off","122"
"made","121"
"day","121"
"come","119"
"vans","119"
"any","117"
"himself","116"
"adas","116"
"moment","114"
"every","113"
"thought","112"
"course","111"
"away","110"
"man","110"
"night","108"
"french","108"
"something","107"
"dont","106"
"having","105"
"went","105"
"say","102"
"past","100"
"used","100"
"head","100"
"good","100"
"nothing","98"
"upon","98"
"called","98"
"own","97"
"should","97"
"eyes","97"
"really","97"
"mind","96"
"many","95"
"look","95"
"yes","95"
"whom","95"
"part","93"
"great","93"
"name","92"
"around","91"
"found","91"
"hair","90"
"few","90"
"came","90"
"most","90"
"white","90"
"hands","89"
"behind","88"
"veen","87"
"always","87"
"red","87"
"dear","86"
"girls","86"
"make","84"
"think","84"
"saw","84"
"side","83"
"less","83"
"whose","81"
"seen","81"
"thats","80"
"without","80"
"chapter","80"
"face","80"
"soon","80"
"got","80"
"green","79"
"space","79"
"la","79"
"looked","79"
"knew","78"
"blue","76"
"kept","76"
"why","75"
"turned","74"
"yet","74"
"pretty","74"
"bed","74"
"stood","74"
"may","73"
"put","72"
"boy","72"
"dark","72"
"father","71"
"take","71"
"tell","71"
"least","71"
"told","71"
"ever","71"
"ladore","71"
"second","70"
"english","70"
"let","69"
"since","69"
"seemed","69"
"table","69"
"russ","68"
"small","68"
"picture","68"
"letter","68"
"am","68"
"took","68"
"place","68"
"note","68"
"house","68"
"cant","67"
"kind","66"
"cordula","66"
"ones","66"
"book","66"
"door","65"
"perhaps","65"
"child","65"
"felt","65"
"shall","65"
"days","64"
"each","64"
"asked","64"
"summer","64"
"four","63"
"mean","63"
"lips","62"
"end","62"
"us","62"
"children","62"
"morning","61"
"et","61"
"people","60"
"dr","60"
"window","60"
"mr","60"
"cried","60"
"mother","60"
"voice","59"
"open","59"
"fact","59"
"present","59"
"going","59"
"certain","59"
"ill","59"
"lovely","58"
"get","58"
"sister","58"
"during","58"
"times","57"
"point","57"
"hall","57"
"thing","57"
"along","57"
"matter","56"
"le","56"
"though","56"
"dan","56"
"making","55"
"lady","55"
"near","55"
"things","55"
"ago","55"
"please","55"
"big","55"
"toward","54"
"best","54"
"looking","54"
"remained","54"
"pale","53"
"larivire","53"
"uncle","53"
"want","52"
"however","52"
"remember","52"
"real","52"
"word","52"
"garden","51"
"half","51"
"ten","51"
"dream","51"
"mlle","51"
"started","51"
"against","51"
"happened","51"
"almost","50"
"case","50"
"sense","50"
"terra","50"
"better","50"
"lucettes","49"
"special","49"
"whole","49"
"famous","49"
"already","49"
"couple","48"
"across","48"
"among","48"
"sweet","48"
"nice","48"
"tree","48"
"cousin","48"
"does","48"
"lost","47"
"gone","47"
"above","47"
"give","47"
"late","47"
"several","47"
"son","47"
"help","47"
"hotel","47"
"actually","47"
"far","47"
"especially","46"
"bright","46"
"heart","46"
"corner","46"
"number","45"
"walked","45"
"pink","45"
"minutes","45"
"neck","45"
"light","45"
"five","45"
"brown","45"
"world","44"
"turn","44"
"sure","44"
"play","44"
"death","44"
"true","44"
"family","44"
"everything","44"
"water","44"
"read","43"
"blanche","43"
"veens","43"
"sat","43"
"age","43"
"dead","43"
"remembered","43"
"sort","43"
"letters","42"
"touch","42"
"hardly","42"
"dreams","42"
"given","42"
"longer","42"
"mouth","41"
"manhattan","41"
"kissed","41"
"en","41"
"brought","41"
"taken","41"
"work","41"
"front","41"
"art","41"
"bare","41"
"call","41"
"chose","40"
"thus","40"
"beautiful","40"
"fire","40"
"governess","40"
"cold","40"
"friend","40"
"herself","40"
"novel","40"
"added","40"
"hot","40"
"arms","40"
"often","40"
"somehow","39"
"enough","39"
"somewhere","39"
"percy","39"
"country","39"
"stopped","39"
"strange","39"
"eye","39"
"park","39"
"odd","39"
"flowers","39"
"fat","39"
"passed","39"
"words","39"
"sun","38"
"short","38"
"act","38"
"rose","38"
"glass","38"
"beauty","38"
"lay","38"
"turning","38"
"use","38"
"wanted","38"
"home","37"
"school","37"
"gave","37"
"town","37"
"tender","37"
"dinner","37"
"car","37"
"order","37"
"soft","37"
"chair","36"
"year","36"
"greg","36"
"library","36"
"story","36"
"imagine","36"
"together","36"
"trying","36"
"neither","36"
"je","36"
"ne","36"
"returned","36"
"gray","36"
"early","36"
"villa","36"
"different","36"
"find","36"
"itself","36"
"bad","35"
"indeed","35"
"stop","35"
"instead","35"
"wore","35"
"speak","35"
"road","35"
"bit","35"
"followed","34"
"born","34"
"american","34"
"grand","34"
"began","34"
"local","34"
"anything","34"
"strong","34"
"secret","34"
"showed","34"
"these","34"
"castle","34"
"taking","34"
"known","34"
"aqua","34"
"finally","34"
"fellow","34"
"replied","33"
"third","33"
"hours","33"
"set","33"
"les","33"
"high","33"
"stage","33"
"physical","33"
"become","33"
"reading","33"
"meant","33"
"heard","33"
"simply","33"
"favorite","33"
"beyond","33"
"met","32"
"speaking","32"
"sudden","32"
"qui","32"
"sisters","32"
"today","32"
"future","32"
"darling","32"
"standing","32"
"doubt","32"
"liked","32"
"middle","32"
"except","32"
"until","32"
"doing","32"
"changed","32"
"naked","32"
"suddenly","32"
"arm","32"
"entire","31"
"perfect","31"
"stay","31"
"round","31"
"sitting","31"
"reached","31"
"live","31"
"moved","31"
"form","31"
"private","31"
"marinas","31"
"show","31"
"demons","31"
"rack","31"
"air","31"
"human","31"
"dress","31"
"exactly","31"
"sleep","31"
"presence","31"
"memory","31"
"getting","31"
"music","30"
"paper","30"
"scene","30"
"remarked","30"
"andrey","30"
"yellow","30"
"legs","30"
"husband","30"
"ask","30"
"affair","30"
"tea","30"
"ive","30"
"earlier","30"
"game","30"
"brief","30"
"fingers","30"
"alone","30"
"tears","30"
"smile","30"
"continued","30"
"practically","30"
"body","30"
"otherwise","30"
"nature","29"
"wrong","29"
"placed","29"
"tiny","29"
"box","29"
"wonder","29"
"century","29"
"wife","29"
"married","29"
"happy","29"
"skin","29"
"answered","29"
"nose","29"
"eight","29"
"un","29"
"ancient","29"
"chance","29"
"forget","29"
"full","28"
"evening","28"
"hundred","28"
"bath","28"
"passage","28"
"author","28"
"lets","28"
"wrote","28"
"bouteillan","28"
"line","28"
"pun","28"
"run","28"
"keep","28"
"died","28"
"spent","28"
"passing","28"
"example","28"
"series","28"
"raised","28"
"person","28"
"shot","28"
"either","28"
"feet","28"
"floor","28"
"holding","28"
"miss","28"
"fathers","28"
"state","28"
"lover","28"
"various","28"
"hat","27"
"nor","27"
"monsieur","27"
"afternoon","27"
"leaving","27"
"p","27"
"noticed","27"
"idea","27"
"twice","27"
"pocket","27"
"natural","27"
"means","27"
"daughter","27"
"message","27"
"history","27"
"shoulder","27"
"done","27"
"expected","27"
"played","27"
"burning","27"
"tried","27"
"mad","27"
"sky","27"
"saying","26"
"twelve","26"
"else","26"
"men","26"
"twenty","26"
"painted","26"
"cross","26"
"ivan","26"
"repeated","26"
"sad","26"
"reality","26"
"able","26"
"running","26"
"venus","26"
"quick","26"
"return","26"
"caused","25"
"sometimes","25"
"america","25"
"close","25"
"explained","25"
"nurse","25"
"murmured","25"
"grace","25"
"texture","25"
"blood","25"
"sign","25"
"large","25"
"care","25"
"reason","25"
"usual","25"
"page","25"
"mine","25"
"explain","25"
"decided","25"
"finished","25"
"six","25"
"shes","25"
"wearing","25"
"wait","25"
"pas","25"
"became","25"
"wild","25"
"shadow","24"
"former","24"
"phrase","24"
"hour","24"
"coming","24"
"presently","24"
"despite","24"
"week","24"
"spoke","24"
"image","24"
"kiss","24"
"hope","24"
"breakfast","24"
"opened","24"
"pure","24"
"flower","24"
"woman","24"
"recently","24"
"arrived","24"
"germ","24"
"spring","24"
"flesh","24"
"rooms","24"
"terms","24"
"certainly","24"
"within","24"
"tongue","24"
"common","24"
"term","24"
"knows","24"
"says","24"
"besides","24"
"england","24"
"kissing","24"
"entered","24"
"whatever","24"
"group","24"
"brother","24"
"fancy","24"
"notes","24"
"waiting","24"
"pass","23"
"fifteen","23"
"passion","23"
"details","23"
"discovered","23"
"learned","23"
"similar","23"
"visit","23"
"flat","23"
"du","23"
"anyway","23"
"pain","23"
"pair","23"
"fall","23"
"pleasure","23"
"considered","23"
"allowed","23"
"hes","23"
"knowing","23"
"months","23"
"ready","23"
"managed","23"
"shook","23"
"boys","23"
"top","23"
"alas","23"
"style","23"
"artist","23"
"observed","23"
"write","23"
"reach","23"
"need","23"
"everybody","23"
"main","23"
"lad","23"
"doctor","23"
"mon","23"
"loved","23"
"free","23"
"recall","23"
"birthday","23"
"dans","23"
"genius","23"
"blind","22"
"seven","22"
"carried","22"
"steps","22"
"proved","22"
"au","22"
"recent","22"
"moments","22"
"maybe","22"
"terrace","22"
"according","22"
"pet","22"
"color","22"
"leave","22"
"magic","22"
"bring","22"
"board","22"
"wings","22"
"warm","22"
"velvet","22"
"speech","22"
"silk","22"
"shadows","22"
"regard","22"
"shade","22"
"wondered","22"
"feel","22"
"walk","22"
"whether","22"
"bedroom","22"
"familiar","22"
"silly","22"
"violet","22"
"silent","21"
"feeling","21"
"following","21"
"situation","21"
"huge","21"
"brain","21"
"mrs","21"
"pool","21"
"showing","21"
"rare","21"
"sight","21"
"appeared","21"
"gesture","21"
"coat","21"
"rest","21"
"suit","21"
"german","21"
"recalled","21"
"hard","21"
"train","21"
"forest","21"
"london","21"
"trunk","21"
"captain","21"
"edge","21"
"die","21"
"mountain","21"
"helped","21"
"lake","21"
"fond","21"
"view","21"
"master","20"
"coffee","20"
"tomorrow","20"
"caught","20"
"forgotten","20"
"empty","20"
"telling","20"
"servants","20"
"distant","20"
"sound","20"
"beginning","20"
"que","20"
"final","20"
"prey","20"
"despair","20"
"maids","20"
"sent","20"
"rain","20"
"written","20"
"type","20"
"fell","20"
"vulgar","20"
"works","20"
"desire","20"
"lovers","20"
"handsome","20"
"lines","20"
"promised","20"
"ear","20"
"consciousness","20"
"deep","20"
"italian","20"
"oak","20"
"copy","20"
"male","20"
"kim","20"
"business","20"
"dreadful","20"
"terrible","20"
"poem","20"
"answer","20"
"particular","20"
"position","20"
"wished","20"
"closed","20"
"dozen","19"
"exact","19"
"imagined","19"
"considerably","19"
"books","19"
"asking","19"
"yours","19"
"jacket","19"
"nobody","19"
"throat","19"
"okay","19"
"straight","19"
"hurt","19"
"palm","19"
"ah","19"
"delightful","19"
"kingston","19"
"baron","19"
"balcony","19"
"question","19"
"mothers","19"
"des","19"
"dorothy","19"
"lawn","19"
"drive","19"
"mans","19"
"infinite","19"
"aware","19"
"delicious","19"
"thick","19"
"welcome","19"
"forever","19"
"held","19"
"friends","19"
"unfortunate","19"
"teeth","19"
"tall","19"
"hospital","19"
"badly","19"
"games","19"
"nest","19"
"cheek","19"
"wall","19"
"pity","19"
"torture","19"
"pour","19"
"youll","19"
"simultaneously","19"
"probably","19"
"piece","19"
"hoped","19"
"others","19"
"fit","18"
"duel","18"
"company","18"
"lane","18"
"makes","18"
"stuff","18"
"allusion","18"
"swimming","18"
"nursery","18"
"tone","18"
"shoulders","18"
"party","18"
"sorry","18"
"tout","18"
"express","18"
"cut","18"
"cup","18"
"watched","18"
"female","18"
"attention","18"
"professor","18"
"winter","18"
"immediate","18"
"count","18"
"trees","18"
"till","18"
"pointed","18"
"broken","18"
"kalugano","18"
"carefully","18"
"names","18"
"instant","18"
"hear","18"
"picnic","18"
"lower","18"
"amusing","18"
"writer","18"
"cousins","18"
"gentle","18"
"rhythm","18"
"lot","18"
"older","18"
"slowly","18"
"immediately","18"
"important","18"
"supposed","18"
"simple","18"
"replaced","18"
"although","18"
"glanced","18"
"childhood","18"
"stand","18"
"sir","18"
"july","18"
"piano","18"
"butterfly","18"
"river","18"
"lap","18"
"brook","18"
"poet","18"
"normal","18"
"bottle","18"
"easily","18"
"fatal","18"
"beau","18"
"plain","18"
"catch","18"
"removed","18"
"younger","18"
"stick","18"
"interrupted","18"
"sick","18"
"june","18"
"golden","17"
"rich","17"
"cordulas","17"
"working","17"
"realized","17"
"false","17"
"wet","17"
"places","17"
"start","17"
"silence","17"
"gallery","17"
"parts","17"
"seat","17"
"absolutely","17"
"delicate","17"
"hill","17"
"king","17"
"unknown","17"
"original","17"
"twins","17"
"ce","17"
"ex","17"
"somebody","17"
"ma","17"
"recognized","17"
"dawn","17"
"remote","17"
"understand","17"
"matters","17"
"begun","17"
"theres","17"
"looks","17"
"tartary","17"
"orchids","17"
"upstairs","17"
"cry","17"
"mysterious","17"
"experienced","17"
"damp","17"
"vous","17"
"talk","17"
"romantic","17"
"public","17"
"playing","17"
"believe","17"
"ladies","17"
"object","17"
"youre","17"
"professional","17"
"title","17"
"clear","17"
"belonged","17"
"somewhat","17"
"understood","17"
"fly","17"
"soul","17"
"krolik","17"
"fine","17"
"writing","17"
"double","17"
"rid","17"
"hanging","16"
"minute","16"
"fashionable","16"
"west","16"
"length","16"
"pillow","16"
"grew","16"
"kaluga","16"
"suggested","16"
"sake","16"
"miles","16"
"profile","16"
"finger","16"
"mentioned","16"
"detail","16"
"handkerchief","16"
"prepared","16"
"fourth","16"
"relief","16"
"version","16"
"shirt","16"
"meaning","16"
"difficult","16"
"wing","16"
"spot","16"
"robe","16"
"expression","16"
"breath","16"
"condition","16"
"slipped","16"
"obscure","16"
"sea","16"
"ordinary","16"
"greek","16"
"affected","16"
"change","16"
"ed","16"
"fool","16"
"described","16"
"precious","16"
"surprise","16"
"id","16"
"pine","16"
"sunday","16"
"none","16"
"enjoy","16"
"leading","16"
"greatest","16"
"events","16"
"wretched","16"
"innocent","16"
"inside","16"
"screen","16"
"guest","16"
"vinelander","16"
"using","16"
"truth","16"
"shorts","16"
"price","16"
"wonderful","16"
"collected","16"
"dull","16"
"picked","16"
"skirt","16"
"shaking","16"
"completely","16"
"whats","16"
"cetera","16"
"shop","16"
"mirror","16"
"patient","16"
"myself","16"
"knee","16"
"slow","16"
"led","16"
"anybody","16"
"pause","16"
"comic","16"
"ardor","16"
"dying","16"
"dance","16"
"trouble","16"
"terribly","16"
"shed","16"
"suppose","16"
"study","16"
"maid","16"
"stupid","16"
"mental","16"
"radiant","16"
"motion","16"
"club","16"
"locked","15"
"altogether","15"
"opposite","15"
"dirty","15"
"clock","15"
"lots","15"
"aunt","15"
"foot","15"
"horse","15"
"tells","15"
"suspect","15"
"august","15"
"passionate","15"
"occasion","15"
"settled","15"
"splendid","15"
"direction","15"
"joy","15"
"closely","15"
"cest","15"
"romance","15"
"glasses","15"
"gentleman","15"
"spread","15"
"purple","15"
"staircase","15"
"wont","15"
"impossible","15"
"moreover","15"
"fate","15"
"bank","15"
"marble","15"
"petite","15"
"throughout","15"
"forward","15"
"bench","15"
"adore","15"
"stroke","15"
"existence","15"
"fast","15"
"separation","15"
"worked","15"
"brilliant","15"
"joined","15"
"oldfashioned","15"
"latter","15"
"cap","15"
"album","15"
"british","15"
"hell","15"
"invisible","15"
"stories","15"
"fascinating","15"
"dreamy","15"
"general","15"
"fictionliterature","15"
"parted","15"
"watch","15"
"erminin","15"
"literature","15"
"sit","15"
"lord","15"
"hole","15"
"divan","15"
"easy","15"
"pages","15"
"artistic","15"
"lolita","15"
"break","15"
"received","15"
"crystal","15"
"upper","15"
"force","15"
"france","15"
"dad","15"
"ran","15"
"apple","15"
"woods","14"
"circumstances","14"
"exclaimed","14"
"process","14"
"manor","14"
"ring","14"
"hammock","14"
"popular","14"
"charming","14"
"interesting","14"
"lunch","14"
"fourteen","14"
"leaves","14"
"period","14"
"bout","14"
"traveled","14"
"breasts","14"
"wrist","14"
"promise","14"
"wine","14"
"clothes","14"
"fair","14"
"marvelous","14"
"date","14"
"brow","14"
"chest","14"
"bent","14"
"glance","14"
"retired","14"
"ground","14"
"comes","14"
"switzerland","14"
"adored","14"
"drew","14"
"ship","14"
"heres","14"
"vladimir","14"
"fun","14"
"per","14"
"pride","14"
"god","14"
"fashion","14"
"paradise","14"
"gradually","14"
"limbs","14"
"owing","14"
"subject","14"
"graceful","14"
"eve","14"
"try","14"
"drawing","14"
"ghost","14"
"nasty","14"
"miserable","14"
"possible","14"
"contact","14"
"low","14"
"perfectly","14"
"seem","14"
"forbidden","14"
"gaze","14"
"match","14"
"virgin","14"
"faint","14"
"nights","14"
"tenderness","14"
"dropped","14"
"rattner","14"
"slightly","14"
"uttered","14"
"thumb","14"
"concerned","14"
"mere","14"
"preferred","14"
"save","14"
"marked","14"
"flying","14"
"career","14"
"senses","14"
"bag","14"
"particularly","14"
"shock","14"
"nabokov","14"
"adjacent","14"
"bathroom","14"
"happiness","14"
"leaf","14"
"bottom","13"
"address","13"
"learn","13"
"objects","13"
"elbow","13"
"visited","13"
"drop","13"
"heavy","13"
"station","13"
"pictures","13"
"add","13"
"merely","13"
"consisted","13"
"preserved","13"
"corridor","13"
"literary","13"
"didnt","13"
"johnny","13"
"quiet","13"
"cast","13"
"tower","13"
"taste","13"
"roses","13"
"avenue","13"
"silver","13"
"lift","13"
"twin","13"
"dressing","13"
"action","13"
"keeping","13"
"accept","13"
"hollow","13"
"incidentally","13"
"leg","13"
"bald","13"
"anonymous","13"
"dire","13"
"melancholy","13"
"instance","13"
"agony","13"
"language","13"
"bloom","13"
"slight","13"
"talking","13"
"advantage","13"
"thirty","13"
"idiot","13"
"worst","13"
"orange","13"
"planned","13"
"caress","13"
"invented","13"
"irish","13"
"pedro","13"
"enjoyed","13"
"fifty","13"
"asleep","13"
"shooting","13"
"eric","13"
"reader","13"
"modern","13"
"belle","13"
"delight","13"
"tale","13"
"dick","13"
"youve","13"
"film","13"
"fist","13"
"husbands","13"
"diminutive","13"
"hopeless","13"
"quickly","13"
"mosquito","13"
"existed","13"
"cool","13"
"healthy","13"
"actress","13"
"v","13"
"grotesque","13"
"acquired","13"
"hers","13"
"smell","13"
"falling","13"
"stone","13"
"frock","13"
"marry","13"
"zemski","13"
"dack","13"
"effect","13"
"deck","13"
"bay","13"
"suicide","13"
"dim","13"
"california","13"
"slept","13"
"youth","13"
"collection","13"
"tremendous","13"
"destroyed","13"
"trip","13"
"tie","13"
"season","13"
"rubber","13"
"barn","13"
"moving","13"
"porch","13"
"bliss","12"
"angel","12"
"newspaper","12"
"cream","12"
"inquired","12"
"delicately","12"
"eleven","12"
"pencil","12"
"baby","12"
"bore","12"
"shared","12"
"muttered","12"
"month","12"
"ordered","12"
"meet","12"
"examined","12"
"petit","12"
"remain","12"
"mme","12"
"shape","12"
"utterly","12"
"stuck","12"
"goes","12"
"apartment","12"
"lying","12"
"listen","12"
"attic","12"
"walking","12"
"thousand","12"
"occurred","12"
"animal","12"
"allow","12"
"smooth","12"
"variety","12"
"forty","12"
"families","12"
"flash","12"
"birds","12"
"embrace","12"
"central","12"
"pointing","12"
"colored","12"
"nine","12"
"reflected","12"
