"Word","Count"
"the","4402"
"of","2408"
"a","2189"
"and","1961"
"to","1514"
"in","1204"
"he","888"
"his","876"
"was","722"
"i","676"
"with","657"
"that","622"
"you","565"
"had","560"
"it","544"
"is","542"
"not","512"
"on","476"
"krug","474"
"as","434"
"at","402"
"said","393"
"by","358"
"for","336"
"this","324"
"but","315"
"be","294"
"her","289"
"an","288"
"or","287"
"one","283"
"have","253"
"him","245"
"which","244"
"they","241"
"we","229"
"all","226"
"are","221"
"from","206"
"been","197"
"my","195"
"were","191"
"she","191"
"who","187"
"there","185"
"your","177"
"would","177"
"into","174"
"up","173"
"what","166"
"some","162"
"will","162"
"out","157"
"its","156"
"so","150"
"little","147"
"me","145"
"then","140"
"do","140"
"other","138"
"no","136"
"when","128"
"now","124"
"two","124"
"if","123"
"can","120"
"man","116"
"like","115"
"their","115"
"has","114"
"back","113"
"could","109"
"them","106"
"down","104"
"our","101"
"time","100"
"old","91"
"again","89"
"did","86"
"am","85"
"very","81"
"while","81"
"hand","80"
"only","80"
"through","80"
"way","79"
"shall","78"
"more","78"
"about","78"
"go","77"
"too","77"
"child","76"
"room","76"
"those","76"
"come","76"
"where","75"
"after","75"
"still","75"
"something","74"
"david","72"
"let","71"
"ember","71"
"paduk","70"
"thought","70"
"any","69"
"know","69"
"quite","68"
"before","67"
"than","66"
"because","66"
"see","64"
"another","64"
"first","63"
"eyes","63"
"must","63"
"made","63"
"us","61"
"might","61"
"last","60"
"dr","60"
"left","60"
"black","60"
"krugs","59"
"here","58"
"course","58"
"never","58"
"head","58"
"young","57"
"face","57"
"away","57"
"just","57"
"well","57"
"under","57"
"kind","57"
"over","56"
"own","56"
"want","55"
"upon","55"
"right","54"
"these","54"
"looked","54"
"professor","53"
"asked","53"
"yes","53"
"good","53"
"door","52"
"once","52"
"hands","51"
"even","51"
"get","51"
"think","50"
"long","50"
"same","49"
"chapter","49"
"white","49"
"really","48"
"most","48"
"turned","47"
"put","47"
"himself","47"
"went","47"
"make","47"
"such","46"
"night","46"
"thing","46"
"state","45"
"three","45"
"came","44"
"life","44"
"people","44"
"say","44"
"may","44"
"every","44"
"book","44"
"country","43"
"things","43"
"sat","43"
"how","42"
"much","42"
"car","42"
"alexander","42"
"take","41"
"dark","41"
"between","41"
"side","41"
"moment","41"
"oh","41"
"perhaps","41"
"voice","40"
"looking","40"
"matter","40"
"going","39"
"mariette","39"
"being","39"
"place","39"
"small","38"
"look","38"
"boy","38"
"please","38"
"day","38"
"paper","37"
"found","37"
"also","37"
"mind","37"
"stood","37"
"nothing","37"
"off","36"
"new","36"
"without","36"
"certain","35"
"great","35"
"soldiers","35"
"saw","34"
"whole","34"
"towards","34"
"mac","34"
"behind","34"
