"Word","Count"
"the","5314"
"a","3641"
"and","3626"
"of","3310"
"i","2984"
"to","2501"
"in","2178"
"her","1598"
"was","1497"
"my","1450"
"with","1238"
"had","1204"
"that","1200"
"she","1062"
"me","812"
"on","792"
"it","741"
"as","740"
"at","707"
"not","688"
"for","675"
"you","554"
"but","523"
"he","462"
"by","460"
"or","459"
"would","458"
"his","446"
"all","423"
"is","418"
"have","402"
"be","382"
"from","382"
"we","378"
"an","359"
"one","350"
"said","339"
"there","313"
"were","312"
"this","304"
"up","294"
"so","290"
"little","289"
"some","284"
"which","275"
"out","270"
"when","260"
"if","257"
"into","253"
"been","241"
"what","241"
"no","228"
"lo","224"
"then","223"
"could","216"
"lolita","213"
"who","212"
"very","211"
"now","205"
"did","201"
"are","201"
"its","198"
"two","185"
"our","180"
"where","168"
"still","167"
"old","163"
"more","159"
"time","157"
"than","153"
"those","153"
"back","153"
"after","151"
"through","151"
"like","151"
"only","148"
"do","147"
"while","146"
"other","143"
"him","141"
"know","138"
"they","137"
"haze","137"
"might","137"
"down","135"
"over","135"
"way","130"
"before","130"
"am","127"
"them","127"
"about","127"
"your","125"
"under","125"
"such","123"
"child","117"
"just","117"
"humbert","117"
"us","115"
"never","115"
"room","115"
"car","114"
"first","112"
"their","112"
"good","110"
"again","109"
"how","107"
"eyes","107"
"oh","106"
"myself","105"
"will","105"
"well","103"
"day","103"
"even","101"
"girl","101"
"because","101"
"made","101"
"hand","100"
"quite","99"
"see","97"
"upon","97"
"away","96"
"go","96"
"young","95"
"let","95"
"new","94"
"too","94"
"may","91"
"last","90"
"something","90"
"another","87"
"come","87"
"much","86"
"any","84"
"years","84"
"say","84"
"school","84"
"house","83"
"can","82"
"went","82"
"should","81"
"between","81"
"left","81"
"thought","81"
"around","80"
"dolly","80"
"white","80"
"nothing","80"
"own","78"
"man","77"
"few","77"
"black","76"
"every","76"
"once","76"
"course","75"
"here","74"
"really","74"
"charlotte","73"
"came","73"
"book","73"
"has","71"
"make","71"
"get","71"
"night","70"
"hair","69"
"long","68"
"kind","68"
"knew","67"
"three","67"
"behind","67"
"mother","67"
"great","65"
"look","65"
"most","65"
"love","64"
"face","64"
"these","64"
"put","64"
"small","63"
"next","63"
"mrs","63"
"dolores","63"
"side","63"
"same","63"
"moment","63"
"right","62"
"mind","62"
"think","62"
"heart","62"
"life","61"
"door","61"
"head","61"
"found","60"
"must","60"
"being","59"
"bed","59"
"take","58"
"ever","58"
"matter","58"
"blue","58"
"perhaps","58"
"miss","57"
"among","57"
"got","57"
"things","56"
"daughter","56"
"reader","56"
"took","56"
"nymphet","56"
"also","55"
"seemed","55"
"poor","55"
"used","55"
"thing","55"
"street","55"
"looked","55"
"turned","54"
"sat","54"
"many","54"
"beardsley","54"
"mine","54"
"off","53"
"almost","53"
"woman","53"
"red","52"
"girls","52"
"morning","52"
"part","52"
"days","52"
"saw","51"
"dark","51"
"better","51"
"felt","51"
"certain","51"
"rather","51"
"later","50"
"soon","50"
"hands","50"
"town","50"
"always","49"
"brown","49"
"remember","49"
"big","49"
"mr","49"
"name","49"
"want","48"
"people","48"
"having","47"
"voice","47"
"gray","47"
"tell","47"
"father","47"
"least","47"
"wanted","47"
"asked","46"
"going","46"
"gone","46"
"lips","46"
"stood","46"
"home","45"
"why","45"
"far","45"
"whole","45"
"both","44"
"children","44"
"light","44"
"hot","43"
"pale","43"
"near","43"
"find","43"
"however","43"
"place","43"
"without","43"
"whom","43"
"chair","42"
"kept","42"
"window","42"
"give","42"
"seen","42"
"point","42"
"already","42"
"hotel","42"
"open","41"
"fact","41"
"since","41"
"american","41"
"herself","41"
"called","41"
"lolitas","40"
"age","40"
"told","40"
"against","40"
"lovely","40"
"summer","39"
"front","39"
"road","39"
"everything","39"
"sun","39"
"camp","38"
"los","38"
"mean","38"
"dont","38"
"lake","38"
"end","38"
"despite","38"
"beautiful","37"
"dead","37"
"looking","37"
"world","36"
"smile","36"
"books","36"
"green","36"
"read","36"
"stopped","36"
"toward","36"
"trees","36"
"french","36"
"across","36"
"mouth","35"
"number","35"
"started","35"
"call","35"
"words","35"
"ramsdale","34"
"past","34"
"play","34"
"less","34"
"work","34"
"lay","34"
"dr","34"
"happened","34"
"four","33"
"chance","33"
"tried","33"
"during","33"
"arms","33"
"yes","33"
"miles","33"
"use","33"
"fellow","33"
"gave","33"
"water","33"
"shall","32"
"leave","32"
"sense","32"
"anything","32"
"walked","32"
"order","32"
"special","32"
"god","32"
"sure","32"
"various","32"
"along","31"
"noticed","31"
"dear","31"
"boys","31"
"reached","31"
"taken","31"
"state","31"
"feet","31"
"arm","31"
"whose","30"
"legs","30"
"friend","30"
"best","30"
"darling","30"
"person","30"
"above","30"
"dream","30"
"whatever","30"
"somehow","30"
"pink","30"
"coming","30"
"sleep","30"
"wife","30"
"rest","29"
"full","29"
"perfect","29"
"john","29"
"enchanted","29"
"lady","29"
"times","29"
"began","29"
"friends","29"
"corner","29"
"court","29"
"bare","29"
"table","29"
"second","28"
"real","28"
"somewhere","28"
"cold","28"
"tennis","28"
"trying","28"
"foot","28"
"pretty","28"
"enough","28"
"eye","28"
"late","28"
"presently","28"
"telephone","28"
"alone","27"
"lawn","27"
"bright","27"
"act","27"
"hope","27"
"kitchen","27"
"live","27"
"drove","27"
"strange","27"
"dog","27"
"nymphets","27"
"done","27"
"each","27"
"turn","27"
"fat","27"
"half","26"
"ready","26"
"decided","26"
"finally","26"
"sound","26"
"please","26"
"bit","26"
"became","26"
"rolled","25"
"five","25"
"year","25"
"touch","25"
"talk","25"
"immediately","25"
"warm","25"
"making","25"
"group","25"
"although","25"
"feel","25"
"hers","24"
"glass","24"
"letter","24"
"paper","24"
"doubt","24"
"glasses","24"
"does","24"
"heard","24"
"cars","24"
"business","24"
"family","24"
"beyond","24"
"within","24"
"boy","24"
"show","24"
"simple","24"
"soft","24"
"though","24"
"quiet","24"
"hardly","24"
"ten","24"
"ones","24"
"minute","23"
"set","23"
"ball","23"
"de","23"
"months","23"
"actually","23"
"lost","23"
"afternoon","23"
"neck","23"
"living","23"
"general","23"
"private","23"
"taking","23"
"keep","23"
"hundred","23"
"several","23"
"college","23"
"rose","23"
"country","22"
"innocent","22"
"happy","22"
"situation","22"
"large","22"
"male","22"
"smiling","22"
"highway","22"
"movie","22"
"couple","22"
"magic","22"
"high","22"
"word","22"
"help","22"
"reason","22"
"stop","22"
"im","22"
"yet","22"
"often","22"
"absolutely","22"
"sort","22"
"jean","22"
"given","22"
"double","22"
"leaving","22"
"beauty","21"
"nature","21"
"following","21"
"wrong","21"
"slow","21"
"charlottes","21"
"handsome","21"
"imagine","21"
"together","21"
"held","21"
"game","21"
"become","21"
"exactly","21"
"slowly","21"
"type","21"
"shoulder","21"
"teeth","21"
"visit","21"
"hard","21"
"others","21"
"bathroom","21"
"present","21"
"suddenly","21"
"passed","21"
"women","21"
"instead","21"
"local","21"
"painted","21"
"english","21"
"showed","20"
"floor","20"
"feeling","20"
"garden","20"
"gently","20"
"means","20"
"aware","20"
"death","20"
"himself","20"
"quilty","20"
"completely","20"
"neither","20"
"clothes","20"
"suggested","20"
"managed","20"
"sunday","20"
"sudden","20"
"quietly","20"
"deep","20"
"sitting","20"
"mountain","20"
"understand","20"
"body","20"
"minutes","20"
"shook","20"
"twice","20"
"today","20"
"case","20"
"added","20"
"nice","20"
"wrist","20"
"fingers","19"
"pocket","19"
"pulled","19"
"opposite","19"
"followed","19"
"knees","19"
"rita","19"
"readers","19"
"ago","19"
"doing","19"
"manner","19"
"rain","19"
"nor","19"
"mona","19"
"dick","19"
"learned","19"
"dull","19"
"met","19"
"seem","19"
"chest","19"
"answered","19"
"wonder","19"
"reading","19"
"middle","19"
"fun","19"
"mirror","19"
"picture","19"
"week","19"
"holding","19"
"awful","19"
"known","19"
"york","19"
"valeria","19"
"music","18"
"saying","18"
"rich","18"
"shadow","18"
"inside","18"
"natural","18"
"complete","18"
"hours","18"
"low","18"
"shorts","18"
"wet","18"
"wore","18"
"lap","18"
"change","18"
"tomorrow","18"
"lived","18"
"else","18"
"stay","18"
"skin","18"
"speaking","18"
"mary","18"
"mothers","18"
"believe","18"
"loved","18"
"attempted","18"
"removed","18"
"advantage","18"
"memory","18"
"ladies","18"
"fate","18"
"question","18"
"tenderness","18"
"getting","18"
"hunters","18"
"men","17"
"played","17"
"steps","17"
"easy","17"
"slightly","17"
"note","17"
"knee","17"
"drive","17"
"tears","17"
"nurse","17"
"sometimes","17"
"thats","17"
"occurred","17"
"passion","17"
"suppose","17"
"air","17"
"dying","17"
"remained","17"
"somebody","17"
"fell","17"
"moved","17"
"strong","17"
"nose","17"
"turning","17"
"modern","17"
"appeared","17"
"magazine","17"
"round","17"
"merely","17"
"pain","17"
"europe","17"
"blood","17"
"idea","17"
"park","17"
"secret","17"
"talking","17"
"bill","17"
"otherwise","17"
"plain","17"
"watch","17"
"except","17"
"lets","17"
"short","17"
"shade","17"
"fancy","17"
"story","17"
"sweet","17"
"walk","17"
"thus","17"
"golden","16"
"desire","16"
"despair","16"
"states","16"
"england","16"
"move","16"
"kiss","16"
"office","16"
"indeed","16"
"opened","16"
"care","16"
"trapp","16"
"humberts","16"
"probably","16"
"close","16"
"anyway","16"
"limbs","16"
"kissed","16"
"surprise","16"
"entered","16"
"human","16"
"run","16"
"carmen","16"
"recall","16"
"doctor","16"
"tender","16"
"either","16"
"themselves","16"
"bear","16"
"usual","16"
"hear","16"
"naked","16"
"parlor","16"
"whether","16"
"brought","15"
"hold","15"
"louise","15"
"touched","15"
"allowed","15"
"returned","15"
"company","15"
"rosy","15"
"sight","15"
"try","15"
"baby","15"
"thin","15"
"scene","15"
"bring","15"
"lust","15"
"letters","15"
"annabel","15"
"thick","15"
"eight","15"
"true","15"
"certainly","15"
"trouble","15"
"sidewalk","15"
"hall","15"
"silent","15"
"notice","15"
"liked","15"
"showing","15"
"skirt","15"
"sorry","15"
"features","15"
"wearing","15"
"tiny","15"
"wait","15"
"everybody","15"
"main","15"
"running","15"
"fall","15"
"narrow","15"
"playing","15"
"youth","15"
"fine","15"
"cut","15"
"nobody","15"
"racket","15"
"free","15"
"dollys","15"
"key","15"
"alas","15"
"outside","15"
"author","15"
"toilet","15"
"brief","15"
"flat","15"
"wondered","15"
"guess","15"
"cheek","15"
"mountains","15"
"waiting","15"
"knowing","15"
"cried","15"
"fair","14"
"briceland","14"
"expression","14"
"breath","14"
"former","14"
"stone","14"
"image","14"
"ah","14"
"writer","14"
"spring","14"
"realized","14"
"oldfashioned","14"
"ghost","14"
"caught","14"
"flowers","14"
"fifty","14"
"monsieur","14"
"fool","14"
"start","14"
"drink","14"
"silence","14"
"cheerful","14"
"wrote","14"
"instance","14"
"party","14"
"adult","14"
"taught","14"
"kid","14"
"yours","14"
"journey","14"
"soul","14"
"crazy","14"
"till","14"
"california","14"
"particular","14"
"hour","14"
"pleasure","14"
"fist","14"
"purpose","14"
"forward","14"
"hoped","14"
"prepared","14"
"forest","14"
"ancient","14"
"female","14"
"changed","14"
"longer","14"
"impression","14"
"brother","14"
"huge","14"
"twenty","14"
"reach","14"
"art","14"
"porch","14"
"married","14"
"view","14"
"closed","14"
"wild","14"
"cross","14"
"example","13"
"series","13"
"bliss","13"
"east","13"
"juvenile","13"
"proved","13"
"childs","13"
"discovered","13"
"working","13"
"vision","13"
"station","13"
"stairs","13"
"frock","13"
"sex","13"
"drunk","13"
"church","13"
"rules","13"
"bad","13"
"gentle","13"
"bedroom","13"
"roadside","13"
"terms","13"
"gaston","13"
"whenever","13"
"gentlemen","13"
"struck","13"
"elphinstone","13"
"colored","13"
"ask","13"
"clear","13"
"shaking","13"
"q","13"
"able","13"
"novel","13"
"distant","13"
"curiosity","13"
"third","13"
"somewhat","13"
"bar","13"
"interest","13"
"study","13"
"sounds","13"
"especially","13"
"tour","13"
"parkington","13"
"beginning","13"
"carefully","13"
"simply","13"
"spent","13"
"matters","13"
"giving","13"
"spell","13"
"sexual","13"
"cabin","13"
"wace","13"
"buy","13"
"paris","13"
"bicycle","13"
"leaves","13"
"dinner","13"
"uncle","13"
"childish","13"
"return","13"
"check","13"
"hit","13"
"edge","13"
"wall","13"
"accident","12"
"planned","12"
"possible","12"
"losing","12"
"magazines","12"
"rolling","12"
"falling","12"
"walking","12"
"imagined","12"
"thousand","12"
"favorite","12"
"dirty","12"
"sand","12"
"leg","12"
"produced","12"
"clearly","12"
"h","12"
"la","12"
"desk","12"
"sister","12"
"swimming","12"
