"Word","Count"
"the","2996"
"of","2094"
"a","1887"
"and","1531"
"i","1477"
"to","1437"
"in","1375"
"my","886"
"that","691"
"was","633"
"with","570"
"had","532"
"her","508"
"she","457"
"me","446"
"on","446"
"as","423"
"not","383"
"by","366"
"at","362"
"it","360"
"for","338"
"but","306"
"or","295"
"an","291"
"he","287"
"you","262"
"his","250"
"from","219"
"which","219"
"is","209"
"one","208"
"be","191"
"all","186"
"would","172"
"have","170"
"its","167"
"when","152"
"we","149"
"were","141"
"could","136"
"some","134"
"said","132"
"who","129"
"this","128"
"now","128"
"what","126"
"been","124"
"only","122"
"so","116"
"our","111"
"out","111"
"old","110"
"up","110"
"did","105"
"little","105"
"after","102"
"two","99"
"your","98"
"no","98"
"like","97"
"if","96"
"first","96"
"into","95"
"there","95"
"before","91"
"iris","88"
"russian","88"
"time","87"
"back","83"
"other","80"
"do","79"
"more","78"
"about","78"
"very","76"
"never","74"
"those","73"
"him","69"
"last","68"
"years","65"
"they","65"
"then","65"
"might","64"
"than","63"
"new","63"
"still","60"
"over","60"
"also","59"
"how","58"
"another","58"
"room","58"
"too","58"
"english","58"
"know","58"
"see","57"
"left","57"
"are","57"
"louise","55"
"even","55"
"three","55"
"their","55"
"such","54"
"can","54"
"between","54"
"well","54"
"down","54"
"ivor","53"
"under","51"
"where","50"
"being","50"
"day","50"
"mind","49"
"through","49"
"us","48"
"long","48"
"am","47"
"them","47"
"rather","47"
"right","46"
"young","46"
"much","45"
"next","45"
"whom","45"
"because","45"
"just","44"
"way","44"
"any","44"
"say","43"
"bel","43"
"knew","43"
"life","42"
"quite","42"
"off","42"
"away","42"
"while","42"
"yet","42"
"annette","41"
"girl","41"
"black","41"
"house","41"
"part","41"
"most","41"
"every","41"
"hand","40"
"same","40"
"end","40"
"took","40"
"must","39"
"name","39"
"few","39"
"made","39"
"came","38"
"good","38"
"myself","38"
"around","37"
"eyes","37"
"thought","37"
"later","36"
"without","36"
"should","36"
"kept","36"
"again","36"
"side","35"
"make","35"
"something","35"
"course","34"
"used","34"
"however","34"
"own","34"
"book","34"
"here","33"
"certain","33"
"let","33"
"has","33"
"mrs","33"
"man","33"
"come","33"
"kind","33"
"really","32"
"books","32"
"think","32"
"four","31"
"ago","31"
"great","31"
"face","31"
"look","31"
"bed","31"
"felt","31"
"far","31"
"saw","30"
"told","30"
"vadim","30"
"paris","30"
"will","30"
"many","29"
"upon","29"
"both","29"
"novel","29"
"head","29"
"wife","29"
"moment","28"
"during","28"
"least","28"
"though","28"
"once","28"
"perhaps","28"
"found","27"
"word","27"
"help","27"
"put","27"
"white","27"
"always","26"
"set","26"
"seemed","26"
"fact","26"
"nothing","26"
"table","26"
"people","25"
"summer","25"
"small","25"
"whole","25"
"person","25"
"having","25"
"night","25"
"remained","25"
"read","25"
"lady","25"
"poor","25"
"mine","25"
"yes","25"
"why","25"
"several","25"
"oh","25"
"ofthe","24"
"door","24"
"thats","24"
"go","24"
"started","24"
"get","24"
"already","24"
"looked","24"
"place","24"
"child","23"
"garden","23"
"since","23"
"whose","23"
"inthe","23"
"got","23"
"gave","23"
"love","22"
"world","22"
"less","22"
"does","22"
"work","22"
"space","22"
"dream","22"
"seen","22"
"want","21"
"quirn","21"
"sense","21"
"remember","21"
"american","21"
"may","21"
"better","21"
"dear","21"
"french","21"
"dont","21"
"called","21"
"friend","20"
"letter","20"
"best","20"
"asked","20"
"things","20"
"along","20"
"daughter","20"
"looking","20"
"soon","20"
"noticed","20"
"against","20"
"lovely","20"
"im","20"
"point","20"
"hair","20"
"each","20"
"author","20"
"light","20"
"ones","20"
"image","19"
"number","19"
"doubt","19"
"office","19"
"car","19"
"year","19"
"ever","19"
"call","19"
"went","19"
"father","19"
"thing","19"
"enough","19"
"behind","19"
"stood","19"
"literary","19"
"red","19"
"almost","19"
"nice","19"
"turned","18"
"case","18"
"followed","18"
"paper","18"
"line","18"
"window","18"
"toward","18"
"wrote","18"
"across","18"
"among","18"
"sudden","18"
"dolly","18"
"find","18"
"blue","18"
"london","18"
"second","17"
"sea","17"
"five","17"
"voice","17"
"taken","17"
"heard","17"
"real","17"
"trying","17"
"meet","17"
"hands","17"
"lost","17"
"home","17"
"arms","17"
"tell","17"
"matter","17"
"round","17"
"especially","17"
"loved","17"
"fellow","17"
"days","17"
"woman","17"
"king","17"
"words","17"
"shall","16"
"happy","16"
"open","16"
"former","16"
"dark","16"
"spring","16"
"migr","16"
"above","16"
"months","16"
"brown","16"
"actually","16"
"times","16"
"met","16"
"take","16"
"afternoon","16"
"reading","16"
"ill","16"
"soviet","16"
"writing","16"
"everything","16"
"sun","16"
"short","16"
"instead","16"
"getting","16"
"act","15"
"large","15"
"bels","15"
"speak","15"
"husband","15"
"start","15"
"reason","15"
"front","15"
"poem","15"
"began","15"
"friends","15"
"somehow","15"
"died","15"
"children","15"
"late","15"
"reached","15"
"term","15"
"ten","15"
"waiting","15"
"glass","14"
"professor","14"
"sat","14"
"bright","14"
"hours","14"
"beautiful","14"
"pale","14"
"de","14"
"reality","14"
"ardis","14"
"caught","14"
"early","14"
"family","14"
"pink","14"
"page","14"
"mean","14"
"decided","14"
"form","14"
"visit","14"
"show","14"
"middle","14"
"general","14"
"lines","14"
"novels","14"
"minutes","14"
"mr","14"
"happened","14"
"direction","14"
"story","14"
"hotel","14"
"sort","14"
"york","14"
"thus","14"
"brought","13"
"pocket","13"
"leave","13"
"imagine","13"
"couple","13"
"scene","13"
"wore","13"
"green","13"
"somewhere","13"
"heart","13"
"write","13"
"brain","13"
"care","13"
"return","13"
"touch","13"
"death","13"
"moved","13"
"month","13"
"beyond","13"
"miss","13"
"strange","13"
"third","13"
"turning","13"
"stop","13"
"cant","13"
"aware","13"
"till","13"
"morning","13"
"public","13"
"coming","13"
"simply","13"
"spent","13"
"school","13"
"telephone","13"
"art","13"
"tothe","13"
"notes","13"
"beauty","12"
"country","12"
"floor","12"
"chair","12"
"alone","12"
"spot","12"
"tears","12"
"gone","12"
"past","12"
"writer","12"
"walked","12"
"means","12"
"rooms","12"
"sister","12"
"blagovo","12"
"order","12"
"preferred","12"
"learned","12"
"tried","12"
"foot","12"
"hundred","12"
"exactly","12"
"gray","12"
"party","12"
"library","12"
"cousin","12"
"villa","12"
"audace","12"
"speaking","12"
"recall","12"
"beginning","12"
"either","12"
"presently","12"
"private","12"
"taking","12"
"changed","12"
"wanted","12"
"top","12"
"presence","12"
"given","12"
"copy","12"
"longer","12"
"flat","12"
"langley","12"
"feet","12"
"lying","12"
"sure","12"
"six","12"
"wall","12"
"present","12"
"raised","11"
"minute","11"
"opposite","11"
"rest","11"
"caused","11"
"full","11"
"marriage","11"
"recent","11"
"sent","11"
"stuff","11"
"wet","11"
"stage","11"
"dr","11"
"bedroom","11"
"title","11"
"business","11"
"strong","11"
"evening","11"
"liked","11"
"final","11"
"close","11"
"russia","11"
"near","11"
"shoulder","11"
"making","11"
"corner","11"
"offered","11"
"hour","11"
"done","11"
"youth","11"
"please","11"
"replaced","11"
"entire","11"
"body","11"
"nobody","11"
"street","11"
"keep","11"
"picture","11"
"water","11"
"nurse","11"
"written","11"
"naked","11"
"tea","11"
"various","11"
"recently","11"
"became","11"
"sweet","11"
"intervals","11"
"question","11"
"cross","11"
"golden","10"
"therefore","10"
"typed","10"
"legs","10"
"innocent","10"
"steps","10"
"wrong","10"
"note","10"
"butterfly","10"
"slow","10"
"going","10"
"smile","10"
"stairs","10"
"leningrad","10"
"age","10"
"continued","10"
"meant","10"
"desk","10"
"received","10"
"change","10"
"half","10"
"flowers","10"
"stopped","10"
"pretty","10"
"trees","10"
"described","10"
"twenty","10"
"ready","10"
"lips","10"
"himself","10"
"herself","10"
"wish","10"
"warm","10"
"boy","10"
"none","10"
"mental","10"
"shape","10"
"giving","10"
"visited","10"
"helped","10"
"hadbeen","10"
"special","10"
"path","10"
"returned","10"
"mother","10"
"chapter","10"
"hear","10"
"papers","10"
"serious","10"
"turn","10"
"kingdom","10"
"england","10"
"fat","10"
"reach","10"
"cried","10"
"hers","9"
"modest","9"
"feeling","9"
"mouth","9"
"altogether","9"
"worked","9"
"hat","9"
"america","9"
"working","9"
"natural","9"
"tamara","9"
"west","9"
"dare","9"
"learn","9"
"plane","9"
"try","9"
"magic","9"
"leg","9"
"thin","9"
"kiss","9"
"gently","9"
"hope","9"
"become","9"
"ina","9"
"forty","9"
"manner","9"
"holding","9"
"live","9"
"happen","9"
"comes","9"
"clear","9"
"else","9"
"seeing","9"
"mad","9"
"need","9"
"poet","9"
"distant","9"
"empty","9"
"give","9"
"harlequins","9"
"wearing","9"
"seven","9"
"dead","9"
"walking","9"
"finally","9"
"die","9"
"merely","9"
"maybe","9"
"main","9"
"seat","9"
"different","9"
"running","9"
"wifes","9"
"road","9"
"situation","9"
"town","9"
"married","9"
"finished","9"
"usual","9"
"ivors","9"
"lodge","9"
"dinner","9"
"today","9"
"within","9"
"known","9"
"avenue","9"
"nights","9"
"added","9"
"bare","9"
"arm","9"
"starov","9"
"wished","9"
"use","9"
"yellow","8"
"spoke","8"
"century","8"
"example","8"
"saying","8"
"fair","8"
"nature","8"
"east","8"
"slightly","8"
"netty","8"
"complete","8"
"experience","8"
"except","8"
"parents","8"
"vadimovich","8"
"eve","8"
"led","8"
"pencil","8"
"familiar","8"
"moments","8"
"letters","8"
"study","8"
"lay","8"
"brief","8"
"physical","8"
"certainly","8"
"cold","8"
"british","8"
"thinking","8"
"lot","8"
"held","8"
"hell","8"
"experienced","8"
"famous","8"
"whatever","8"
"telling","8"
"including","8"
"recognized","8"
"stories","8"
"kissed","8"
"type","8"
"weeks","8"
"dawn","8"
"reader","8"
"bad","8"
"subject","8"
"neck","8"
"earlier","8"
"language","8"
"sounds","8"
"cannice","8"
"stupid","8"
"sound","8"
"downstairs","8"
"practically","8"
"believe","8"
"tender","8"
"throughout","8"
"secret","8"
"big","8"
"remembered","8"
"others","8"
"absurd","8"
"text","8"
"bear","8"
"terms","8"
"proper","8"
"circus","8"
"detail","8"
"gate","8"
"free","8"
"affair","8"
"passage","8"
"says","8"
"annettes","8"
"college","8"
"stand","8"
"cambridge","8"
"suddenly","8"
"fancy","8"
"genius","8"
"painted","8"
"hall","8"
"drop","8"
"fingers","7"
"dreadful","7"
"fit","7"
"showed","7"
"tree","7"
"dozen","7"
"result","7"
"shadow","7"
"sight","7"
"rolling","7"
"sign","7"
"contained","7"
"complicated","7"
"assistant","7"
"ofmy","7"
"fame","7"
"ninella","7"
"stone","7"
"neighbor","7"
"october","7"
"diary","7"
"replied","7"
"major","7"
"play","7"
"funny","7"
"readers","7"
"palm","7"
"peppermill","7"
"marry","7"
"banal","7"
"clearly","7"
"ofa","7"
"problem","7"
"interview","7"
"lap","7"
"humble","7"
"itwas","7"
"born","7"
"post","7"
"onthe","7"
"together","7"
"turns","7"
"sidewalk","7"
"usually","7"
"entrance","7"
"indeed","7"
"en","7"
"opened","7"
"stroll","7"
"seldom","7"
"struck","7"
"twelve","7"
"managed","7"
"mysterious","7"
"terrible","7"
"grew","7"
"hallway","7"
"run","7"
"andthe","7"
"charming","7"
"allowed","7"
"dora","7"
"talk","7"
"effect","7"
"shed","7"
"belonged","7"
"reaching","7"
"tongue","7"
"artists","7"
"sorry","7"
"silly","7"
"modern","7"
"meaning","7"
"explain","7"
"basilevski","7"
"appeared","7"
"id","7"
"sentence","7"
"pages","7"
"wait","7"
"confused","7"
"gesture","7"
"living","7"
"pain","7"
"paid","7"
"shop","7"
"nose","7"
"expression","7"
"images","7"
"film","7"
"sounded","7"
"blood","7"
"lath","7"
"oks","7"
"idea","7"
"park","7"
"supposed","7"
"particularly","7"
"task","7"
"spend","7"
"bit","7"
"decision","7"
"account","7"
"despite","7"
"otherwise","7"
"prose","7"
"soft","7"
"although","7"
"hospital","7"
"join","7"
"glimpsed","7"
"twice","7"
