"Word","Count"
"the","4743"
"of","2759"
"a","2535"
"and","2423"
"to","1789"
"in","1706"
"i","1074"
"his","1016"
"he","810"
"that","800"
"with","750"
"was","707"
"had","619"
"it","569"
"on","566"
"my","563"
"not","503"
"as","486"
"at","469"
"is","441"
"from","427"
"but","421"
"for","412"
"by","400"
"one","369"
"an","350"
"or","313"
"her","308"
"this","285"
"him","273"
"be","270"
"me","270"
"have","267"
"which","248"
"all","237"
"you","233"
"she","218"
"when","205"
"line","204"
"would","198"
"shade","191"
"its","188"
"who","184"
"were","183"
"there","183"
"been","181"
"some","171"
"out","170"
"we","157"
"now","155"
"two","153"
"our","153"
"what","151"
"up","146"
"into","144"
"said","143"
"no","143"
"are","141"
"see","139"
"could","137"
"time","132"
"so","131"
"old","129"
"king","128"
"they","126"
"can","124"
"their","120"
"only","119"
"if","118"
"gradus","116"
"little","115"
"where","112"
"after","112"
"about","109"
"lines","106"
"through","105"
"more","104"
"other","103"
"has","102"
"them","101"
"new","101"
"last","99"
"did","97"
"then","93"
"poem","92"
"like","90"
"before","89"
"young","86"
"man","86"
"first","86"
"here","84"
"too","84"
"note","83"
"your","83"
"three","83"
"life","82"
"such","81"
"poet","81"
"do","80"
"another","79"
"might","78"
"zemblan","77"
"than","76"
"very","76"
"never","76"
"day","76"
"shades","76"
"how","75"
"those","74"
"back","73"
"night","72"
"upon","71"
"john","71"
"will","71"
"much","70"
"down","70"
"under","69"
"also","68"
"zembla","68"
"made","67"
"should","66"
"know","66"
"once","65"
"house","64"
"rather","64"
"between","63"
"may","62"
"black","62"
"something","61"
"later","60"
"again","60"
"found","59"
"am","58"
"still","58"
"these","57"
"just","57"
"english","57"
"course","56"
"left","56"
"way","55"
"friend","55"
"over","55"
"few","55"
"off","54"
"death","54"
"himself","54"
"even","54"
"great","53"
"work","53"
"hand","53"
"name","53"
"many","52"
"while","52"
"light","52"
"july","52"
"being","51"
"must","51"
"people","50"
"us","50"
"most","50"
"whom","50"
"long","49"
"dark","49"
"quite","48"
"saw","48"
"russian","48"
"room","48"
"among","48"
"came","47"
"any","47"
"around","47"
"pale","47"
"having","47"
"poets","47"
"certain","46"
"door","46"
"find","46"
"come","46"
"whose","45"
"make","45"
"sybil","45"
"because","45"
"mind","44"
"good","44"
"own","44"
"both","43"
"palace","43"
"canto","43"
"head","43"
"well","42"
"same","42"
"every","42"
"next","41"
"kept","41"
"white","41"
"kind","41"
"say","40"
"always","40"
"boy","40"
"thought","40"
"fire","39"
"behind","39"
"eyes","39"
"took","39"
"four","38"
"take","38"
"side","38"
"dear","38"
"kinbote","37"
"right","37"
"soon","37"
"went","37"
"end","37"
"several","37"
"notes","37"
"let","36"
"since","36"
"used","36"
"nothing","36"
"sure","35"
"years","35"
"knew","35"
"green","35"
"heart","35"
"poor","35"
"during","35"
"look","35"
"part","35"
"moment","35"
"blue","35"
"passage","35"
"perhaps","35"
"face","34"
"seen","34"
"days","34"
"shall","33"
"world","33"
"sense","33"
"odon","33"
"above","33"
"window","33"
"reader","33"
"mother","33"
"sun","33"
"small","32"
"away","32"
"charles","32"
"french","32"
"think","32"
"morning","32"
"least","32"
"red","32"
"s","31"
"told","31"
"stood","31"
"mountain","31"
"wye","31"
"place","31"
"without","31"
"disa","31"
"nice","31"
"turned","30"
"does","30"
"lost","30"
"queen","30"
"mr","30"
"glass","29"
"sea","29"
"etc","29"
"car","29"
"help","29"
"evening","29"
"hands","29"
"bed","29"
"kings","29"
"matter","29"
"called","29"
"bretwit","29"
"far","29"
"second","28"
"ss","28"
"read","28"
"almost","28"
"got","28"
"college","28"
"secret","28"
"words","28"
"book","28"
"asked","27"
"word","27"
"half","27"
"go","27"
"strange","27"
"road","27"
"point","27"
"onhava","27"
"picture","27"
"given","27"
"real","26"
"along","26"
"started","26"
"distant","26"
"across","26"
"dead","26"
"oh","26"
"short","26"
"walked","25"
"fact","25"
"dr","25"
"heard","25"
"looking","25"
"tried","25"
"friends","25"
"near","25"
"minutes","25"
"why","25"
"wife","25"
"instead","25"
"love","24"
"open","24"
"anything","24"
"seemed","24"
"put","24"
"less","24"
"began","24"
"library","24"
"call","24"
"give","24"
"third","24"
"better","24"
"father","24"
"writing","24"
"turn","24"
"myself","24"
"windows","24"
"looked","24"
"ones","24"
"tree","23"
"things","23"
"whole","23"
"hall","23"
"mrs","23"
"american","23"
"yet","23"
"felt","23"
"especially","23"
"eye","23"
"reached","23"
"hair","23"
"times","23"
"happened","23"
"known","23"
"table","23"
"shadow","22"
"steps","22"
"past","22"
"really","22"
"doubt","22"
"royal","22"
"speak","22"
"use","22"
"card","22"
"toward","22"
"home","22"
"against","22"
"yes","22"
"water","22"
"case","22"
"person","21"
"chance","21"
"brown","21"
"game","21"
"gray","21"
"corner","21"
"beginning","21"
"ks","21"
"god","21"
"however","21"
"qv","21"
"passed","21"
"hotel","21"
"various","21"
"music","20"
"alone","20"
"sat","20"
"letters","20"
"true","20"
"taken","20"
"front","20"
"died","20"
"finally","20"
"making","20"
"different","20"
"students","20"
"b","20"
"favorite","20"
"cards","20"
"thus","20"
"fair","19"
"sky","19"
"spot","19"
"draft","19"
"going","19"
"gone","19"
"lane","19"
"nor","19"
"year","19"
"famous","19"
"mentioned","19"
"im","19"
"girl","19"
"coming","19"
"sort","19"
"hazel","19"
"paris","19"
"shadows","19"
"though","19"
"suddenly","19"
"feet","19"
"fate","19"
"prince","19"
"local","19"
"wall","19"
"pocket","18"
"nature","18"
"bright","18"
"play","18"
"age","18"
"index","18"
"led","18"
"books","18"
"ghost","18"
"study","18"
"de","18"
"air","18"
"trying","18"
"beyond","18"
"trees","18"
"special","18"
"villa","18"
"enough","18"
"reading","18"
"town","18"
"often","18"
"although","18"
"already","18"
"top","18"
"present","18"
"mountains","18"
"family","18"
"closet","18"
"until","17"
"letter","17"
"k","17"
"son","17"
"newspaper","17"
"summer","17"
"smile","17"
"large","17"
"pass","17"
"number","17"
"means","17"
"child","17"
"daughter","17"
"scene","17"
"voice","17"
"five","17"
"state","17"
"pink","17"
"image","17"
"text","17"
"fellow","17"
"wish","17"
"gave","17"
"everything","17"
"story","17"
"professor","16"
"country","16"
"chair","16"
"leave","16"
"set","16"
"try","16"
"certainly","16"
"indeed","16"
"sunset","16"
"verse","16"
"stopped","16"
"baron","16"
"poetry","16"
"imagine","16"
"exactly","16"
"party","16"
"piece","16"
"lavender","16"
"seat","16"
"foreword","16"
"none","16"
"big","16"
"wanted","16"
"copy","16"
"author","16"
"played","15"
"date","15"
"west","15"
"stone","15"
"act","15"
"ago","15"
"variant","15"
"paper","15"
"sometimes","15"
"spring","15"
"remember","15"
"space","15"
"lady","15"
"business","15"
"moved","15"
"history","15"
"foot","15"
"empty","15"
"department","15"
"crossed","15"
"police","15"
"tell","15"
"turning","15"
"fell","15"
"wait","15"
"visit","15"
"tall","15"
"thing","15"
"miles","15"
"middle","15"
"broken","15"
"pleasure","15"
"late","15"
"believe","15"
"names","15"
"fictionliterature","15"
"taking","15"
"nabokov","15"
"each","15"
"escape","15"
"hear","15"
"parts","15"
"court","15"
"nights","15"
"barn","15"
"prof","15"
"porch","15"
"york","15"
"married","15"
"fingers","14"
"rich","14"
"jane","14"
"mans","14"
"rest","14"
"fleur","14"
"parents","14"
"couple","14"
"land","14"
"garden","14"
"high","14"
"truth","14"
"earlier","14"
"somewhere","14"
"cold","14"
"remained","14"
"dream","14"
