"Word","Count"
"the","2763"
"a","1741"
"of","1648"
"and","1600"
"to","1088"
"in","1029"
"his","695"
"he","675"
"was","596"
"with","558"
"had","541"
"that","446"
"on","419"
"pnin","408"
"i","408"
"it","364"
"at","336"
"as","303"
"for","282"
"by","257"
"not","257"
"is","241"
"an","232"
"you","229"
"but","229"
"her","224"
"from","218"
"one","186"
"said","185"
"she","185"
"or","170"
"him","164"
"would","161"
"this","158"
"which","151"
"all","147"
"be","146"
"have","143"
"were","132"
"who","128"
"there","127"
"now","122"
"been","116"
"my","112"
"when","110"
"russian","109"
"into","108"
"up","101"
"out","101"
"old","98"
"they","98"
"its","96"
"some","95"
"could","94"
"so","91"
"two","90"
"very","88"
"dr","87"
"me","86"
"after","84"
"no","84"
"we","83"
"where","80"
"then","79"
"little","76"
"their","76"
"more","75"
"other","75"
"like","71"
"if","67"
"back","66"
"what","66"
"still","65"
"about","65"
"hagen","63"
"timofey","63"
"time","62"
"them","62"
"pnins","62"
"are","62"
"only","61"
"under","61"
"than","59"
"new","59"
"house","59"
"last","58"
"room","58"
"those","58"
"down","56"
"did","56"
"first","55"
"over","55"
"victor","54"
"before","54"
"waindell","54"
"hand","53"
"will","53"
"even","50"
"man","50"
"joan","50"
"day","50"
"know","50"
"professor","49"
"through","48"
"himself","47"
"such","46"
"years","46"
"well","46"
"am","45"
"also","44"
"left","44"
"head","44"
"between","43"
"three","43"
"eyes","43"
"young","42"
"way","42"
"long","42"
"too","42"
"wind","41"
"see","41"
"any","41"
"our","41"
"here","40"
"great","40"
"good","40"
"course","39"
"came","39"
"next","39"
"another","39"
"friend","39"
"while","39"
"again","39"
"do","38"
"black","38"
"must","38"
"english","38"
"made","37"
"upon","36"
"liza","36"
"small","35"
"night","35"
"your","35"
"never","35"
"every","35"
"college","35"
"come","35"
"how","34"
"people","34"
"say","34"
"being","34"
"always","34"
"can","34"
"mrs","34"
"french","34"
"both","33"
"started","33"
"among","33"
"same","33"
"book","33"
"around","32"
"rather","32"
"sat","31"
"nothing","31"
"much","30"
"life","30"
"half","30"
"whose","30"
"side","30"
"glass","29"
"has","29"
"found","29"
"off","29"
"white","29"
"something","29"
"really","28"
"went","28"
"clements","28"
"school","28"
"took","28"
"might","28"
"whom","28"
"right","27"
"st","27"
"many","27"
"just","27"
"once","27"
"asked","26"
"dark","26"
"betty","26"
"fact","26"
"year","26"
"husband","26"
"poor","26"
"american","26"
"used","26"
"make","26"
"chateau","26"
"end","26"
"looked","26"
"because","26"
"mind","25"
"near","25"
"stood","25"
"each","25"
"however","25"
"later","25"
"large","24"
"walked","24"
"should","24"
"five","24"
"these","24"
"since","24"
"look","24"
"department","24"
"friends","24"
"felt","24"
"behind","24"
"most","24"
"everything","24"
"wife","24"
"own","24"
"child","23"
"red","23"
"go","23"
"think","23"
"blue","23"
"mother","23"
"turned","22"
"away","22"
"car","22"
"window","22"
"family","22"
"put","22"
"home","22"
"moment","22"
"almost","22"
"kind","22"
"thayer","22"
"called","22"
"past","21"
"laurence","21"
"told","21"
"began","21"
"eric","21"
"against","21"
"father","21"
"blorenge","21"
"least","21"
"part","21"
"already","21"
"without","21"
"far","21"
"few","21"
"quite","20"
"summer","20"
"certain","20"
"work","20"
"soon","20"
"during","20"
"hands","20"
"bed","20"
"dont","20"
"ten","20"
"suddenly","20"
"open","19"
"gone","19"
"pale","19"
"seemed","19"
"heart","19"
"seen","19"
"bag","19"
"road","19"
"thought","19"
"bus","19"
"street","19"
"place","19"
"country","18"
"going","18"
"world","18"
"us","18"
"heard","18"
"german","18"
"evening","18"
"special","18"
"yes","18"
"green","18"
"sitting","18"
"coming","18"
"late","18"
"find","18"
"days","18"
"name","18"
"story","18"
"table","18"
"want","17"
"along","17"
"russia","17"
