"Word","Count"
"the","2690"
"a","1792"
"i","1718"
"and","1699"
"of","1578"
"to","1366"
"in","1080"
"he","938"
"was","875"
"that","813"
"his","659"
"had","617"
"it","580"
"with","502"
"she","483"
"as","477"
"my","476"
"you","439"
"is","430"
"not","428"
"her","419"
"at","417"
"but","403"
"me","355"
"on","353"
"said","334"
"for","330"
"sebastian","291"
"have","291"
"or","258"
"be","256"
"which","235"
"one","231"
"him","219"
"would","217"
"this","210"
"an","198"
"been","198"
"there","198"
"so","193"
"by","192"
"what","186"
"all","185"
"then","180"
"we","164"
"when","164"
"now","149"
"were","149"
"very","148"
"some","145"
"out","141"
"who","141"
"if","139"
"about","139"
"no","139"
"from","134"
"its","126"
"see","122"
"did","122"
"are","120"
"into","118"
"up","118"
"know","118"
"sebastians","111"
"book","109"
"could","107"
"down","107"
"man","106"
"too","106"
"time","105"
"life","101"
"mr","100"
"well","98"
"little","97"
"quite","94"
"like","89"
"do","88"
"way","88"
"never","88"
"first","87"
"might","86"
"other","85"
"them","84"
"they","84"
"again","84"
"two","84"
"am","83"
"more","82"
"last","82"
"asked","80"
"old","80"
"after","78"
"think","78"
"back","77"
"thought","77"
"where","74"
"something","74"
"here","73"
"only","73"
"things","72"
"because","70"
"clare","69"
"seemed","68"
"knew","67"
"any","67"
"knight","66"
"perhaps","66"
"much","65"
"can","65"
"your","65"
"room","65"
"before","64"
"name","64"
"their","64"
"once","63"
"than","62"
"has","62"
"still","62"
"oh","62"
"certain","61"
"just","61"
"got","61"
"our","61"
"being","60"
"dont","59"
"how","58"
"years","58"
"russian","58"
"day","58"
"come","58"
"found","57"
"really","57"
"will","57"
"such","56"
"find","55"
"yes","54"
"felt","54"
"say","53"
"always","53"
"may","53"
"black","53"
"same","53"
"must","53"
"over","53"
"another","52"
"goodman","51"
"let","51"
"go","51"
"looked","51"
"rather","51"
"why","51"
"long","50"
"woman","50"
"own","50"
"made","50"
"should","49"
"went","49"
"train","49"
"whether","49"
"dark","48"
"left","48"
"kind","48"
"face","47"
"away","47"
"even","47"
"those","47"
"mother","47"
"hand","46"
"tell","46"
"shall","45"
"later","45"
"want","44"
"these","44"
"get","44"
"good","44"
"matter","43"
"moment","43"
"nothing","43"
"madame","41"
"paris","41"
"came","40"
"people","40"
"next","40"
"told","40"
"between","40"
"english","40"
"right","39"
"past","39"
"place","39"
"saw","38"
"mind","38"
"eyes","38"
"least","38"
"most","38"
"far","38"
"sat","37"
"small","37"
"look","37"
"three","37"
"words","37"
"door","36"
"few","36"
"sure","35"
"us","35"
"books","35"
"father","35"
"thing","35"
"myself","35"
"having","34"
"upon","34"
"death","34"
"himself","34"
"lost","34"
"make","34"
"under","34"
"every","34"
"already","34"
"head","34"
"friend","33"
"many","33"
"remember","33"
"dead","33"
"talk","33"
