"Word","Count"
"the","7523"
"to","4275"
"and","4040"
"of","3402"
"he","3313"
"a","3273"
"harry","2617"
"said","2427"
"was","2395"
"his","2246"
"you","2232"
"i","2121"
"that","1976"
"in","1913"
"it","1896"
"had","1654"
"at","1296"
"as","1239"
"not","1162"
"but","1100"
"with","1070"
"him","1032"
"for","985"
"on","936"
"dumbledore","885"
"her","848"
"have","805"
"ron","799"
"she","784"
"be","759"
"what","685"
"they","662"
"hermione","658"
"all","642"
"were","631"
"out","626"
"this","598"
"page","584"
"there","570"
"up","558"
"from","558"
"so","550"
"been","549"
"is","538"
"them","521"
"into","518"
"who","518"
"me","514"
"no","482"
"could","475"
"would","453"
"did","450"
"we","445"
"an","444"
"now","435"
"do","424"
"back","421"
"well","415"
"one","400"
"then","399"
"when","391"
"by","388"
"your","381"
"just","379"
"about","379"
"over","376"
"if","373"
"know","367"
"like","352"
"or","344"
"slughorn","343"
"snape","338"
"its","337"
"looked","335"
"think","334"
"are","333"
"dont","329"
"malfoy","329"
"very","328"
"more","326"
"see","314"
"time","307"
"their","306"
"though","303"
"down","296"
"my","290"
"around","288"
"again","284"
"got","281"
"professor","277"
"how","274"
"still","267"
"can","254"
"room","249"
"thought","249"
"before","246"
"off","243"
"looking","243"
"which","243"
"will","243"
"than","241"
"look","239"
"once","238"
"right","236"
"yes","231"
"little","230"
"asked","225"
"face","221"
"ginny","216"
"im","212"
"get","211"
"here","207"
"hand","207"
"after","206"
"eyes","206"
"seemed","204"
"only","204"
"other","200"
"through","198"
"voldemort","197"
"voice","197"
"weasley","197"
"good","196"
"something","194"
"much","193"
"going","192"
"dark","192"
"too","192"
"wand","190"
"behind","189"
"come","189"
"oh","189"
"hagrid","189"
"hes","187"
"himself","183"
"go","183"
"has","180"
"door","180"
"where","180"
"saw","178"
"last","177"
"harrys","177"
"never","170"
"want","166"
"tell","164"
"might","164"
"why","163"
"people","162"
"turned","162"
"told","162"
"way","161"
"say","160"
"moment","159"
"head","159"
"didnt","158"
"really","157"
"mrs","157"
"even","156"
"away","154"
"two","153"
"dumbledores","151"
"knew","150"
"any","150"
"course","149"
"left","149"
"long","144"
"death","143"
"first","140"
"am","138"
"upon","137"
"ive","136"
"thats","136"
"hogwarts","136"
"made","135"
"us","134"
"sir","134"
"anything","132"
"most","131"
"great","129"
"make","129"
"find","129"
"sure","129"
"nothing","129"
"youre","128"
"because","126"
"heard","122"
"few","122"
"ever","121"
"minister","121"
"old","120"
"felt","120"
"must","120"
"some","119"
"toward","117"
"both","113"
"cant","113"
"ministry","113"
"already","113"
"yeah","112"
"let","111"
"against","111"
"school","111"
"open","109"
"without","109"
"man","108"
"front","107"
"quite","104"
"take","104"
"being","104"
"while","104"
"feet","104"
"riddle","102"
"better","102"
"mr","102"
"mean","101"
"ill","101"
"these","100"
"prime","99"
"another","99"
"however","98"
"happened","98"
"rather","98"
"trying","97"
"took","96"
"help","95"
"done","95"
"years","94"
"potter","94"
"doing","94"
"three","94"
"wanted","93"
"cloak","92"
"black","92"
"place","92"
"own","92"
"found","91"
"office","91"
"table","91"
"lord","90"
"each","90"
"hear","90"
"came","89"
"gave","89"
"magic","88"
"next","88"
"under","88"
"should","87"
"year","87"
"seen","87"
"many","85"
"set","85"
"need","85"
"potion","84"
"standing","84"
"able","84"
"rons","83"
"hands","83"
"memory","83"
"else","82"
"house","82"
"light","82"
"stood","81"
"wont","80"
"enough","80"
"mcgonagall","79"
"hair","79"
"our","79"
"between","78"
"put","78"
"large","77"
"night","77"
"almost","77"
"sitting","77"
"fred","77"
"together","76"
"scrimgeour","76"
"side","76"
"youve","76"
"bit","76"
"book","76"
"isnt","75"
"fudge","74"
"keep","74"
"potions","73"
"give","73"
"things","72"
"inside","72"
"mind","72"
"boy","72"
"beside","72"
"tom","72"
"until","71"
"full","71"
"yet","71"
"thing","71"
"water","71"
"past","70"
"went","70"
"madam","70"
"whether","70"
"floor","69"
"air","69"
"every","69"
"later","68"
"word","68"
"wizard","68"
"draco","68"
"day","68"
"eaters","68"
"best","67"
"id","67"
"same","67"
"havent","66"
"quickly","66"
"alone","65"
"mclaggen","65"
"having","65"
"across","65"
"perhaps","65"
"bed","64"
"anyone","64"
"hard","64"
"raised","63"
"those","63"
"shall","62"
"work","62"
"wouldnt","62"
"ask","62"
"quietly","62"
"believe","62"
"taking","62"
"mouth","61"
"neville","61"
"always","61"
"staring","61"
"began","61"
"new","61"
"idea","61"
"everything","61"
"slightly","60"
"gone","60"
"theyre","60"
"dead","60"
"suddenly","60"
"along","59"
"does","59"
"silence","59"
"sorry","59"
"fell","59"
"within","59"
"pulled","58"
"hall","58"
"dear","58"
"common","58"
"onto","58"
"prince","58"
"words","58"
"morfin","57"
"small","57"
"taken","57"
"window","57"
"wasnt","57"
"lupin","57"
"talking","57"
"slughorns","57"
"arm","57"
"second","56"
"walked","56"
"saying","56"
"used","56"
"tonks","56"
"stared","56"
"top","56"
"wall","56"
"whole","55"
"luna","55"
"nor","55"
"stop","55"
"nobody","55"
"rest","54"
"castle","54"
"quidditch","54"
"lavender","54"
"appeared","54"
"leave","53"
"such","53"
"expression","53"
"speak","53"
"robes","53"
"couldnt","53"
"bottle","53"
"coming","53"
"forward","53"
"body","53"
"prophecy","53"
"far","53"
"glass","52"
"love","52"
"kreacher","52"
"remember","52"
"wearing","52"
"corridor","52"
"gryffindor","52"
"passed","52"
"called","52"
"since","51"
"dean","51"
"whats","51"
"corner","51"
"whispered","51"
"use","51"
"several","51"
"name","51"
"feeling","50"
"half","50"
"moved","50"
"making","50"
"point","50"
"reached","50"
"end","50"
"given","50"
"known","50"
"team","49"
"narcissa","49"
"returned","49"
"sight","49"
"hope","49"
"opened","49"
"youd","49"
"evening","49"
"empty","49"
"merely","49"
"supposed","49"
"george","49"
"outside","49"
"fact","48"
"tried","48"
"gaunt","48"
"arms","48"
"father","48"
"girl","48"
"borgin","48"
"added","48"
"wrong","47"
"loudly","47"
"drink","47"
"anyway","47"
"slowly","47"
"voldemorts","47"
"nose","47"
"mother","47"
"closed","47"
"malfoys","46"
"katie","46"
"youll","46"
"horcrux","46"
"holding","46"
"hastily","46"
"lot","46"
"close","46"
"talk","46"
"shoulder","46"
"died","46"
"please","46"
"usual","46"
"sat","45"
"continued","45"
"stopped","45"
"everyone","45"
"feel","45"
"understand","45"
"desk","44"
"shes","44"
"noticed","44"
"friends","44"
"question","44"
"ground","43"
"followed","43"
"try","43"
"kill","43"
"muggle","43"
"bellatrix","43"
"answer","43"
"yeh","43"
"finally","43"
"theres","43"
"getting","43"
"fleur","42"
"indeed","42"
"clear","42"
"call","42"
"blood","42"
"bill","42"
"doesnt","42"
"days","42"
"case","42"
"life","41"
"fire","41"
"horcruxes","41"
"turning","41"
"seem","41"
"shop","41"
"weve","41"
"apparently","41"
"finished","41"
